,stimuli,layer,improbable_impossible_projection,impossible_inconceivable_projection
436,lighting a candle using yogurt_impossible,20,-0.376953125,-18.375
437,lighting a candle using yogurt_impossible,21,2.578125,-17.0
438,lighting a candle using yogurt_impossible,22,2.9375,-19.375
439,lighting a candle using yogurt_impossible,23,4.875,-19.125
440,lighting a candle using yogurt_impossible,24,5.46875,-18.25
441,lighting a candle using yogurt_impossible,25,8.5,0.97265625
442,polishing jewelry using a chainsaw_impossible,0,-0.06640625,-0.16015625
443,polishing jewelry using a chainsaw_impossible,1,-0.1513671875,-0.54296875
444,polishing jewelry using a chainsaw_impossible,2,-0.09326171875,-0.6328125
445,polishing jewelry using a chainsaw_impossible,3,-0.01513671875,-1.4921875
446,polishing jewelry using a chainsaw_impossible,4,-0.84375,-3.234375
447,polishing jewelry using a chainsaw_impossible,5,-0.11767578125,-2.046875
448,polishing jewelry using a chainsaw_impossible,6,-1.9140625,-4.71875
449,polishing jewelry using a chainsaw_impossible,7,-1.8359375,-9.5625
450,polishing jewelry using a chainsaw_impossible,8,-2.5625,-10.625
451,polishing jewelry using a chainsaw_impossible,9,-2.828125,-8.75
452,polishing jewelry using a chainsaw_impossible,10,-2.015625,-12.5
453,polishing jewelry using a chainsaw_impossible,11,-2.328125,-16.5
454,polishing jewelry using a chainsaw_impossible,12,-3.65625,-14.8125
455,polishing jewelry using a chainsaw_impossible,13,-0.58984375,-18.875
456,polishing jewelry using a chainsaw_impossible,14,-0.3203125,-18.25
457,polishing jewelry using a chainsaw_impossible,15,-3.4375,-26.375
458,polishing jewelry using a chainsaw_impossible,16,-2.890625,-23.25
459,polishing jewelry using a chainsaw_impossible,17,-5.125,-22.375
460,polishing jewelry using a chainsaw_impossible,18,-4.71875,-24.375
461,polishing jewelry using a chainsaw_impossible,19,-5.0,-21.5
462,polishing jewelry using a chainsaw_impossible,20,-3.453125,-20.625
463,polishing jewelry using a chainsaw_impossible,21,-0.78515625,-19.5
464,polishing jewelry using a chainsaw_impossible,22,-0.4921875,-21.375
465,polishing jewelry using a chainsaw_impossible,23,1.0,-21.625
466,polishing jewelry using a chainsaw_impossible,24,1.984375,-19.625
467,polishing jewelry using a chainsaw_impossible,25,3.34375,-1.921875
468,squishing a blueberry using [POSS] nose_improbable,0,-0.054443359375,-0.06591796875
469,squishing a blueberry using [POSS] nose_improbable,1,-0.1171875,-0.439453125
470,squishing a blueberry using [POSS] nose_improbable,2,-0.05029296875,-0.3515625
471,squishing a blueberry using [POSS] nose_improbable,3,0.33203125,-0.7578125
472,squishing a blueberry using [POSS] nose_improbable,4,-0.423828125,-2.328125
473,squishing a blueberry using [POSS] nose_improbable,5,0.8515625,-0.4921875
474,squishing a blueberry using [POSS] nose_improbable,6,-1.0703125,-3.296875
475,squishing a blueberry using [POSS] nose_improbable,7,-0.90234375,-8.25
476,squishing a blueberry using [POSS] nose_improbable,8,-1.578125,-9.4375
477,squishing a blueberry using [POSS] nose_improbable,9,-1.4609375,-7.46875
478,squishing a blueberry using [POSS] nose_improbable,10,-0.248046875,-11.4375
479,squishing a blueberry using [POSS] nose_improbable,11,-0.9453125,-15.0
480,squishing a blueberry using [POSS] nose_improbable,12,-2.1875,-13.875
481,squishing a blueberry using [POSS] nose_improbable,13,0.12109375,-16.625
482,squishing a blueberry using [POSS] nose_improbable,14,0.74609375,-15.5625
483,squishing a blueberry using [POSS] nose_improbable,15,-2.703125,-23.5
484,squishing a blueberry using [POSS] nose_improbable,16,-1.4140625,-21.0
485,squishing a blueberry using [POSS] nose_improbable,17,-3.5,-19.5
486,squishing a blueberry using [POSS] nose_improbable,18,-2.28125,-22.25
487,squishing a blueberry using [POSS] nose_improbable,19,-3.328125,-19.5
488,squishing a blueberry using [POSS] nose_improbable,20,-1.2578125,-18.5
489,squishing a blueberry using [POSS] nose_improbable,21,1.9609375,-17.25
490,squishing a blueberry using [POSS] nose_improbable,22,2.015625,-19.625
491,squishing a blueberry using [POSS] nose_improbable,23,3.890625,-19.5
492,squishing a blueberry using [POSS] nose_improbable,24,4.84375,-17.625
493,squishing a blueberry using [POSS] nose_improbable,25,6.71875,2.703125
494,painting a wall using a whisper_inconceivable,0,-0.0634765625,-0.0174560546875
495,painting a wall using a whisper_inconceivable,1,-0.14453125,-0.29296875
496,painting a wall using a whisper_inconceivable,2,-0.0546875,-0.255859375
497,painting a wall using a whisper_inconceivable,3,0.92578125,0.5078125
498,painting a wall using a whisper_inconceivable,4,0.201171875,-0.73828125
499,painting a wall using a whisper_inconceivable,5,2.171875,2.234375
500,painting a wall using a whisper_inconceivable,6,0.4609375,-0.8203125
501,painting a wall using a whisper_inconceivable,7,0.89453125,-5.25
502,painting a wall using a whisper_inconceivable,8,0.94921875,-5.0
503,painting a wall using a whisper_inconceivable,9,2.203125,-2.453125
504,painting a wall using a whisper_inconceivable,10,3.890625,-5.53125
505,painting a wall using a whisper_inconceivable,11,6.9375,-7.15625
506,painting a wall using a whisper_inconceivable,12,5.9375,-5.53125
507,painting a wall using a whisper_inconceivable,13,8.5625,-8.1875
508,painting a wall using a whisper_inconceivable,14,8.9375,-7.5625
509,painting a wall using a whisper_inconceivable,15,5.65625,-13.6875
510,painting a wall using a whisper_inconceivable,16,5.75,-10.125
511,painting a wall using a whisper_inconceivable,17,1.5859375,-9.6875
512,painting a wall using a whisper_inconceivable,18,1.015625,-12.5625
513,painting a wall using a whisper_inconceivable,19,-0.310546875,-9.4375
514,painting a wall using a whisper_inconceivable,20,0.75,-8.25
515,painting a wall using a whisper_inconceivable,21,3.546875,-6.4375
516,painting a wall using a whisper_inconceivable,22,3.984375,-7.4375
517,painting a wall using a whisper_inconceivable,23,5.8125,-6.875
518,painting a wall using a whisper_inconceivable,24,7.4375,-1.9140625
519,painting a wall using a whisper_inconceivable,25,11.1875,29.25
520,catching a fish in a puddle_improbable,0,-0.06640625,-0.08251953125
521,catching a fish in a puddle_improbable,1,-0.1337890625,-0.447265625
522,catching a fish in a puddle_improbable,2,-0.068359375,-0.40234375
523,catching a fish in a puddle_improbable,3,0.30078125,-1.0625
524,catching a fish in a puddle_improbable,4,-0.5625,-2.8125
525,catching a fish in a puddle_improbable,5,0.1025390625,-1.9296875
526,catching a fish in a puddle_improbable,6,-1.6640625,-4.65625
527,catching a fish in a puddle_improbable,7,-1.40625,-8.9375
528,catching a fish in a puddle_improbable,8,-2.171875,-9.875
529,catching a fish in a puddle_improbable,9,-2.0625,-8.0
530,catching a fish in a puddle_improbable,10,-1.5078125,-11.5625
531,catching a fish in a puddle_improbable,11,-3.484375,-15.4375
532,catching a fish in a puddle_improbable,12,-4.9375,-13.9375
533,catching a fish in a puddle_improbable,13,-2.515625,-16.75
534,catching a fish in a puddle_improbable,14,-2.40625,-16.125
535,catching a fish in a puddle_improbable,15,-6.53125,-24.125
536,catching a fish in a puddle_improbable,16,-5.8125,-20.875
537,catching a fish in a puddle_improbable,17,-9.0,-19.625
538,catching a fish in a puddle_improbable,18,-9.75,-21.125
539,catching a fish in a puddle_improbable,19,-10.1875,-18.25
540,catching a fish in a puddle_improbable,20,-8.9375,-16.875
541,catching a fish in a puddle_improbable,21,-6.09375,-15.25
542,catching a fish in a puddle_improbable,22,-5.75,-16.75
543,catching a fish in a puddle_improbable,23,-4.78125,-16.125
544,catching a fish in a puddle_improbable,24,-3.71875,-14.25
545,catching a fish in a puddle_improbable,25,-2.5,9.0625
546,packing a suit inside a pocket_improbable,0,-0.06396484375,-0.0810546875
547,packing a suit inside a pocket_improbable,1,-0.125,-0.44140625
548,packing a suit inside a pocket_improbable,2,-0.058349609375,-0.458984375
549,packing a suit inside a pocket_improbable,3,-0.0498046875,-1.3984375
550,packing a suit inside a pocket_improbable,4,-0.796875,-3.078125
551,packing a suit inside a pocket_improbable,5,-0.1484375,-1.9921875
552,packing a suit inside a pocket_improbable,6,-1.6796875,-4.125
553,packing a suit inside a pocket_improbable,7,-1.2265625,-8.4375
554,packing a suit inside a pocket_improbable,8,-1.8984375,-9.375
555,packing a suit inside a pocket_improbable,9,-1.9140625,-7.8125
556,packing a suit inside a pocket_improbable,10,-0.61328125,-11.625
557,packing a suit inside a pocket_improbable,11,-1.7578125,-15.4375
558,packing a suit inside a pocket_improbable,12,-3.0,-14.375
559,packing a suit inside a pocket_improbable,13,-0.66796875,-17.375
560,packing a suit inside a pocket_improbable,14,0.08251953125,-16.0
561,packing a suit inside a pocket_improbable,15,-3.25,-23.875
562,packing a suit inside a pocket_improbable,16,-2.109375,-20.75
563,packing a suit inside a pocket_improbable,17,-4.75,-19.625
564,packing a suit inside a pocket_improbable,18,-3.546875,-22.125
565,packing a suit inside a pocket_improbable,19,-4.4375,-18.875
566,packing a suit inside a pocket_improbable,20,-2.828125,-17.375
567,packing a suit inside a pocket_improbable,21,-0.2314453125,-15.875
568,packing a suit inside a pocket_improbable,22,-0.3125,-17.625
569,packing a suit inside a pocket_improbable,23,1.4140625,-17.5
570,packing a suit inside a pocket_improbable,24,1.828125,-16.5
571,packing a suit inside a pocket_improbable,25,1.4609375,7.96875
572,sewing a shirt using a toothpick_improbable,0,-0.08447265625,-0.1259765625
573,sewing a shirt using a toothpick_improbable,1,-0.1806640625,-0.6328125
574,sewing a shirt using a toothpick_improbable,2,-0.1376953125,-0.6640625
575,sewing a shirt using a toothpick_improbable,3,-0.037353515625,-1.640625
576,sewing a shirt using a toothpick_improbable,4,-0.8125,-3.234375
577,sewing a shirt using a toothpick_improbable,5,0.10986328125,-1.796875
578,sewing a shirt using a toothpick_improbable,6,-1.5390625,-4.625
579,sewing a shirt using a toothpick_improbable,7,-1.5234375,-9.1875
580,sewing a shirt using a toothpick_improbable,8,-2.21875,-9.75
581,sewing a shirt using a toothpick_improbable,9,-1.9921875,-7.8125
582,sewing a shirt using a toothpick_improbable,10,-0.66796875,-11.5625
583,sewing a shirt using a toothpick_improbable,11,0.283203125,-14.875
584,sewing a shirt using a toothpick_improbable,12,-1.3046875,-13.125
585,sewing a shirt using a toothpick_improbable,13,1.953125,-17.0
586,sewing a shirt using a toothpick_improbable,14,2.171875,-16.375
587,sewing a shirt using a toothpick_improbable,15,-1.3359375,-23.625
588,sewing a shirt using a toothpick_improbable,16,-0.65625,-20.75
589,sewing a shirt using a toothpick_improbable,17,-3.5625,-19.625
590,sewing a shirt using a toothpick_improbable,18,-2.765625,-22.125
591,sewing a shirt using a toothpick_improbable,19,-3.53125,-19.0
592,sewing a shirt using a toothpick_improbable,20,-2.15625,-18.0
593,sewing a shirt using a toothpick_improbable,21,0.5703125,-16.75
594,sewing a shirt using a toothpick_improbable,22,0.4375,-18.75
595,sewing a shirt using a toothpick_improbable,23,2.078125,-18.875
596,sewing a shirt using a toothpick_improbable,24,2.59375,-17.375
597,sewing a shirt using a toothpick_improbable,25,3.1875,4.40625
598,carrying groceries inside a backpack_improbable,0,-0.07763671875,-0.1240234375
599,carrying groceries inside a backpack_improbable,1,-0.1474609375,-0.474609375
600,carrying groceries inside a backpack_improbable,2,-0.08203125,-0.439453125
601,carrying groceries inside a backpack_improbable,3,-0.0037994384765625,-1.2890625
602,carrying groceries inside a backpack_improbable,4,-0.8984375,-2.890625
603,carrying groceries inside a backpack_improbable,5,-0.3515625,-2.3125
604,carrying groceries inside a backpack_improbable,6,-1.9453125,-4.4375
605,carrying groceries inside a backpack_improbable,7,-2.125,-8.5
606,carrying groceries inside a backpack_improbable,8,-3.171875,-9.4375
607,carrying groceries inside a backpack_improbable,9,-3.65625,-8.0
608,carrying groceries inside a backpack_improbable,10,-2.90625,-11.5
609,carrying groceries inside a backpack_improbable,11,-5.75,-15.9375
610,carrying groceries inside a backpack_improbable,12,-7.40625,-14.25
611,carrying groceries inside a backpack_improbable,13,-5.53125,-16.5
612,carrying groceries inside a backpack_improbable,14,-5.875,-15.5625
613,carrying groceries inside a backpack_improbable,15,-10.3125,-22.375
614,carrying groceries inside a backpack_improbable,16,-9.8125,-19.5
615,carrying groceries inside a backpack_improbable,17,-12.4375,-18.625
616,carrying groceries inside a backpack_improbable,18,-13.375,-20.25
617,carrying groceries inside a backpack_improbable,19,-13.6875,-18.25
618,carrying groceries inside a backpack_improbable,20,-12.6875,-17.125
619,carrying groceries inside a backpack_improbable,21,-10.5,-15.6875
620,carrying groceries inside a backpack_improbable,22,-10.75,-17.375
621,carrying groceries inside a backpack_improbable,23,-10.3125,-17.375
622,carrying groceries inside a backpack_improbable,24,-10.125,-15.375
623,carrying groceries inside a backpack_improbable,25,-11.625,6.5625
624,drinking a cup full of minutes_inconceivable,0,-0.06640625,0.044921875
625,drinking a cup full of minutes_inconceivable,1,-0.123046875,-0.169921875
626,drinking a cup full of minutes_inconceivable,2,-0.056884765625,-0.14453125
627,drinking a cup full of minutes_inconceivable,3,0.3984375,0.0986328125
628,drinking a cup full of minutes_inconceivable,4,-0.2578125,-0.90625
629,drinking a cup full of minutes_inconceivable,5,1.5,2.75
630,drinking a cup full of minutes_inconceivable,6,-0.423828125,0.37890625
631,drinking a cup full of minutes_inconceivable,7,0.248046875,-2.796875
632,drinking a cup full of minutes_inconceivable,8,0.236328125,-2.625
633,drinking a cup full of minutes_inconceivable,9,0.79296875,-0.7265625
634,drinking a cup full of minutes_inconceivable,10,1.9921875,-4.21875
635,drinking a cup full of minutes_inconceivable,11,3.5625,-6.09375
636,drinking a cup full of minutes_inconceivable,12,2.03125,-5.0625
637,drinking a cup full of minutes_inconceivable,13,4.375,-7.9375
638,drinking a cup full of minutes_inconceivable,14,4.3125,-8.0625
639,drinking a cup full of minutes_inconceivable,15,2.46875,-11.5
640,drinking a cup full of minutes_inconceivable,16,3.28125,-11.4375
641,drinking a cup full of minutes_inconceivable,17,0.79296875,-10.375
642,drinking a cup full of minutes_inconceivable,18,1.8359375,-13.4375
643,drinking a cup full of minutes_inconceivable,19,0.8125,-10.0
644,drinking a cup full of minutes_inconceivable,20,2.4375,-8.625
645,drinking a cup full of minutes_inconceivable,21,5.375,-7.25
646,drinking a cup full of minutes_inconceivable,22,5.1875,-8.875
647,drinking a cup full of minutes_inconceivable,23,7.1875,-8.1875
648,drinking a cup full of minutes_inconceivable,24,7.59375,-7.0
649,drinking a cup full of minutes_inconceivable,25,9.1875,16.875
650,shattering a window using confetti_impossible,0,-0.054443359375,-0.11767578125
651,shattering a window using confetti_impossible,1,-0.11474609375,-0.279296875
652,shattering a window using confetti_impossible,2,-0.0281982421875,-0.244140625
653,shattering a window using confetti_impossible,3,0.5859375,-0.609375
654,shattering a window using confetti_impossible,4,-0.2138671875,-2.5625
655,shattering a window using confetti_impossible,5,0.8359375,-1.046875
656,shattering a window using confetti_impossible,6,-1.2578125,-3.953125
657,shattering a window using confetti_impossible,7,-0.87890625,-8.8125
658,shattering a window using confetti_impossible,8,-1.28125,-9.8125
659,shattering a window using confetti_impossible,9,-1.203125,-8.0625
660,shattering a window using confetti_impossible,10,0.10009765625,-11.9375
661,shattering a window using confetti_impossible,11,-0.25390625,-15.875
662,shattering a window using confetti_impossible,12,-1.921875,-14.875
663,shattering a window using confetti_impossible,13,1.1328125,-18.125
664,shattering a window using confetti_impossible,14,2.015625,-16.875
665,shattering a window using confetti_impossible,15,-1.75,-25.375
666,shattering a window using confetti_impossible,16,-0.40625,-22.125
667,shattering a window using confetti_impossible,17,-3.28125,-21.25
668,shattering a window using confetti_impossible,18,-2.453125,-23.5
669,shattering a window using confetti_impossible,19,-3.515625,-20.375
670,shattering a window using confetti_impossible,20,-1.6796875,-19.25
671,shattering a window using confetti_impossible,21,1.421875,-17.5
672,shattering a window using confetti_impossible,22,1.84375,-19.75
673,shattering a window using confetti_impossible,23,3.671875,-19.5
674,shattering a window using confetti_impossible,24,4.65625,-18.75
675,shattering a window using confetti_impossible,25,6.1875,2.015625
676,plucking a hair using sympathy_inconceivable,0,-0.05517578125,0.0093994140625
677,plucking a hair using sympathy_inconceivable,1,-0.1201171875,-0.185546875
678,plucking a hair using sympathy_inconceivable,2,-0.03564453125,-0.05322265625
679,plucking a hair using sympathy_inconceivable,3,0.953125,1.3984375
680,plucking a hair using sympathy_inconceivable,4,0.1533203125,0.283203125
681,plucking a hair using sympathy_inconceivable,5,2.046875,3.890625
682,plucking a hair using sympathy_inconceivable,6,0.1806640625,0.93359375
683,plucking a hair using sympathy_inconceivable,7,0.439453125,-2.96875
684,plucking a hair using sympathy_inconceivable,8,0.0286865234375,-3.703125
685,plucking a hair using sympathy_inconceivable,9,0.69140625,-1.5625
686,plucking a hair using sympathy_inconceivable,10,2.484375,-4.875
687,plucking a hair using sympathy_inconceivable,11,4.09375,-6.71875
688,plucking a hair using sympathy_inconceivable,12,3.03125,-5.53125
689,plucking a hair using sympathy_inconceivable,13,5.71875,-7.15625
690,plucking a hair using sympathy_inconceivable,14,6.03125,-6.65625
691,plucking a hair using sympathy_inconceivable,15,3.015625,-13.1875
692,plucking a hair using sympathy_inconceivable,16,3.515625,-11.875
693,plucking a hair using sympathy_inconceivable,17,0.63671875,-11.625
694,plucking a hair using sympathy_inconceivable,18,1.4765625,-14.8125
695,plucking a hair using sympathy_inconceivable,19,-0.14453125,-11.8125
696,plucking a hair using sympathy_inconceivable,20,1.3125,-10.4375
697,plucking a hair using sympathy_inconceivable,21,4.34375,-8.4375
698,plucking a hair using sympathy_inconceivable,22,3.953125,-10.0625
699,plucking a hair using sympathy_inconceivable,23,5.96875,-9.8125
700,plucking a hair using sympathy_inconceivable,24,6.3125,-7.8125
701,plucking a hair using sympathy_inconceivable,25,6.8125,19.5
702,crushing a soda can using a chair_improbable,0,-0.07421875,-0.0888671875
703,crushing a soda can using a chair_improbable,1,-0.140625,-0.421875
704,crushing a soda can using a chair_improbable,2,-0.055419921875,-0.51953125
705,crushing a soda can using a chair_improbable,3,0.134765625,-1.40625
706,crushing a soda can using a chair_improbable,4,-0.75390625,-3.484375
707,crushing a soda can using a chair_improbable,5,0.275390625,-2.09375
708,crushing a soda can using a chair_improbable,6,-1.390625,-4.875
709,crushing a soda can using a chair_improbable,7,-1.1328125,-9.8125
710,crushing a soda can using a chair_improbable,8,-1.8203125,-11.3125
711,crushing a soda can using a chair_improbable,9,-1.59375,-9.5
712,crushing a soda can using a chair_improbable,10,-0.1943359375,-13.125
713,crushing a soda can using a chair_improbable,11,-0.7890625,-16.625
714,crushing a soda can using a chair_improbable,12,-2.53125,-15.0
715,crushing a soda can using a chair_improbable,13,-0.10205078125,-18.375
716,crushing a soda can using a chair_improbable,14,0.24609375,-17.375
717,crushing a soda can using a chair_improbable,15,-3.03125,-25.375
718,crushing a soda can using a chair_improbable,16,-2.59375,-22.375
719,crushing a soda can using a chair_improbable,17,-5.1875,-21.25
720,crushing a soda can using a chair_improbable,18,-5.15625,-23.625
721,crushing a soda can using a chair_improbable,19,-5.625,-20.25
722,crushing a soda can using a chair_improbable,20,-4.21875,-19.25
723,crushing a soda can using a chair_improbable,21,-1.7578125,-18.0
724,crushing a soda can using a chair_improbable,22,-1.40625,-19.5
725,crushing a soda can using a chair_improbable,23,0.40234375,-19.25
726,crushing a soda can using a chair_improbable,24,1.09375,-17.375
727,crushing a soda can using a chair_improbable,25,2.328125,4.0625
728,carving a statue using a sock_impossible,0,-0.061279296875,-0.169921875
729,carving a statue using a sock_impossible,1,-0.1357421875,-0.48046875
730,carving a statue using a sock_impossible,2,-0.04296875,-0.51953125
731,carving a statue using a sock_impossible,3,0.3046875,-1.28125
732,carving a statue using a sock_impossible,4,-0.52734375,-3.15625
733,carving a statue using a sock_impossible,5,0.8984375,-1.171875
734,carving a statue using a sock_impossible,6,-0.90625,-4.21875
735,carving a statue using a sock_impossible,7,-0.498046875,-9.375
736,carving a statue using a sock_impossible,8,-1.0234375,-10.375
737,carving a statue using a sock_impossible,9,-0.5859375,-8.5
738,carving a statue using a sock_impossible,10,0.79296875,-12.375
739,carving a statue using a sock_impossible,11,1.890625,-16.0
740,carving a statue using a sock_impossible,12,0.70703125,-14.4375
741,carving a statue using a sock_impossible,13,3.375,-18.75
742,carving a statue using a sock_impossible,14,4.0,-17.75
743,carving a statue using a sock_impossible,15,0.005126953125,-26.0
744,carving a statue using a sock_impossible,16,0.7890625,-23.25
745,carving a statue using a sock_impossible,17,-1.9921875,-22.625
746,carving a statue using a sock_impossible,18,-1.1015625,-25.0
747,carving a statue using a sock_impossible,19,-2.078125,-22.125
748,carving a statue using a sock_impossible,20,-0.384765625,-21.125
749,carving a statue using a sock_impossible,21,2.640625,-19.375
750,carving a statue using a sock_impossible,22,2.9375,-20.75
751,carving a statue using a sock_impossible,23,4.84375,-20.5
752,carving a statue using a sock_impossible,24,6.03125,-18.875
753,carving a statue using a sock_impossible,25,8.0625,3.25
754,denting a car with a dumbbell_improbable,0,-0.068359375,-0.1484375
755,denting a car with a dumbbell_improbable,1,-0.11865234375,-0.62890625
756,denting a car with a dumbbell_improbable,2,-0.032470703125,-0.75
757,denting a car with a dumbbell_improbable,3,0.1865234375,-1.671875
758,denting a car with a dumbbell_improbable,4,-0.71875,-3.1875
759,denting a car with a dumbbell_improbable,5,0.2001953125,-2.1875
760,denting a car with a dumbbell_improbable,6,-1.4375,-4.40625
761,denting a car with a dumbbell_improbable,7,-1.0703125,-8.5
762,denting a car with a dumbbell_improbable,8,-1.453125,-9.8125
763,denting a car with a dumbbell_improbable,9,-1.0625,-7.8125
764,denting a car with a dumbbell_improbable,10,0.1708984375,-11.6875
765,denting a car with a dumbbell_improbable,11,0.72265625,-15.5625
766,denting a car with a dumbbell_improbable,12,-0.6171875,-14.75
767,denting a car with a dumbbell_improbable,13,1.9140625,-18.875
768,denting a car with a dumbbell_improbable,14,2.515625,-17.75
769,denting a car with a dumbbell_improbable,15,-0.0084228515625,-25.375
770,denting a car with a dumbbell_improbable,16,0.5546875,-22.5
771,denting a car with a dumbbell_improbable,17,-2.140625,-22.375
772,denting a car with a dumbbell_improbable,18,-1.203125,-25.25
773,denting a car with a dumbbell_improbable,19,-2.234375,-22.25
774,denting a car with a dumbbell_improbable,20,-0.6796875,-21.0
775,denting a car with a dumbbell_improbable,21,1.4453125,-19.875
776,denting a car with a dumbbell_improbable,22,1.5390625,-22.0
777,denting a car with a dumbbell_improbable,23,3.171875,-21.625
778,denting a car with a dumbbell_improbable,24,3.515625,-21.0
779,denting a car with a dumbbell_improbable,25,2.234375,-1.03125
