sentence,5-Gram Log-Prob,GPT2-XL Log-Prob,PCFG Log-Prob,Arousal,Conversational,Sense,Gram.,Frequency,Imageability,Others Thoughts,Physical,Places,Valence
Geometric theory applied to puzzle making?,-3.1699920722416,-6.2713733,-13.6760471428571,2.0714285714286,3.0,5.8333333333333,5.7222222222222,2.7857142857143,2.5,1.75,3.2666666666667,1.9285714285714,2.6666666666667
"Get out of here, you guys.",-1.8316808087485,-3.003948,-10.7048225,4.0,6.6923076923077,6.7058823529412,6.5882352941176,6.2142857142857,4.0,3.5714285714286,2.3125,2.25,2.6875
Get your business online with eUKhost.,-2.9322940309842,-5.2534976,-13.5443142857143,1.3333333333333,1.5,3.0,2.8,1.5714285714286,2.2666666666667,2.0714285714286,1.9285714285714,1.0714285714286,1.5
"Gh me, who is this man?",-3.0117374147688,-5.256082,-11.16450125,2.0,1.5625,3.7058823529412,4.2352941176471,1.7058823529412,1.8571428571429,2.4285714285714,1.7333333333333,1.0,1.3076923076923
Ghatkoper 15min Away Via Jijamata Marg.,-3.7696487903595,-6.8446794,-17.2710714285714,1.2857142857143,1.1176470588235,2.7777777777778,2.9444444444444,1.1176470588235,1.25,1.0,1.0769230769231,1.5,1.8125
Gift garage plot magi sentence abb.,-5.031946182251,-8.543375,-16.1195057142857,1.1764705882353,1.0666666666667,1.1176470588235,1.7647058823529,1.0,1.0625,1.0714285714286,1.9333333333333,1.3888888888889,1.6666666666667
Giles Coke released by Sheff Wed!,-4.2357853991645,-5.9412622,-15.0620442857143,2.0769230769231,1.2777777777778,2.8235294117647,4.2941176470588,1.1176470588235,1.1538461538462,1.6875,2.1428571428571,1.0,2.2631578947368
Give me a minute to think.,-2.2260509729385,-3.2566843,-10.8400842857143,2.4166666666667,6.7692307692308,7.0,6.8666666666667,6.8,3.6842105263158,4.8,1.1538461538462,1.2352941176471,3.3571428571429
Glam Morena: Tutorial: In Full Bloom.,-3.6454066974776,-6.7403417,-14.5128555555556,1.8235294117647,1.2857142857143,3.7333333333333,3.2,1.6,1.3846153846154,1.4117647058824,1.2666666666667,1.8,2.1666666666667
"Goode was born in Exeter, Devon.",-3.1487846757684,-3.683344,-10.8314075,1.6428571428571,3.8461538461538,6.6666666666667,6.75,2.6875,3.0,2.2142857142857,2.3529411764706,5.3333333333333,1.6111111111111
Grab's have a closer look below.,-2.9994004666805,-5.907904,-11.08143625,1.4666666666667,1.6470588235294,3.375,4.5625,1.2142857142857,1.7692307692308,2.2666666666667,2.0666666666667,1.5625,1.8571428571429
Grace and kindness was their strength.,-2.7650778889656,-4.793264,-10.5329514285714,2.8333333333333,3.9230769230769,6.9333333333333,6.5333333333333,4.4666666666667,3.2631578947368,5.6666666666667,1.1538461538462,1.4705882352941,5.8571428571429
Gram and business leaders are es-!,-3.2856760365622,-6.8751874,-12.6665585714286,2.0,1.3846153846154,1.8666666666667,3.1333333333333,1.2,1.1578947368421,1.8,1.0,1.1764705882353,1.8571428571429
Gre LEADERS this month evid TRMS.,-4.149612736702,-9.1574,-14.2619828571429,1.8823529411765,1.0714285714286,1.1333333333333,1.5333333333333,1.0,1.0,1.2352941176471,1.0,1.6,1.0
"Great food, big portions, honest prices.",-4.0537459169115,-3.9096675,-11.55685,3.9444444444444,3.9333333333333,6.8235294117647,5.6470588235294,5.8461538461538,4.6666666666667,3.4285714285714,5.0,2.5789473684211,6.0588235294118
Great water pressure in those pipes.,-3.1722277317728,-5.4367294,-12.0372442857143,3.2142857142857,4.8571428571429,6.5,5.8888888888889,5.1428571428571,5.0,2.375,5.2666666666667,2.7857142857143,4.3333333333333
"Gross stopped briefly, then went on.",-2.9642170710223,-4.5432105,-11.14525375,2.3333333333333,1.6666666666667,4.5833333333333,6.1666666666667,2.2352941176471,3.75,2.8235294117647,1.75,1.75,2.2307692307692
Growing vegetables and tending the garden.,-2.8846070511,-4.6084185,-17.1379685714286,2.2,4.0,6.75,5.875,4.7857142857143,5.6923076923077,2.8,6.0,5.5625,5.5
Guest started a topic LIVER Connection??,-3.666369335992,-10.022661,-15.0723175,2.0769230769231,1.2777777777778,2.9411764705882,3.4705882352941,1.0588235294118,1.2307692307692,1.8125,1.3571428571429,1.1875,2.0526315789474
Guitar chords lent a soothing strum.,-3.7513949871063,-5.4903526,-14.2238642857143,2.5833333333333,2.3076923076923,5.5333333333333,6.1333333333333,2.7333333333333,5.0,4.0,4.4615384615385,1.9411764705882,5.5714285714286
HAEL announcing with a easily NM.,-4.2148363505091,-11.271681,-13.9518928571429,1.2,1.0,1.5454545454545,2.4545454545455,1.1052631578947,1.0,1.5625,1.3888888888889,1.4,2.0666666666667
HOW feeding't settlers under my Afgh.,-3.813068985939,-11.752564,-14.8360133333333,1.5625,1.0,1.3,2.0,1.1333333333333,1.0,1.5294117647059,1.7647058823529,1.0,1.7058823529412
Hasbarie considered prostitutes ARE of Prob.,-2.98568546772,-9.803011,-14.4914742857143,1.5714285714286,1.3571428571429,1.4444444444444,2.5555555555556,1.0,1.2857142857143,1.75,2.1333333333333,1.2142857142857,1.4666666666667
Hatched a Wobbuffet from the Egg.,-2.6949425538381,-4.1684103,-12.6757028571429,2.0555555555556,1.2,3.2352941176471,5.0,1.3846153846154,3.5333333333333,2.0714285714286,4.625,2.0,3.3529411764706
Have we seen the prosecution judge?,-3.0315145594733,-6.277976,-11.4143714285714,2.75,4.0714285714286,6.3,6.4,3.6,3.2,3.8823529411765,2.0,2.8571428571429,1.9411764705882
He PubMed with us in Did.,-2.5454909801483,-8.637623,-10.7977785714286,1.1333333333333,1.0666666666667,1.25,3.0,1.0588235294118,1.0,1.4117647058824,1.625,1.1875,1.0769230769231
"He allegedly bought 15,000 Skybox shares.",-3.1922586113214,-5.6377916,-10.63406,3.1875,3.1428571428571,6.6,6.8,2.2666666666667,3.4,4.1764705882353,3.0,1.5,2.4705882352941
He also admitted killing Mrs. Hengesbach.,-2.9825298190117,-5.532575,-10.4251142857143,5.7647058823529,4.0714285714286,6.8,5.8666666666667,2.4666666666667,3.8461538461538,5.2352941176471,4.4666666666667,1.9333333333333,1.3333333333333
"He asked, still sounding utterly disinterested.",-3.4110722030912,-4.9395003,-11.94385875,3.0625,2.9375,6.5,6.125,3.5333333333333,4.3333333333333,5.7894736842105,2.0,2.2857142857143,1.8823529411765
"He could be cruel, domineering, arrogant.",-3.2348040853228,-3.8613698,-10.2987933333333,3.1428571428571,4.7647058823529,6.7222222222222,5.8888888888889,4.4705882352941,4.0625,6.625,1.2307692307692,1.0833333333333,1.25
He could not say a word.,-1.4668123594352,-3.5287173,-7.3285814285714,3.2857142857143,6.0,7.0,7.0,6.3125,4.2666666666667,5.0714285714286,2.6470588235294,1.2,1.4444444444444
He could smell the cooking meat.,-2.6650545852525,-4.4725876,-11.3865471428571,4.3571428571429,5.0625,6.7647058823529,6.4705882352941,5.1176470588235,5.9285714285714,4.3571428571429,5.4666666666667,2.9285714285714,5.3076923076923
He don't look nothing like Ricky.,-2.798694062978,-4.725943,-9.21200375,3.0,5.25,5.8125,3.375,2.5333333333333,3.7333333333333,4.3157894736842,2.4375,2.2857142857143,2.4117647058824
He dove into the dark water.,-2.0090511377369,-4.36901,-10.88214,5.1428571428571,4.25,7.0,7.0,4.8235294117647,6.0625,4.7222222222222,5.6923076923077,6.375,1.8823529411765
He encouraged hostility and eventually war.,-2.9751314265387,-6.1052065,-12.5017257142857,5.1428571428571,3.5333333333333,6.8666666666667,6.5333333333333,4.2222222222222,3.6923076923077,5.8888888888889,3.0,2.3333333333333,1.2857142857143
He felt his stomach for blood.,-2.407364487648,-5.024541,-10.8471628571429,4.75,3.8333333333333,5.5454545454545,6.2727272727273,3.5625,5.3125,5.7058823529412,4.5333333333333,1.5263157894737,1.1875
He felt more embarrassed than frightened.,-2.7801273294858,-4.570631,-10.0766657142857,3.7222222222222,5.5625,7.0,7.0,5.8125,3.6,5.1875,1.8125,1.0714285714286,2.0
He felt silently and secretly fulfilled.,-3.2657338721412,-6.4551673,-12.5012242857143,3.0666666666667,3.1764705882353,6.5625,6.4375,3.6428571428571,2.8461538461538,6.3333333333333,1.7333333333333,1.0,4.8571428571429
He finally hit the ball back.,-1.9100877727781,-4.681649,-9.1122814285714,4.0769230769231,5.1666666666667,6.7647058823529,6.8235294117647,4.6470588235294,5.9230769230769,3.4375,6.5714285714286,2.8125,4.4736842105263
He gave me a great deal.,-1.3357691339084,-3.6373298,-8.3737342857143,3.0588235294118,6.4285714285714,6.9333333333333,6.6,6.0666666666667,3.3076923076923,4.4705882352941,2.0666666666667,1.7333333333333,5.25
He gave me a huge hug.,-2.2384024305003,-3.3085892,-9.89915,4.1176470588235,6.3571428571429,6.9333333333333,7.0,6.3333333333333,6.2307692307692,6.0,4.7333333333333,1.2,6.0833333333333
He gazed out at the ocean.,-2.627320587635,-3.908743,-9.07204,3.7142857142857,4.7142857142857,6.9444444444444,6.9444444444444,6.0,6.4285714285714,4.625,4.3333333333333,5.7142857142857,5.0666666666667
He gazed out the study window.,-3.0767985326903,-4.786749,-11.0008557142857,2.75,3.5,6.6,6.7,5.1333333333333,6.2666666666667,5.3529411764706,4.1764705882353,4.7857142857143,3.9411764705882
He gets back into his car.,-1.7970957202571,-4.003763,-8.4656757142857,1.8333333333333,4.0769230769231,7.0,6.7333333333333,6.1333333333333,6.1578947368421,3.3333333333333,5.2307692307692,3.9411764705882,3.2142857142857
He glanced wistfully out the window..,-2.3035488852433,-4.499521,-15.88756,2.8235294117647,3.2,6.6470588235294,6.4705882352941,5.0625,6.375,6.0714285714286,4.4,4.0555555555556,3.6111111111111
He got up and walked away.,-1.3175484580653,-3.3460574,-8.03675,2.6666666666667,5.2307692307692,7.0,7.0,6.4666666666667,5.9473684210526,4.1333333333333,3.5384615384615,1.8823529411765,3.1428571428571
He had a job to do.,-1.3254252289023,-3.0057282,-7.1266871428571,3.0555555555556,6.125,7.0,6.8888888888889,6.75,2.4,4.75,1.6875,1.7142857142857,3.0
He had a white T-shirt on.,-1.6958081447519,-3.1695817,-10.0232957142857,2.6428571428571,5.8571428571429,7.0,6.7222222222222,6.2857142857143,6.2142857142857,2.6875,5.3333333333333,2.2142857142857,3.6666666666667
He had partners and an assistant.,-2.4928826263973,-5.117549,-9.2215271428571,1.8571428571429,4.6923076923077,6.9166666666667,6.75,4.5625,4.1333333333333,3.0,2.7647058823529,1.4,2.0555555555556
He handed her the leather bag.,-2.8348578810692,-4.5519514,-11.5751042857143,2.1176470588235,4.1428571428571,7.0,7.0,5.2,6.2307692307692,3.4117647058824,6.2,1.8,3.4166666666667
He has had a distinguished career.,-1.5164672008583,-3.5272996,-8.2653728571429,2.5,5.0666666666667,6.9333333333333,6.5333333333333,5.9444444444444,3.4615384615385,5.1111111111111,1.5714285714286,1.3333333333333,4.4285714285714
He held out a duffel bag.,-2.0668923216207,-3.6373243,-9.4195428571429,2.9333333333333,4.0,6.75,6.75,5.2352941176471,5.9166666666667,4.2352941176471,6.125,2.9375,2.3076923076923
He hope was going to happen.,-2.1020792190518,-5.599602,-9.6404311428571,1.5714285714286,2.25,4.0,2.7647058823529,1.6470588235294,1.3571428571429,3.1428571428571,1.2666666666667,1.1428571428571,1.9230769230769
He inspected it with obvious satisfaction.,-2.9844707931791,-5.2777586,-10.1786342857143,3.1428571428571,3.0666666666667,6.7333333333333,6.7333333333333,4.7777777777778,4.6153846153846,6.0,2.2857142857143,1.4666666666667,4.2857142857143
He is quite sick and weak.,-2.1861469660486,-4.481862,-8.0040714285714,3.0666666666667,6.1428571428571,6.9333333333333,6.8,5.3571428571429,5.5333333333333,5.0,2.7142857142857,1.5,1.1666666666667
He joins us now from Phoenix.,-2.6775344439915,-4.5994134,-9.9532928571429,1.8666666666667,4.375,6.8181818181818,6.6363636363636,4.6315789473684,4.0714285714286,3.375,2.4444444444444,5.0,3.2
He joke back at MG suing..,-4.0198640482766,-9.382014,-15.4635233333333,1.7857142857143,1.0,2.9166666666667,3.6666666666667,1.3125,1.0666666666667,2.7857142857143,2.3529411764706,1.0666666666667,1.7777777777778
He just laughs when we weep.,-3.0064250656537,-5.8109865,-11.5262871428571,3.8823529411765,3.8666666666667,6.5882352941176,6.6470588235294,4.3125,5.375,6.4285714285714,1.6666666666667,1.2777777777778,1.5555555555556
He lay asleep in his bed.,-2.0801657012531,-3.842826,-11.8154171428571,2.0,3.3571428571429,6.7,6.3,5.8,6.4666666666667,4.5294117647059,4.8823529411765,3.5714285714286,4.0
He lay back on the mattress.,-2.3317345508507,-3.983786,-9.7248757142857,2.4444444444444,5.0,6.7777777777778,6.1666666666667,5.5,6.3333333333333,4.6875,6.375,3.0714285714286,3.7058823529412
He lay there for a moment.,-2.0813862596239,-3.7902932,-9.07545,2.0,4.2142857142857,6.7333333333333,6.2,5.2666666666667,5.0769230769231,4.0588235294118,3.3333333333333,3.1333333333333,2.8333333333333
He looked annoyed at being disturbed.,-2.8035024063928,-4.8761578,-11.5928785714286,4.125,3.875,6.75,6.6875,4.2,5.8,5.3157894736842,2.9375,2.7857142857143,1.8823529411765
He looked back at the ceiling.,-1.8222842429365,-3.8802953,-8.1789185714286,2.5882352941176,4.0714285714286,6.2666666666667,6.8666666666667,4.0666666666667,5.6153846153846,3.4705882352941,4.9333333333333,4.1333333333333,2.3333333333333
He looked emerging granting me terrible.,-3.8184497186116,-9.126659,-13.5179614285714,2.9411764705882,1.2142857142857,1.6,3.0,1.0,1.2307692307692,3.1176470588235,1.8666666666667,1.5333333333333,1.3333333333333
He looked out at the lake.,-2.1237378716469,-3.759546,-9.3196428571429,1.8,3.5625,6.8181818181818,6.7272727272727,5.6315789473684,6.5714285714286,4.875,4.9444444444444,6.2666666666667,5.0
He looked out of the window.,-1.5741211261068,-3.2451196,-7.6048385714286,2.1875,6.0,7.0,6.7272727272727,6.875,6.0,4.6470588235294,5.7333333333333,4.3684210526316,3.75
He looked out over the court.,-2.1424260948386,-4.1339774,-8.2962628571429,2.2142857142857,4.3333333333333,6.9333333333333,6.9333333333333,5.0555555555556,5.3076923076923,4.2777777777778,3.7142857142857,4.5333333333333,3.0
He looked out the side window.,-2.2586198534284,-3.8006423,-10.1321071428571,2.1875,5.6666666666667,7.0,6.9090909090909,6.0,5.6875,4.0588235294118,5.8,4.1052631578947,3.3125
He looked out the window again.,-2.1395394802094,-3.4450872,-9.2131028571429,2.5,4.25,7.0,6.625,4.9333333333333,5.8666666666667,4.4210526315789,5.0,4.7857142857143,3.2941176470588
He looked up at the ceiling.,-1.621076724359,-3.1782227,-8.1864814285714,2.3571428571429,5.1875,6.9411764705882,6.8823529411765,5.3529411764706,6.1428571428571,2.8571428571429,4.8666666666667,4.3571428571429,2.9230769230769
He looked up in the sky.,-1.7290894985199,-3.4433718,-8.03165,2.7333333333333,3.625,6.5454545454545,5.8181818181818,6.3157894736842,6.0714285714286,4.5625,3.2777777777778,5.7333333333333,4.4
He looked very sourced and peaceful.,-3.0352844851358,-6.5499516,-11.0858371428571,2.1333333333333,2.0,4.0,6.2727272727273,2.7894736842105,4.0714285714286,5.25,1.8888888888889,1.6,5.0
He marched out of the area.,-1.4789872169495,-4.6648455,-7.4461734285714,3.125,3.5714285714286,6.9,6.6,4.6666666666667,5.0,4.3529411764706,3.2352941176471,2.6428571428571,2.2352941176471
He might need the knife again.,-2.6935347659247,-4.724833,-10.2434971428571,4.6875,5.3571428571429,7.0,7.0,4.4666666666667,3.7333333333333,4.3529411764706,5.2352941176471,1.5,2.1176470588235
He must pray to be spared.,-2.3093087758337,-4.5886006,-10.9801671428571,4.1428571428571,4.0769230769231,6.8235294117647,6.8235294117647,4.3571428571429,3.3125,5.4285714285714,1.875,1.3333333333333,2.0
He only doubted his own abilities.,-2.520806653159,-4.540823,-10.5502014285714,3.0,4.0625,6.3125,6.25,4.2,3.2,5.3157894736842,1.625,1.7857142857143,2.3529411764706
He pointed at the smaller circle.,-2.4866012675422,-5.0629926,-8.8724685714286,1.8,3.125,6.9090909090909,6.9090909090909,4.7894736842105,6.0,3.4375,4.0555555555556,2.3333333333333,2.4666666666667
He pulled up on the knob.,-2.4385553683553,-4.9231143,-9.4979942857143,3.0769230769231,3.6666666666667,6.7058823529412,6.8235294117647,3.8235294117647,6.0,3.5625,6.5,2.75,2.8947368421053
"He put the boxes back together,",-2.4922582251685,-4.682127,-13.6135066666667,2.0714285714286,5.0,6.9411764705882,6.3529411764706,5.7142857142857,5.875,3.5,6.625,2.3333333333333,4.0
He put the car in gear.,-2.5446375949042,-3.6437225,-8.16133,3.1666666666667,4.4666666666667,7.0,6.8823529411765,5.9230769230769,6.4,3.4285714285714,6.1875,2.8947368421053,3.7647058823529
He ran across the uneven terrain.,-2.0778011072959,-4.565959,-10.9520885714286,4.4666666666667,3.4666666666667,6.9166666666667,6.9166666666667,5.2352941176471,5.8333333333333,4.8823529411765,4.875,5.6875,2.7692307692308
He ran further into the woods.,-2.0964461437293,-4.3269553,-9.6362842857143,4.25,4.25,6.875,6.875,4.3333333333333,6.0666666666667,4.8947368421053,4.6875,6.0,2.7647058823529
He relativity as he got Prevent.,-3.5062571593693,-8.868866,-12.8394357142857,1.1428571428571,1.1333333333333,1.2666666666667,2.0666666666667,1.3333333333333,1.0,2.6111111111111,1.1428571428571,1.0666666666667,1.2857142857143
He remained thoughtful for a moment.,-2.6695635999952,-4.372553,-9.1365642857143,2.5384615384615,4.4444444444444,6.7058823529412,6.8235294117647,5.0,4.0769230769231,4.9375,1.2857142857143,1.0625,4.4210526315789
He rose and left the table.,-2.3517985088485,-4.0999327,-8.8957228571429,3.2777777777778,5.3125,6.7777777777778,6.7777777777778,5.5,6.2666666666667,4.25,5.375,2.7142857142857,2.8823529411765
"He said Saudi Arabia, flat-out no.",-2.7064050883055,-4.8886333,-11.52423125,1.7142857142857,2.9230769230769,4.4166666666667,5.25,2.25,2.3333333333333,3.2142857142857,2.0,4.2,1.3888888888889
He seemed extremely pleased with himself.,-2.5083983327661,-3.7311347,-9.8612571428571,3.2666666666667,4.875,6.9090909090909,6.9090909090909,6.1052631578947,4.6428571428571,5.8125,1.9444444444444,1.8,4.8666666666667
He seemed quite unconcerned and relaxed.,-2.6812829034669,-4.3006167,-10.2560271428571,2.1111111111111,5.375,6.8333333333333,6.8888888888889,5.8125,3.8666666666667,5.1875,1.625,1.6428571428571,4.3529411764706
He sneered contemptuously at the Daimons.,-3.4449781775475,-4.133792,-12.1130414285714,3.5555555555556,3.125,5.8888888888889,6.4444444444444,2.125,4.5333333333333,4.3125,2.5,1.1428571428571,1.5294117647059
"He spoke baldly, with no pride.",-3.4254570007324,-4.7003417,-10.12222125,3.0,3.0833333333333,6.0769230769231,6.6153846153846,3.0,2.375,4.7777777777778,2.0769230769231,1.125,1.8823529411765
He spun around in the snow.,-2.0453805838312,-4.198881,-10.9666957142857,4.2857142857143,4.2352941176471,6.8333333333333,6.8888888888889,5.4705882352941,6.5,5.375,4.8461538461538,6.5,5.5
He stares up at the sky.,-2.1160508734839,-3.4043844,-9.6855928571429,3.375,3.5,7.0,6.9,5.9333333333333,6.3333333333333,4.8235294117647,3.5294117647059,6.0,4.1176470588235
He started walking through the snow.,-2.0578933230468,-4.346831,-9.6937842857143,3.125,4.2857142857143,7.0,7.0,5.0666666666667,6.2666666666667,4.6470588235294,4.3529411764706,6.2142857142857,3.4705882352941
He stopped at the bedroom door.,-1.8838466320719,-4.1336465,-9.6541528571429,3.2222222222222,5.5625,7.0,7.0,6.125,5.6666666666667,3.875,5.5625,4.4285714285714,2.7058823529412
He then walked to the bathroom.,-1.7918775251934,-3.884755,-8.8834742857143,1.625,5.8333333333333,6.8181818181818,6.8181818181818,6.5625,5.5625,4.1764705882353,5.5333333333333,3.7894736842105,2.5
He told her the truth unabashedly.,-2.70043861866,-4.292229,-11.1229585714286,4.5,2.875,6.625,6.5625,3.6,3.5333333333333,5.0,2.0,1.9285714285714,4.1764705882353
He took another sip of beer.,-2.329770565033,-3.5605261,-10.6859185714286,2.0666666666667,3.125,7.0,6.9090909090909,6.3157894736842,6.0714285714286,4.0625,5.7222222222222,2.7333333333333,3.3333333333333
He took off toward the stairs.,-2.2409881481103,-4.5723004,-9.8151471428571,3.3333333333333,5.2857142857143,7.0,6.8666666666667,4.6428571428571,5.9333333333333,3.7142857142857,5.1428571428571,3.9285714285714,1.8333333333333
He treated them like puppy dogs.,-3.0013584750039,-4.4234176,-11.3564342857143,2.8571428571429,5.4375,6.8235294117647,6.5294117647059,5.0,5.1428571428571,4.5,4.6666666666667,1.5,4.6923076923077
He truly was a skilled marksman.,-2.0408486298152,-4.2528305,-10.6703285714286,4.0714285714286,4.75,7.0,6.9411764705882,5.0588235294118,5.2857142857143,4.2857142857143,3.2666666666667,1.5714285714286,4.3846153846154
He turned to leave then stopped.,-2.4226166691099,-4.2429204,-10.1938042857143,3.6875,4.1666666666667,6.8181818181818,6.5454545454545,5.6875,5.3125,5.1176470588235,3.8666666666667,1.7368421052632,2.4375
He understood the science behind it.,-1.8732541671821,-4.0374556,-9.7081642857143,3.0555555555556,5.0666666666667,6.8823529411765,6.8235294117647,6.1538461538462,2.9333333333333,4.9285714285714,1.5,1.2105263157895,4.8823529411765
He walked back to the piano.,-1.8913134911231,-4.1740727,-8.4478428571429,2.4375,4.6666666666667,7.0,7.0,5.125,5.8125,3.9411764705882,6.6,3.3684210526316,3.6875
He walked out of the room.,-1.1791076575007,-3.087857,-8.0906851428571,2.25,4.9375,7.0,6.9375,6.1333333333333,6.2,4.3684210526316,4.0,4.5,2.8235294117647
He wanted to investigate the victim.,-1.9019211019788,-4.636469,-8.8203828571429,4.8888888888889,3.8,6.8235294117647,6.8235294117647,5.3076923076923,4.3333333333333,5.3571428571429,2.8125,1.7894736842105,2.1764705882353
He was a United States Senator!,-1.2124585956335,-4.1591907,-11.1192171428571,3.75,6.0833333333333,7.0,6.5454545454545,5.5625,4.1875,4.2941176470588,1.8,1.2631578947368,3.3125
He was a tall muscular man.,-1.9754479697772,-4.11011,-9.2222142857143,4.0666666666667,5.2941176470588,6.9375,7.0,5.7857142857143,6.6923076923077,3.0666666666667,4.2666666666667,1.25,4.2857142857143
He was a terrific Jimmy dance.,-2.5081393803869,-6.727163,-10.1533842857143,2.1428571428571,1.5882352941176,2.5555555555556,4.0,1.2352941176471,1.8125,3.5,1.9230769230769,1.0,3.6875
He was articles very audio impl.,-3.4773703316847,-9.437733,-12.4516671428571,1.2857142857143,1.2142857142857,1.1666666666667,1.7777777777778,1.2142857142857,1.0714285714286,1.75,1.4666666666667,1.2142857142857,1.8666666666667
He was bleeding from the stomach.,-2.0865256083863,-3.8812304,-8.9531271428571,5.5714285714286,4.75,6.8823529411765,6.8823529411765,4.5294117647059,6.5,4.9285714285714,4.6,1.5,1.3076923076923
He was cruel and scary and-,-2.6574817981039,-5.7865286,-14.384705,4.3571428571429,5.0769230769231,6.0,5.1666666666667,4.0,4.0666666666667,5.9285714285714,3.5294117647059,1.1333333333333,1.1111111111111
"He was happy, upbeat and friendly.",-2.4729525276593,-3.9953482,-7.8356835,4.0588235294118,5.1333333333333,6.9411764705882,6.7647058823529,6.3125,5.3125,6.7142857142857,1.4,1.2222222222222,5.6666666666667
He was hard to put down.,-1.5219274652856,-3.6760638,-7.777036,3.0588235294118,4.9333333333333,6.2352941176471,6.7058823529412,5.25,4.0,4.8571428571429,1.8,1.7222222222222,2.6111111111111
He was sitting in a chair.,-1.3551399707794,-3.3325815,-7.7458371428571,1.8235294117647,5.7333333333333,7.0,7.0,6.5,6.25,4.1428571428571,5.8,2.7222222222222,2.4444444444444
"He was too skinny, almost skeletal.",-3.1373742393085,-4.2876587,-10.25491875,4.0588235294118,4.2857142857143,6.8666666666667,6.6,4.6666666666667,6.3076923076923,5.3529411764706,4.2666666666667,1.6,1.0833333333333
He was typing on a computer.,-2.279491177627,-4.079707,-8.2750471428571,1.7333333333333,5.3529411764706,7.0,7.0,6.1428571428571,6.3846153846154,3.5333333333333,6.7333333333333,1.5625,3.6428571428571
He was underground in a cave.,-2.305360683373,-4.329487,-9.973,3.5714285714286,4.5714285714286,6.9444444444444,6.8333333333333,4.5714285714286,5.9285714285714,3.75,4.3333333333333,6.0,2.3333333333333
He was very patient and sure-footed.,-2.1827164515853,-3.9754968,-8.9777,1.8125,4.3333333333333,7.0,6.9090909090909,4.75,3.0,5.0588235294118,2.8,1.1578947368421,4.0625
He went back into the kitchen.,-1.7499931050198,-3.6540558,-8.4961585714286,2.0588235294118,6.1428571428571,6.9333333333333,6.9333333333333,6.4,5.6923076923077,3.1764705882353,5.6,5.2666666666667,3.1666666666667
He went out into the hall.,-1.6162367228951,-3.7771757,-8.3523971428571,1.6428571428571,6.3125,6.9411764705882,6.8823529411765,5.7647058823529,6.2142857142857,2.5714285714286,4.2666666666667,5.1428571428571,2.6153846153846
He went to the living room.,-1.4877591558865,-3.6932428,-8.1756671428571,1.7857142857143,6.7692307692308,7.0,6.9166666666667,6.75,5.8,3.5,4.0,5.2666666666667,2.0555555555556
He wore a loose white shirt.,-2.2653302976063,-4.080653,-10.4345242857143,2.5,6.0,7.0,7.0,5.75,6.6,3.2142857142857,4.8823529411765,1.2666666666667,2.3888888888889
He wore blue and white sneakers.,-1.778980838401,-4.1479,-10.9002128571429,1.7142857142857,5.6153846153846,7.0,7.0,5.7857142857143,6.8125,3.6428571428571,6.6875,2.1666666666667,4.0
He yanked her furry the Md.,-4.1215352501188,-7.782663,-13.2706757142857,3.3125,1.0714285714286,1.4,3.1,1.1333333333333,1.4,2.4705882352941,2.5294117647059,1.0,1.6470588235294
He you had a great day.,-2.4166475960187,-4.655825,-9.7408571428571,2.0769230769231,1.8888888888889,3.3529411764706,3.7058823529412,1.5294117647059,1.5384615384615,3.25,1.0714285714286,1.0625,4.5263157894737
He'd come because he had news.,-2.4171310588717,-4.328635,-9.4742625,3.4444444444444,3.8666666666667,6.4705882352941,5.8235294117647,3.9230769230769,3.5333333333333,4.5714285714286,2.3125,1.0526315789474,3.4705882352941
"He's been frantic, the woman explained.",-2.9048835486174,-4.702747,-8.9635244444444,4.3333333333333,3.3333333333333,6.6666666666667,6.1666666666667,4.2941176470588,5.1666666666667,5.5882352941176,2.5625,2.125,1.7692307692308
He's going to be more powerful.,-1.5777404941618,-3.459473,-6.232865,4.625,4.75,6.875,6.9375,4.4666666666667,3.9333333333333,4.4210526315789,2.3125,2.2142857142857,3.3529411764706
He's got a lot of talent.,-1.2613304029219,-2.7213895,-8.10621875,3.25,6.2857142857143,7.0,6.9,6.1333333333333,3.5333333333333,4.9411764705882,1.7058823529412,1.2142857142857,4.8823529411765
He's got such a quick release.,-1.6992293447256,-3.8022547,-9.5881575,3.8823529411765,5.0666666666667,6.2941176470588,6.4117647058824,4.625,3.75,4.6428571428571,1.8,1.2777777777778,2.9444444444444
He's in the quantum physics department.,-2.1221243068576,-4.438029,-9.5081475,2.6875,4.6428571428571,6.9,6.9,3.6,3.3333333333333,3.0,2.7647058823529,3.0714285714286,3.1176470588235
He's just a little bit easier.,-1.3224451225251,-4.027836,-9.90992125,2.5714285714286,5.3076923076923,6.0588235294118,6.2352941176471,5.0714285714286,2.8125,4.3571428571429,1.5,1.0,4.0625
He's taught me that by example.,-2.6358461454511,-4.6451364,-10.69883875,2.4285714285714,5.4,6.4,6.0,5.5555555555556,2.8461538461538,4.8888888888889,1.6428571428571,1.4666666666667,3.7142857142857
He's too badly damaged and malnourished.,-2.2990241311491,-3.810765,-9.2381625,4.5,4.3076923076923,6.5333333333333,6.8,4.2666666666667,4.6842105263158,5.8666666666667,2.6923076923077,1.4117647058824,1.5
