,prompt,base_class,surprisal,improbable_impossible,impossible_inconceivable,class
420,painting a picture using whispers.,inconceivable,9.4375,0.035400390625,0.154296875,inconceivable
424,washing a car with a memory.,inconceivable,7.3125,0.029541015625,0.1298828125,inconceivable
436,flying a kite using confusion.,inconceivable,9.5625,0.0308837890625,0.1318359375,inconceivable
437,pouring coffee using a rainbow.,inconceivable,8.4375,0.0830078125,0.1435546875,inconceivable
445,spinning a web using nostalgia.,inconceivable,9.875,0.0654296875,0.1484375,inconceivable
447,baking a cake using time.,inconceivable,7.78125,0.029052734375,0.0849609375,inconceivable
454,finding happiness inside a book.,inconceivable,7.6875,0.09619140625,0.1572265625,inconceivable
458,growing a garden with laughter.,inconceivable,8.0,0.107421875,0.1533203125,inconceivable
467,catching a cloud using excitement.,inconceivable,10.375,0.064453125,0.1357421875,inconceivable
468,driving a car with a dream.,inconceivable,6.5625,0.05908203125,0.1376953125,inconceivable
478,reading a book using silence.,inconceivable,8.125,0.1083984375,0.158203125,inconceivable
482,hiking a mountain with curiosity.,inconceivable,8.875,0.1083984375,0.154296875,inconceivable
484,dancing in the rain with time.,inconceivable,6.40625,0.0311279296875,0.11962890625,inconceivable
488,painting a house with dreams.,inconceivable,7.875,0.064453125,0.1484375,inconceivable
489,sailing a ship on whispers.,inconceivable,10.6875,0.048095703125,0.158203125,inconceivable
491,wrapping a gift using a feeling.,inconceivable,8.1875,0.026123046875,0.107421875,inconceivable
493,catching a fish using a friendship.,inconceivable,8.0625,-0.00396728515625,0.1201171875,inconceivable
494,painting a fence using a melody.,inconceivable,8.5625,0.01422119140625,0.1357421875,inconceivable
497,catching butterflies using time.,inconceivable,9.8125,0.0169677734375,0.0732421875,inconceivable
498,squeezing oranges into a memory.,inconceivable,6.8125,0.05419921875,0.154296875,inconceivable
500,tasting a rainbow while balancing a whisper.,inconceivable,9.0,0.004730224609375,0.1513671875,inconceivable
501,painting a sunset with a question.,inconceivable,8.3125,0.0458984375,0.1171875,inconceivable
502,boiling an ocean using a memory.,inconceivable,9.5625,-0.00262451171875,0.14453125,inconceivable
511,flying a kite using a memory.,inconceivable,7.78125,-0.004638671875,0.11376953125,inconceivable
512,painting a wall using a giggle.,inconceivable,8.6875,0.032470703125,0.12353515625,inconceivable
513,boiling water using a frown.,inconceivable,9.375,0.0947265625,0.1416015625,inconceivable
514,wrapping a gift using a dream.,inconceivable,7.375,0.03662109375,0.140625,inconceivable
515,dancing with shadows using dreams.,inconceivable,9.375,0.0498046875,0.150390625,inconceivable
517,juggling time with a pencil.,inconceivable,7.34375,0.10791015625,0.1494140625,inconceivable
531,painting a fence using whispers.,inconceivable,10.375,0.0203857421875,0.1396484375,inconceivable
534,catching a fish with a dream.,inconceivable,5.78125,0.095703125,0.1533203125,inconceivable
536,sailing a boat on a memory.,inconceivable,7.5,0.0247802734375,0.1328125,inconceivable
539,reading a book with a sigh.,inconceivable,6.25,0.109375,0.125,inconceivable
548,sailing a boat on memories.,inconceivable,9.125,0.068359375,0.1396484375,inconceivable
550,turning a page using laughter.,inconceivable,10.1875,0.0732421875,0.14453125,inconceivable
564,growing a garden from echoes.,inconceivable,10.5625,0.0289306640625,0.10986328125,inconceivable
568,watering plants using happiness.,inconceivable,9.625,0.07568359375,0.1455078125,inconceivable
569,catching fish using a dream.,inconceivable,7.5,0.043212890625,0.1298828125,inconceivable
572,tuning a guitar using a thought.,inconceivable,9.1875,0.005218505859375,0.142578125,inconceivable
575,painting a fence using a whisper.,inconceivable,7.96875,0.0010223388671875,0.1533203125,inconceivable
579,folding a map using a giggle.,inconceivable,9.5625,0.055419921875,0.1474609375,inconceivable
583,juggling fruits while riding a thought.,inconceivable,8.4375,0.005523681640625,0.1201171875,inconceivable
584,baking cookies from a melody.,inconceivable,9.4375,0.043701171875,0.1376953125,inconceivable
590,jumping over a mountain using a thought.,inconceivable,7.375,0.007354736328125,0.15625,inconceivable
595,dancing with a sandwich using a dream.,inconceivable,8.375,0.01416015625,0.11376953125,inconceivable
