sentence,class,probable_improbable,improbable_impossible,impossible_inconceivable,pca_0,pca_1,pca_2,random_0,random_1,random_2,loss
sewing a shirt using a toothpick.,improbable,620.0,35.25,-2288.0,-563.59357,36.97653,1.1113758,-76.5,168.0,210.0,7.96875
sewing a shirt using a potato.,impossible,924.0,470.0,-2272.0,-557.26,35.538925,3.0024967,-98.0,157.0,209.0,7.46875
sewing a shirt using thunder.,inconceivable,828.0,1104.0,-1008.0,-563.05994,39.21537,-2.7843008,17.25,152.0,106.0,9.75
shattering a window using a stone.,probable,178.0,-157.0,-2304.0,-570.4445,35.23441,-9.29704,-118.0,229.0,97.0,5.5625
shattering a window using a frisbee.,improbable,656.0,-24.75,-2624.0,-561.95776,36.100155,-3.3978672,-149.0,164.0,101.5,5.5
shattering a window using confetti.,impossible,408.0,-35.75,-2224.0,-575.47675,36.36775,-9.995005,-93.5,185.0,99.0,7.65625
shattering a window using a concept.,inconceivable,528.0,816.0,-418.0,-577.6406,37.106075,-3.1914167,-76.5,114.0,55.25,6.90625
shaving their beard using a razor.,probable,-185.0,-362.0,-2064.0,-571.27893,32.486217,-9.798355,-41.0,213.0,87.5,5.3125
shaving their beard using a knife.,improbable,169.0,-159.0,-2064.0,-572.91394,34.024445,-9.513184,-36.5,180.0,101.5,5.6875
shaving their beard using a teabag.,impossible,540.0,190.0,-2208.0,-564.1846,34.920044,-10.156727,-5.1875,192.0,124.5,6.0625
shaving their beard using a belief.,inconceivable,442.0,736.0,-620.0,-567.66864,34.44665,-8.888434,-19.5,243.0,59.5,7.625
smashing a pumpkin using a hammer.,probable,-55.75,-510.0,-2464.0,-568.0494,34.42455,-1.5207472,-105.0,160.0,109.5,5.25
smashing a pumpkin using a boulder.,improbable,284.0,-110.0,-2320.0,-569.69507,34.52603,-3.4118052,-61.5,196.0,115.0,6.0
smashing a pumpkin using a leaf.,impossible,322.0,22.125,-2224.0,-568.9531,35.467014,-4.189883,-43.0,212.0,106.5,6.1875
smashing a pumpkin using a number.,inconceivable,442.0,724.0,-1032.0,-562.7872,37.54961,-3.5403814,-64.5,256.0,165.0,6.84375
splitting a log using an axe.,probable,-11.75,-536.0,-2464.0,-569.5871,36.282036,1.7557201,-97.0,216.0,56.0,6.25
splitting a log using a saw.,improbable,99.0,-386.0,-2352.0,-565.98596,39.57961,5.570875,-44.75,188.0,39.0,6.28125
splitting a log using a feather.,impossible,804.0,616.0,-2336.0,-550.0926,41.054893,1.0866718,-22.0,240.0,129.0,7.84375
splitting a log using a gasp.,inconceivable,498.0,520.0,-996.0,-583.29565,37.37337,-3.9779444,-23.0,250.0,35.5,8.625
squeezing juice from an orange.,probable,-366.0,-498.0,-2416.0,-572.1743,35.95064,-7.263792,-133.0,253.0,26.875,4.46875
squeezing juice from meat.,improbable,198.0,-114.0,-2128.0,-574.0534,41.391644,-5.704914,-53.75,282.0,3.46875,6.40625
squeezing juice from an envelope.,impossible,242.0,26.625,-2112.0,-577.81213,37.529545,-10.725399,-63.0,218.0,51.5,5.78125
squeezing juice from a mumble.,inconceivable,450.0,580.0,-1056.0,-579.79285,38.77777,-9.307167,90.5,202.0,18.875,5.75
squishing a blueberry using their finger.,probable,127.5,-191.0,-2288.0,-567.00305,34.06502,-7.1404343,-19.0,215.0,12.0,7.125
squishing a blueberry using their nose.,improbable,280.0,-148.0,-2256.0,-567.13525,33.569984,-10.048887,-15.8125,130.0,87.5,7.125
squishing a blueberry using their breath.,impossible,414.0,104.0,-2040.0,-569.1725,34.324516,-9.666576,31.75,199.0,46.0,7.59375
squishing a blueberry using a sight.,inconceivable,532.0,744.0,-620.0,-585.0962,36.88405,-6.127967,-16.875,111.0,110.5,8.3125
starting a fire using kindling.,probable,50.25,-324.0,-2272.0,-573.6311,37.133118,-1.4216576,-141.0,161.0,99.5,5.71875
starting a fire using furniture.,improbable,764.0,158.0,-2176.0,-567.80164,36.235107,1.888422,-192.0,236.0,85.0,8.3125
starting a fire using milk.,impossible,940.0,416.0,-2368.0,-558.929,34.121174,4.0526314,-171.0,171.0,100.5,7.34375
starting a fire using humor.,inconceivable,628.0,160.0,-1464.0,-584.00366,38.93267,-1.3805733,-97.5,216.0,27.625,7.75
storing dishes inside a cabinet.,probable,-228.0,-592.0,-1976.0,-586.4695,35.377808,-5.5743084,-77.0,133.0,92.0,6.0625
storing dishes inside an attic.,improbable,340.0,-228.0,-2176.0,-574.72754,36.98977,-5.604622,-69.5,125.0,54.5,7.25
storing dishes inside a thimble.,impossible,474.0,85.0,-2400.0,-568.7605,37.884384,-8.533173,-64.0,169.0,55.75,6.71875
storing dishes inside an equation.,inconceivable,456.0,191.0,-1384.0,-578.63,41.3531,-3.7271528,-24.875,128.0,36.0,7.96875
taking a vacation to the beach.,probable,-234.0,-380.0,-1976.0,-574.0636,35.17682,-4.703348,-70.0,211.0,11.1875,5.0
taking a vacation to the desert.,improbable,146.0,-155.0,-1784.0,-580.28235,34.35886,-4.79558,-6.96875,228.0,44.5,5.34375
taking a vacation to the sun.,impossible,256.0,153.0,-1528.0,-578.96735,36.509537,-2.3854275,98.5,179.0,2.203125,5.5
taking a vacation to a verb.,inconceivable,237.0,196.0,-864.0,-582.1407,40.72067,-4.1896753,-58.25,344.0,16.5,7.75
tightening a bolt using a wrench.,probable,-382.0,-560.0,-2464.0,-566.8074,36.821728,-4.322283,-114.0,196.0,87.5,5.34375
tightening a bolt using chopsticks.,improbable,348.0,-228.0,-2400.0,-572.3481,35.588642,-6.2516966,-99.5,218.0,135.0,7.8125
tightening a bolt using a house.,impossible,450.0,844.0,-1096.0,-561.4956,38.89193,-5.3549004,-110.5,235.0,162.0,7.59375
tightening a bolt using a dream.,inconceivable,684.0,668.0,-964.0,-568.875,40.10038,-2.0876694,94.0,164.0,80.0,7.4375
turning an apple into a pie.,probable,25.625,-104.0,-1976.0,-573.02563,39.494778,-7.541996,-159.0,252.0,40.25,5.75
turning an apple into a salad.,improbable,270.0,-56.25,-1976.0,-576.8686,38.945114,-7.4636745,-68.0,232.0,11.875,6.34375
turning an apple into a cherry.,impossible,362.0,174.0,-1968.0,-572.57025,40.78532,-9.619671,-51.0,198.0,60.5,5.9375
turning an apple into honesty.,inconceivable,528.0,338.0,-1504.0,-573.563,40.970108,-8.516643,-16.875,244.0,20.75,8.6875
unlocking a door using a key.,probable,-410.0,-492.0,-2272.0,-568.3114,38.29013,-4.168605,-171.0,185.0,121.5,4.78125
unlocking a door using a screwdriver.,improbable,-145.0,-596.0,-2464.0,-573.1,35.905563,-4.6813116,-173.0,157.0,130.0,4.875
unlocking a door using a marshmallow.,impossible,824.0,592.0,-2192.0,-559.6166,35.303093,-2.2878876,-62.25,196.0,167.0,6.75
unlocking a door using a lie.,inconceivable,676.0,792.0,-1304.0,-559.1614,41.88868,-4.8131237,-45.5,150.0,96.0,6.1875
washing their hair using shampoo.,probable,-241.0,-250.0,-1984.0,-568.9188,34.196796,-8.921685,-53.0,278.0,120.5,6.90625
washing their hair using detergent.,improbable,-34.25,-82.5,-2064.0,-565.4641,35.724464,-10.787928,-68.0,276.0,144.0,7.78125
washing their hair using a rainbow.,impossible,512.0,716.0,-1376.0,-566.9684,37.931355,-11.8338,-96.5,152.0,192.0,8.125
washing their hair using applause.,inconceivable,414.0,504.0,-976.0,-573.6008,39.66274,-16.498947,-99.5,196.0,225.0,10.125
wearing shoes made of leather.,probable,-12.6875,-209.0,-1856.0,-581.25366,34.45557,-7.5227833,16.0,201.0,183.0,6.375
wearing shoes made of wood.,improbable,274.0,-156.0,-2048.0,-582.4629,34.438526,-7.916663,11.125,127.0,127.0,6.40625
wearing shoes made of stars.,impossible,532.0,280.0,-1728.0,-578.3472,36.600655,-8.331529,22.375,80.5,64.5,7.78125
wearing shoes made of traffic.,inconceivable,852.0,1004.0,-1448.0,-560.89984,38.079117,-6.3688555,-56.0,164.0,154.0,9.625
wrapping a present using paper.,probable,-418.0,-620.0,-2192.0,-578.8395,35.51231,-2.6335573,-121.5,118.5,43.75,6.84375
wrapping a present using a dress.,improbable,450.0,-11.125,-2240.0,-568.7454,37.3154,-1.4924908,-71.5,185.0,74.0,7.0625
wrapping a present using ketchup.,impossible,548.0,65.0,-2400.0,-568.4896,36.905422,-2.9090033,-85.0,221.0,94.0,9.625
wrapping a present using gossip.,inconceivable,664.0,816.0,-792.0,-575.5272,38.167557,-4.3631487,-51.5,237.0,46.5,9.6875
writing a letter using a pen.,probable,-532.0,-672.0,-1960.0,-580.94366,34.345127,-4.051448,-96.0,102.5,152.0,5.78125
writing a letter using a stylus.,improbable,-24.125,-502.0,-1904.0,-582.8391,35.50489,-3.175518,-24.625,120.5,159.0,6.5625
writing a letter using a snowflake.,impossible,474.0,211.0,-1792.0,-571.635,35.22828,-0.5948067,-36.5,142.0,144.0,8.0
writing a letter using a marathon.,inconceivable,656.0,928.0,-836.0,-565.57776,37.480206,-2.302082,-73.0,187.0,116.0,8.3125
writing an equation on a chalkboard.,probable,-892.0,-904.0,-2080.0,-580.51575,33.569103,-10.36282,-130.0,120.0,78.0,6.15625
writing an equation on a billboard.,improbable,62.25,-256.0,-1896.0,-575.1306,39.30086,-5.540436,-63.0,243.0,57.75,7.15625
writing an equation on an atom.,impossible,235.0,164.0,-1424.0,-573.07556,37.9454,-0.5237522,-133.0,193.0,56.25,6.96875
writing an equation on a scream.,inconceivable,488.0,392.0,-1248.0,-574.3277,40.403156,-4.5650196,40.75,217.0,54.25,8.125
