,sentence,layer,improbable_impossible_projection,impossible_inconceivable_projection,improbable_inconceivable_projection
8706,They pay good money for it.,22,2512.0,-7232.0,-4704.0
8707,They pay good money for it.,23,3808.0,-7968.0,-4160.0
8708,They pay good money for it.,24,3584.0,-9344.0,-5760.0
8709,They pay good money for it.,25,1928.0,-2368.0,-494.0
8710,He put the car in gear.,0,-3.671875,-3.765625,-7.40625
8711,He put the car in gear.,1,-5.375,-27.375,-32.75
8712,He put the car in gear.,2,-0.65625,-18.0,-18.625
8713,He put the car in gear.,3,15.75,-28.25,-12.75
8714,He put the car in gear.,4,-23.375,-83.0,-106.5
8715,He put the car in gear.,5,31.625,1.9453125,34.25
8716,He put the car in gear.,6,-53.25,-205.0,-258.0
8717,He put the car in gear.,7,-62.75,-588.0,-648.0
8718,He put the car in gear.,8,-82.0,-696.0,-776.0
8719,He put the car in gear.,9,-13.625,-424.0,-438.0
8720,He put the car in gear.,10,33.0,-1040.0,-1004.0
8721,He put the car in gear.,11,189.0,-1456.0,-1256.0
8722,He put the car in gear.,12,-40.0,-1256.0,-1296.0
8723,He put the car in gear.,13,219.0,-1992.0,-1776.0
8724,He put the car in gear.,14,382.0,-1968.0,-1584.0
8725,He put the car in gear.,15,172.0,-3856.0,-3680.0
8726,He put the car in gear.,16,502.0,-3648.0,-3152.0
8727,He put the car in gear.,17,104.0,-3328.0,-3232.0
8728,He put the car in gear.,18,506.0,-4832.0,-4320.0
8729,He put the car in gear.,19,74.0,-4416.0,-4320.0
8730,He put the car in gear.,20,536.0,-4224.0,-3696.0
8731,He put the car in gear.,21,1248.0,-4352.0,-3104.0
8732,He put the car in gear.,22,1336.0,-6048.0,-4704.0
8733,He put the car in gear.,23,2464.0,-6528.0,-4048.0
8734,He put the car in gear.,24,1992.0,-7424.0,-5440.0
8735,He put the car in gear.,25,1004.0,-2096.0,-1096.0
8736,Wearing jeans and a black coat.,0,-3.875,-5.0625,-8.9375
8737,Wearing jeans and a black coat.,1,-7.625,-29.125,-36.75
8738,Wearing jeans and a black coat.,2,-3.359375,-24.875,-28.25
8739,Wearing jeans and a black coat.,3,-8.8125,-65.5,-75.0
8740,Wearing jeans and a black coat.,4,-43.0,-137.0,-181.0
8741,Wearing jeans and a black coat.,5,-1.65625,-78.0,-79.0
8742,Wearing jeans and a black coat.,6,-88.0,-247.0,-336.0
8743,Wearing jeans and a black coat.,7,-114.5,-652.0,-764.0
8744,Wearing jeans and a black coat.,8,-141.0,-680.0,-816.0
8745,Wearing jeans and a black coat.,9,-121.0,-508.0,-632.0
8746,Wearing jeans and a black coat.,10,-39.5,-1008.0,-1048.0
8747,Wearing jeans and a black coat.,11,-40.25,-1496.0,-1536.0
8748,Wearing jeans and a black coat.,12,-226.0,-1280.0,-1496.0
8749,Wearing jeans and a black coat.,13,14.0,-2128.0,-2128.0
8750,Wearing jeans and a black coat.,14,276.0,-2272.0,-2000.0
8751,Wearing jeans and a black coat.,15,-193.0,-3984.0,-4192.0
8752,Wearing jeans and a black coat.,16,78.5,-3904.0,-3840.0
8753,Wearing jeans and a black coat.,17,-560.0,-3936.0,-4512.0
8754,Wearing jeans and a black coat.,18,-227.0,-5504.0,-5760.0
8755,Wearing jeans and a black coat.,19,-908.0,-5184.0,-6048.0
8756,Wearing jeans and a black coat.,20,-428.0,-5120.0,-5568.0
8757,Wearing jeans and a black coat.,21,107.5,-5536.0,-5408.0
8758,Wearing jeans and a black coat.,22,-138.0,-7200.0,-7360.0
8759,Wearing jeans and a black coat.,23,720.0,-7872.0,-7136.0
8760,Wearing jeans and a black coat.,24,404.0,-8960.0,-8576.0
8761,Wearing jeans and a black coat.,25,-1944.0,-1336.0,-3264.0
8762,Thin metal lock-picking tools lay inside.,0,-3.21875,-4.5,-7.71875
8763,Thin metal lock-picking tools lay inside.,1,-7.3125,-30.625,-38.0
8764,Thin metal lock-picking tools lay inside.,2,-2.421875,-19.75,-22.125
8765,Thin metal lock-picking tools lay inside.,3,15.3125,-5.8125,9.375
8766,Thin metal lock-picking tools lay inside.,4,-17.875,-77.0,-95.0
8767,Thin metal lock-picking tools lay inside.,5,79.5,72.0,151.0
8768,Thin metal lock-picking tools lay inside.,6,-10.625,-142.0,-153.0
8769,Thin metal lock-picking tools lay inside.,7,-13.625,-564.0,-580.0
8770,Thin metal lock-picking tools lay inside.,8,-32.75,-636.0,-668.0
8771,Thin metal lock-picking tools lay inside.,9,64.0,-428.0,-366.0
8772,Thin metal lock-picking tools lay inside.,10,220.0,-1048.0,-828.0
8773,Thin metal lock-picking tools lay inside.,11,326.0,-1464.0,-1136.0
8774,Thin metal lock-picking tools lay inside.,12,57.0,-1328.0,-1264.0
8775,Thin metal lock-picking tools lay inside.,13,458.0,-2144.0,-1688.0
8776,Thin metal lock-picking tools lay inside.,14,688.0,-2256.0,-1568.0
8777,Thin metal lock-picking tools lay inside.,15,83.5,-3984.0,-3904.0
8778,Thin metal lock-picking tools lay inside.,16,462.0,-4096.0,-3648.0
8779,Thin metal lock-picking tools lay inside.,17,-296.0,-3952.0,-4256.0
8780,Thin metal lock-picking tools lay inside.,18,-7.28125,-5536.0,-5536.0
8781,Thin metal lock-picking tools lay inside.,19,-516.0,-5056.0,-5568.0
8782,Thin metal lock-picking tools lay inside.,20,-140.0,-5216.0,-5344.0
8783,Thin metal lock-picking tools lay inside.,21,568.0,-5920.0,-5344.0
8784,Thin metal lock-picking tools lay inside.,22,608.0,-7616.0,-7008.0
8785,Thin metal lock-picking tools lay inside.,23,1304.0,-8832.0,-7520.0
8786,Thin metal lock-picking tools lay inside.,24,1048.0,-10176.0,-9088.0
8787,Thin metal lock-picking tools lay inside.,25,-502.0,-1928.0,-2464.0
8788,"Oh, and an amusing little monkey.",0,-3.09375,-0.287109375,-3.359375
8789,"Oh, and an amusing little monkey.",1,-5.5,-19.875,-25.375
8790,"Oh, and an amusing little monkey.",2,-0.65234375,-9.625,-10.25
8791,"Oh, and an amusing little monkey.",3,37.0,-7.3125,29.25
8792,"Oh, and an amusing little monkey.",4,2.328125,-27.75,-25.5
8793,"Oh, and an amusing little monkey.",5,100.5,98.5,200.0
8794,"Oh, and an amusing little monkey.",6,-7.75,-139.0,-146.0
8795,"Oh, and an amusing little monkey.",7,22.0,-516.0,-494.0
8796,"Oh, and an amusing little monkey.",8,-0.06787109375,-628.0,-624.0
8797,"Oh, and an amusing little monkey.",9,103.5,-400.0,-298.0
8798,"Oh, and an amusing little monkey.",10,254.0,-988.0,-732.0
8799,"Oh, and an amusing little monkey.",11,644.0,-1496.0,-848.0
8800,"Oh, and an amusing little monkey.",12,426.0,-1320.0,-888.0
8801,"Oh, and an amusing little monkey.",13,1032.0,-2240.0,-1216.0
8802,"Oh, and an amusing little monkey.",14,1296.0,-2464.0,-1160.0
8803,"Oh, and an amusing little monkey.",15,928.0,-4128.0,-3200.0
8804,"Oh, and an amusing little monkey.",16,1280.0,-3920.0,-2656.0
8805,"Oh, and an amusing little monkey.",17,704.0,-3680.0,-2992.0
8806,"Oh, and an amusing little monkey.",18,1176.0,-5472.0,-4288.0
8807,"Oh, and an amusing little monkey.",19,744.0,-5152.0,-4416.0
8808,"Oh, and an amusing little monkey.",20,1296.0,-5312.0,-4032.0
8809,"Oh, and an amusing little monkey.",21,2768.0,-6048.0,-3280.0
8810,"Oh, and an amusing little monkey.",22,3104.0,-8096.0,-4992.0
8811,"Oh, and an amusing little monkey.",23,4288.0,-9024.0,-4768.0
8812,"Oh, and an amusing little monkey.",24,4352.0,-10496.0,-6112.0
8813,"Oh, and an amusing little monkey.",25,3408.0,-3312.0,89.0
8814,It would only delay the inevitable.,0,-2.578125,7.28125,4.6875
8815,It would only delay the inevitable.,1,-3.40625,-6.90625,-10.3125
8816,It would only delay the inevitable.,2,1.171875,4.03125,5.21875
8817,It would only delay the inevitable.,3,37.25,49.75,86.5
8818,It would only delay the inevitable.,4,-3.96875,15.0,10.9375
8819,It would only delay the inevitable.,5,86.0,161.0,247.0
8820,It would only delay the inevitable.,6,-13.9375,-49.75,-63.25
8821,It would only delay the inevitable.,7,7.15625,-372.0,-362.0
8822,It would only delay the inevitable.,8,12.375,-454.0,-440.0
8823,It would only delay the inevitable.,9,89.0,-145.0,-55.5
8824,It would only delay the inevitable.,10,203.0,-664.0,-466.0
8825,It would only delay the inevitable.,11,398.0,-796.0,-396.0
8826,It would only delay the inevitable.,12,266.0,-944.0,-672.0
8827,It would only delay the inevitable.,13,620.0,-1496.0,-880.0
8828,It would only delay the inevitable.,14,860.0,-1888.0,-1024.0
8829,It would only delay the inevitable.,15,452.0,-3088.0,-2624.0
8830,It would only delay the inevitable.,16,988.0,-3120.0,-2144.0
8831,It would only delay the inevitable.,17,596.0,-3344.0,-2768.0
8832,It would only delay the inevitable.,18,1048.0,-4864.0,-3824.0
8833,It would only delay the inevitable.,19,494.0,-4160.0,-3664.0
8834,It would only delay the inevitable.,20,1048.0,-4192.0,-3184.0
8835,It would only delay the inevitable.,21,2080.0,-4448.0,-2352.0
8836,It would only delay the inevitable.,22,2176.0,-6304.0,-4128.0
8837,It would only delay the inevitable.,23,3568.0,-7296.0,-3712.0
8838,It would only delay the inevitable.,24,3552.0,-8896.0,-5312.0
8839,It would only delay the inevitable.,25,2128.0,-3888.0,-1808.0
8840,The glass in the frame broke.,0,-2.96875,-1.71875,-4.6875
8841,The glass in the frame broke.,1,-5.78125,-29.25,-35.0
8842,The glass in the frame broke.,2,-2.765625,-18.875,-21.625
8843,The glass in the frame broke.,3,15.375,-28.75,-13.5
8844,The glass in the frame broke.,4,-23.0,-109.0,-132.0
8845,The glass in the frame broke.,5,50.0,-0.69921875,49.25
8846,The glass in the frame broke.,6,-53.75,-238.0,-292.0
8847,The glass in the frame broke.,7,-58.0,-692.0,-748.0
8848,The glass in the frame broke.,8,-89.5,-788.0,-876.0
8849,The glass in the frame broke.,9,-26.125,-520.0,-548.0
8850,The glass in the frame broke.,10,95.0,-1120.0,-1024.0
8851,The glass in the frame broke.,11,292.0,-1680.0,-1384.0
8852,The glass in the frame broke.,12,82.0,-1552.0,-1464.0
8853,The glass in the frame broke.,13,420.0,-2528.0,-2112.0
8854,The glass in the frame broke.,14,644.0,-2704.0,-2064.0
8855,The glass in the frame broke.,15,181.0,-4544.0,-4352.0
8856,The glass in the frame broke.,16,376.0,-4544.0,-4160.0
8857,The glass in the frame broke.,17,-135.0,-4448.0,-4576.0
8858,The glass in the frame broke.,18,276.0,-6432.0,-6176.0
8859,The glass in the frame broke.,19,-336.0,-5888.0,-6240.0
8860,The glass in the frame broke.,20,3.3125,-6304.0,-6304.0
8861,The glass in the frame broke.,21,1024.0,-7104.0,-6080.0
8862,The glass in the frame broke.,22,960.0,-9344.0,-8384.0
8863,The glass in the frame broke.,23,1864.0,-10368.0,-8512.0
8864,The glass in the frame broke.,24,1152.0,-12096.0,-10944.0
8865,The glass in the frame broke.,25,-364.0,-5760.0,-6144.0
8866,Pull the pin and throw it!,0,-2.984375,2.03125,-0.9609375
8867,Pull the pin and throw it!,1,-5.875,-33.75,-39.75
8868,Pull the pin and throw it!,2,-0.88671875,-15.875,-16.75
8869,Pull the pin and throw it!,3,23.5,-14.5,8.9375
8870,Pull the pin and throw it!,4,-13.375,-72.5,-86.0
8871,Pull the pin and throw it!,5,66.0,24.875,91.5
8872,Pull the pin and throw it!,6,-0.5234375,-159.0,-160.0
8873,Pull the pin and throw it!,7,37.75,-504.0,-466.0
8874,Pull the pin and throw it!,8,34.5,-668.0,-628.0
8875,Pull the pin and throw it!,9,138.0,-492.0,-354.0
8876,Pull the pin and throw it!,10,288.0,-1064.0,-780.0
8877,Pull the pin and throw it!,11,504.0,-1504.0,-996.0
8878,Pull the pin and throw it!,12,324.0,-1288.0,-960.0
8879,Pull the pin and throw it!,13,728.0,-2040.0,-1312.0
8880,Pull the pin and throw it!,14,964.0,-2320.0,-1344.0
8881,Pull the pin and throw it!,15,732.0,-4224.0,-3488.0
8882,Pull the pin and throw it!,16,1152.0,-4608.0,-3472.0
8883,Pull the pin and throw it!,17,540.0,-4544.0,-4016.0
8884,Pull the pin and throw it!,18,1088.0,-6528.0,-5440.0
8885,Pull the pin and throw it!,19,672.0,-6432.0,-5760.0
8886,Pull the pin and throw it!,20,1256.0,-6656.0,-5408.0
8887,Pull the pin and throw it!,21,2560.0,-8032.0,-5472.0
8888,Pull the pin and throw it!,22,2608.0,-10496.0,-7872.0
8889,Pull the pin and throw it!,23,3696.0,-11520.0,-7808.0
8890,Pull the pin and throw it!,24,3648.0,-14400.0,-10688.0
8891,Pull the pin and throw it!,25,1576.0,-11520.0,-9984.0
8892,"Another mourner, another well-wisher, another liar.",0,-3.390625,-0.302734375,-3.671875
8893,"Another mourner, another well-wisher, another liar.",1,-4.5,-16.25,-20.75
8894,"Another mourner, another well-wisher, another liar.",2,0.474609375,-5.96875,-5.46875
8895,"Another mourner, another well-wisher, another liar.",3,23.625,12.0625,35.5
8896,"Another mourner, another well-wisher, another liar.",4,-3.4375,-3.671875,-7.3125
8897,"Another mourner, another well-wisher, another liar.",5,77.0,131.0,208.0
8898,"Another mourner, another well-wisher, another liar.",6,-15.0625,-88.0,-103.0
8899,"Another mourner, another well-wisher, another liar.",7,6.1875,-416.0,-408.0
8900,"Another mourner, another well-wisher, another liar.",8,4.1875,-460.0,-456.0
8901,"Another mourner, another well-wisher, another liar.",9,121.5,-150.0,-28.75
8902,"Another mourner, another well-wisher, another liar.",10,219.0,-676.0,-456.0
8903,"Another mourner, another well-wisher, another liar.",11,536.0,-904.0,-364.0
8904,"Another mourner, another well-wisher, another liar.",12,282.0,-816.0,-532.0
8905,"Another mourner, another well-wisher, another liar.",13,756.0,-1336.0,-592.0
8906,"Another mourner, another well-wisher, another liar.",14,1040.0,-1736.0,-688.0
8907,"Another mourner, another well-wisher, another liar.",15,864.0,-3248.0,-2384.0
8908,"Another mourner, another well-wisher, another liar.",16,1288.0,-3344.0,-2064.0
8909,"Another mourner, another well-wisher, another liar.",17,828.0,-3392.0,-2576.0
8910,"Another mourner, another well-wisher, another liar.",18,1352.0,-5120.0,-3776.0
8911,"Another mourner, another well-wisher, another liar.",19,896.0,-4192.0,-3280.0
8912,"Another mourner, another well-wisher, another liar.",20,1504.0,-4016.0,-2528.0
8913,"Another mourner, another well-wisher, another liar.",21,2720.0,-4256.0,-1536.0
8914,"Another mourner, another well-wisher, another liar.",22,2864.0,-5568.0,-2688.0
8915,"Another mourner, another well-wisher, another liar.",23,4160.0,-6016.0,-1872.0
8916,"Another mourner, another well-wisher, another liar.",24,4128.0,-7232.0,-3104.0
8917,"Another mourner, another well-wisher, another liar.",25,2128.0,-1240.0,864.0
8918,Thou shalt not accede to evil.,0,-2.609375,3.125,0.5625
8919,Thou shalt not accede to evil.,1,-5.15625,-20.0,-25.125
8920,Thou shalt not accede to evil.,2,-0.69140625,-5.96875,-6.625
8921,Thou shalt not accede to evil.,3,36.25,27.0,63.0
8922,Thou shalt not accede to evil.,4,4.40625,-4.9375,-0.65234375
8923,Thou shalt not accede to evil.,5,104.5,146.0,252.0
8924,Thou shalt not accede to evil.,6,5.03125,-55.25,-50.25
8925,Thou shalt not accede to evil.,7,42.75,-380.0,-334.0
8926,Thou shalt not accede to evil.,8,47.25,-464.0,-414.0
8927,Thou shalt not accede to evil.,9,162.0,-194.0,-32.25
8928,Thou shalt not accede to evil.,10,312.0,-752.0,-440.0
8929,Thou shalt not accede to evil.,11,592.0,-1072.0,-474.0
8930,Thou shalt not accede to evil.,12,378.0,-908.0,-524.0
8931,Thou shalt not accede to evil.,13,908.0,-1448.0,-540.0
8932,Thou shalt not accede to evil.,14,1112.0,-1648.0,-528.0
8933,Thou shalt not accede to evil.,15,848.0,-3152.0,-2304.0
8934,Thou shalt not accede to evil.,16,1288.0,-3168.0,-1888.0
8935,Thou shalt not accede to evil.,17,692.0,-2880.0,-2208.0
8936,Thou shalt not accede to evil.,18,1184.0,-4448.0,-3264.0
8937,Thou shalt not accede to evil.,19,692.0,-3536.0,-2848.0
8938,Thou shalt not accede to evil.,20,1208.0,-3408.0,-2208.0
8939,Thou shalt not accede to evil.,21,2688.0,-2864.0,-155.0
8940,Thou shalt not accede to evil.,22,2704.0,-4320.0,-1624.0
8941,Thou shalt not accede to evil.,23,3792.0,-4048.0,-270.0
8942,Thou shalt not accede to evil.,24,3536.0,-4736.0,-1192.0
8943,Thou shalt not accede to evil.,25,1744.0,3424.0,5152.0
8944,"One tug, and he went flying.",0,-2.859375,2.234375,-0.63671875
8945,"One tug, and he went flying.",1,-3.4375,-20.125,-23.625
8946,"One tug, and he went flying.",2,1.28125,-10.8125,-9.5
8947,"One tug, and he went flying.",3,24.0,-4.65625,19.25
8948,"One tug, and he went flying.",4,-3.140625,-49.25,-52.5
8949,"One tug, and he went flying.",5,90.0,73.5,164.0
8950,"One tug, and he went flying.",6,3.6875,-122.0,-119.0
8951,"One tug, and he went flying.",7,20.125,-528.0,-504.0
8952,"One tug, and he went flying.",8,0.84375,-632.0,-632.0
8953,"One tug, and he went flying.",9,99.5,-380.0,-282.0
8954,"One tug, and he went flying.",10,216.0,-924.0,-712.0
8955,"One tug, and he went flying.",11,418.0,-1280.0,-860.0
8956,"One tug, and he went flying.",12,282.0,-1168.0,-888.0
8957,"One tug, and he went flying.",13,660.0,-1952.0,-1288.0
8958,"One tug, and he went flying.",14,932.0,-2208.0,-1280.0
8959,"One tug, and he went flying.",15,696.0,-3632.0,-2928.0
8960,"One tug, and he went flying.",16,1296.0,-4256.0,-2960.0
8961,"One tug, and he went flying.",17,632.0,-3984.0,-3360.0
8962,"One tug, and he went flying.",18,1144.0,-5760.0,-4608.0
8963,"One tug, and he went flying.",19,628.0,-5056.0,-4416.0
8964,"One tug, and he went flying.",20,1128.0,-5056.0,-3920.0
8965,"One tug, and he went flying.",21,2096.0,-5600.0,-3504.0
8966,"One tug, and he went flying.",22,2272.0,-7648.0,-5376.0
8967,"One tug, and he went flying.",23,3440.0,-8640.0,-5184.0
8968,"One tug, and he went flying.",24,3328.0,-10368.0,-7072.0
8969,"One tug, and he went flying.",25,1832.0,-8192.0,-6400.0
8970,She was beauty and gentleness personified.,0,-3.53125,4.6875,1.1875
8971,She was beauty and gentleness personified.,1,-5.53125,-12.5,-18.125
8972,She was beauty and gentleness personified.,2,-1.296875,-3.0,-4.28125
8973,She was beauty and gentleness personified.,3,18.875,18.375,37.0
8974,She was beauty and gentleness personified.,4,-12.0625,-20.75,-33.0
8975,She was beauty and gentleness personified.,5,50.5,91.0,141.0
8976,She was beauty and gentleness personified.,6,-44.75,-138.0,-183.0
8977,She was beauty and gentleness personified.,7,-41.75,-486.0,-528.0
8978,She was beauty and gentleness personified.,8,-77.5,-616.0,-692.0
8979,She was beauty and gentleness personified.,9,-18.875,-292.0,-310.0
8980,She was beauty and gentleness personified.,10,72.5,-828.0,-756.0
8981,She was beauty and gentleness personified.,11,245.0,-1128.0,-884.0
8982,She was beauty and gentleness personified.,12,67.0,-1012.0,-940.0
8983,She was beauty and gentleness personified.,13,416.0,-1568.0,-1160.0
8984,She was beauty and gentleness personified.,14,788.0,-1728.0,-932.0
8985,She was beauty and gentleness personified.,15,422.0,-3232.0,-2800.0
8986,She was beauty and gentleness personified.,16,908.0,-3136.0,-2240.0
8987,She was beauty and gentleness personified.,17,304.0,-2864.0,-2560.0
8988,She was beauty and gentleness personified.,18,824.0,-4448.0,-3616.0
8989,She was beauty and gentleness personified.,19,232.0,-3696.0,-3472.0
8990,She was beauty and gentleness personified.,20,724.0,-3472.0,-2768.0
8991,She was beauty and gentleness personified.,21,1488.0,-3408.0,-1928.0
8992,She was beauty and gentleness personified.,22,1320.0,-4768.0,-3440.0
8993,She was beauty and gentleness personified.,23,2416.0,-4864.0,-2448.0
8994,She was beauty and gentleness personified.,24,2448.0,-4864.0,-2400.0
8995,She was beauty and gentleness personified.,25,556.0,2352.0,2880.0
8996,Hotel is just around the corner.,0,-3.46875,-1.0078125,-4.46875
8997,Hotel is just around the corner.,1,-6.25,-26.0,-32.25
8998,Hotel is just around the corner.,2,-1.6328125,-10.1875,-11.8125
8999,Hotel is just around the corner.,3,11.25,-10.625,0.6015625
9000,Hotel is just around the corner.,4,-24.5,-60.75,-85.5
9001,Hotel is just around the corner.,5,21.875,35.25,57.75
9002,Hotel is just around the corner.,6,-56.25,-140.0,-196.0
9003,Hotel is just around the corner.,7,-56.75,-440.0,-494.0
9004,Hotel is just around the corner.,8,-93.5,-568.0,-660.0
9005,Hotel is just around the corner.,9,-19.375,-316.0,-336.0
9006,Hotel is just around the corner.,10,74.5,-776.0,-704.0
9007,Hotel is just around the corner.,11,264.0,-1176.0,-908.0
9008,Hotel is just around the corner.,12,54.0,-968.0,-912.0
9009,Hotel is just around the corner.,13,432.0,-1672.0,-1248.0
9010,Hotel is just around the corner.,14,804.0,-1888.0,-1080.0
9011,Hotel is just around the corner.,15,394.0,-3424.0,-3040.0
9012,Hotel is just around the corner.,16,652.0,-3232.0,-2576.0
9013,Hotel is just around the corner.,17,74.5,-3392.0,-3328.0
9014,Hotel is just around the corner.,18,264.0,-5120.0,-4864.0
9015,Hotel is just around the corner.,19,-408.0,-4480.0,-4896.0
9016,Hotel is just around the corner.,20,19.375,-4640.0,-4608.0
9017,Hotel is just around the corner.,21,1024.0,-4480.0,-3472.0
9018,Hotel is just around the corner.,22,888.0,-6176.0,-5280.0
9019,Hotel is just around the corner.,23,2008.0,-6656.0,-4640.0
9020,Hotel is just around the corner.,24,1360.0,-8128.0,-6784.0
9021,Hotel is just around the corner.,25,-203.0,9.0625,-199.0
9022,Understand the meaning of the word.,0,-3.0625,5.0,1.9296875
9023,Understand the meaning of the word.,1,-4.46875,-15.0625,-19.5
9024,Understand the meaning of the word.,2,0.734375,-9.25,-8.5
9025,Understand the meaning of the word.,3,26.125,32.5,58.5
9026,Understand the meaning of the word.,4,-19.75,28.125,8.1875
9027,Understand the meaning of the word.,5,47.5,119.5,168.0
9028,Understand the meaning of the word.,6,-65.5,-96.0,-162.0
9029,Understand the meaning of the word.,7,-42.25,-274.0,-316.0
9030,Understand the meaning of the word.,8,-46.5,-174.0,-220.0
9031,Understand the meaning of the word.,9,-30.0,12.5625,-17.625
9032,Understand the meaning of the word.,10,67.5,-240.0,-175.0
9033,Understand the meaning of the word.,11,150.0,-356.0,-203.0
9034,Understand the meaning of the word.,12,-8.4375,-310.0,-318.0
9035,Understand the meaning of the word.,13,260.0,-580.0,-324.0
9036,Understand the meaning of the word.,14,286.0,-424.0,-137.0
9037,Understand the meaning of the word.,15,178.0,-948.0,-772.0
9038,Understand the meaning of the word.,16,189.0,-194.0,-5.71875
9039,Understand the meaning of the word.,17,-160.0,-298.0,-458.0
9040,Understand the meaning of the word.,18,-178.0,-202.0,-382.0
9041,Understand the meaning of the word.,19,-149.0,6.21875,-141.0
9042,Understand the meaning of the word.,20,140.0,112.5,248.0
9043,Understand the meaning of the word.,21,716.0,124.5,840.0
9044,Understand the meaning of the word.,22,1224.0,-318.0,916.0
9045,Understand the meaning of the word.,23,2080.0,400.0,2480.0
9046,Understand the meaning of the word.,24,3312.0,868.0,4192.0
9047,Understand the meaning of the word.,25,5792.0,24064.0,29824.0
9048,Let's hope the best team wins.,0,-3.09375,3.6875,0.61328125
9049,Let's hope the best team wins.,1,-4.4375,-15.8125,-20.25
9050,Let's hope the best team wins.,2,0.6328125,-4.75,-4.125
9051,Let's hope the best team wins.,3,23.25,17.5,40.75
9052,Let's hope the best team wins.,4,-8.9375,-26.0,-35.25
9053,Let's hope the best team wins.,5,61.75,86.0,149.0
9054,Let's hope the best team wins.,6,-22.5,-112.0,-135.0
9055,Let's hope the best team wins.,7,-8.1875,-486.0,-490.0
9056,Let's hope the best team wins.,8,-38.75,-608.0,-644.0
9057,Let's hope the best team wins.,9,54.75,-270.0,-215.0
9058,Let's hope the best team wins.,10,181.0,-872.0,-692.0
9059,Let's hope the best team wins.,11,378.0,-1080.0,-700.0
9060,Let's hope the best team wins.,12,187.0,-972.0,-780.0
9061,Let's hope the best team wins.,13,564.0,-1352.0,-788.0
9062,Let's hope the best team wins.,14,876.0,-1784.0,-900.0
9063,Let's hope the best team wins.,15,516.0,-3328.0,-2816.0
9064,Let's hope the best team wins.,16,1016.0,-3168.0,-2176.0
9065,Let's hope the best team wins.,17,600.0,-3376.0,-2784.0
9066,Let's hope the best team wins.,18,1144.0,-5184.0,-4048.0
9067,Let's hope the best team wins.,19,704.0,-4480.0,-3776.0
9068,Let's hope the best team wins.,20,1208.0,-4352.0,-3168.0
9069,Let's hope the best team wins.,21,2752.0,-4768.0,-2000.0
9070,Let's hope the best team wins.,22,2896.0,-6464.0,-3568.0
9071,Let's hope the best team wins.,23,4128.0,-7136.0,-2992.0
9072,Let's hope the best team wins.,24,4128.0,-8384.0,-4288.0
9073,Let's hope the best team wins.,25,3008.0,-2720.0,282.0
9074,They need access to our computers.,0,-4.21875,1.796875,-2.375
9075,They need access to our computers.,1,-6.0625,-25.5,-31.625
9076,They need access to our computers.,2,-0.6796875,-10.9375,-11.625
9077,They need access to our computers.,3,9.75,-29.375,-19.875
9078,They need access to our computers.,4,-17.875,-68.0,-86.0
9079,They need access to our computers.,5,33.75,17.75,52.5
9080,They need access to our computers.,6,-49.0,-171.0,-221.0
9081,They need access to our computers.,7,-43.25,-560.0,-600.0
9082,They need access to our computers.,8,-69.5,-752.0,-824.0
9083,They need access to our computers.,9,10.3125,-428.0,-420.0
9084,They need access to our computers.,10,133.0,-1048.0,-920.0
9085,They need access to our computers.,11,396.0,-1456.0,-1064.0
9086,They need access to our computers.,12,188.0,-1384.0,-1200.0
9087,They need access to our computers.,13,556.0,-2144.0,-1600.0
9088,They need access to our computers.,14,852.0,-2432.0,-1576.0
9089,They need access to our computers.,15,500.0,-4192.0,-3680.0
9090,They need access to our computers.,16,936.0,-4032.0,-3104.0
9091,They need access to our computers.,17,348.0,-3904.0,-3568.0
9092,They need access to our computers.,18,856.0,-5632.0,-4768.0
9093,They need access to our computers.,19,460.0,-4864.0,-4416.0
9094,They need access to our computers.,20,956.0,-4928.0,-3968.0
9095,They need access to our computers.,21,2192.0,-5440.0,-3248.0
9096,They need access to our computers.,22,2256.0,-7392.0,-5120.0
9097,They need access to our computers.,23,3536.0,-8064.0,-4544.0
9098,They need access to our computers.,24,3120.0,-8896.0,-5760.0
9099,They need access to our computers.,25,1840.0,1600.0,3424.0
9100,Do not betray me in this.,0,-2.140625,2.359375,0.2197265625
9101,Do not betray me in this.,1,-4.71875,-11.0625,-15.8125
9102,Do not betray me in this.,2,0.046630859375,0.29296875,0.33203125
9103,Do not betray me in this.,3,41.5,53.25,95.0
9104,Do not betray me in this.,4,4.3125,10.9375,15.0625
9105,Do not betray me in this.,5,132.0,205.0,336.0
9106,Do not betray me in this.,6,26.125,-23.875,2.25
9107,Do not betray me in this.,7,46.0,-268.0,-221.0
9108,Do not betray me in this.,8,38.5,-264.0,-226.0
9109,Do not betray me in this.,9,132.0,-24.25,107.0
9110,Do not betray me in this.,10,278.0,-454.0,-179.0
9111,Do not betray me in this.,11,400.0,-604.0,-203.0
9112,Do not betray me in this.,12,364.0,-510.0,-142.0
9113,Do not betray me in this.,13,864.0,-872.0,-5.90625
9114,Do not betray me in this.,14,1224.0,-1096.0,137.0
9115,Do not betray me in this.,15,756.0,-2128.0,-1376.0
9116,Do not betray me in this.,16,1136.0,-2560.0,-1440.0
9117,Do not betray me in this.,17,640.0,-2688.0,-2048.0
9118,Do not betray me in this.,18,1128.0,-4160.0,-3024.0
9119,Do not betray me in this.,19,700.0,-3568.0,-2864.0
9120,Do not betray me in this.,20,1152.0,-3408.0,-2256.0
9121,Do not betray me in this.,21,2512.0,-3408.0,-900.0
