sentence_0,sentence_1,modal_0,modal_1,semantics_0,semantics_1
"At the wedding on the church, the service was performed by the cleric.","At the wedding on the church, the service was performed by the log.",probable,impossible,related,unrelated
The destruction of the building was performed by the wrecker.,The destruction of the building was performed by the scoreboard.,probable,impossible,related,unrelated
"At the monastery, a prayer was said by the monk.","At the monastery, a prayer was said by the ambulance.",probable,impossible,related,unrelated
The Vatican has been ruled by the pope.,The Vatican has been ruled by the seaweed.,probable,impossible,related,unrelated
"During the protests, the shops were attacked by the agitator.","During the protests, the shops were attacked by the desk.",probable,impossible,related,unrelated
"At the restaurant, the plates are washed by the washer.","At the restaurant, the plates are washed by the calculator.",probable,impossible,related,unrelated
The roman empire defences were attacked by the barbarian.,The roman empire defences were attacked by the onion.,probable,impossible,related,unrelated
The stolen new car was raced through town by the robber.,The stolen new car was raced through town by the pill.,probable,impossible,related,unrelated
The Nobel prize in literature was won by the poet.,The Nobel prize in literature was won by the bullet.,probable,impossible,related,unrelated
"During the excavation, an ancient artefact was discovered by the archaeologist.","During the excavation, an ancient artefact was discovered by the bell.",probable,impossible,related,unrelated
The halftime show at the football match was organised by the cheerleader.,The halftime show at the football match was organised by the striker.,probable,improbable,related,related
During the solo music performance the strings were plucked by the harpist.,During the solo music performance the strings were plucked by the trumpeter.,probable,improbable,related,related
At the restaurant all the meals were cooked by the chef.,At the restaurant all the meals were cooked by the diner.,probable,improbable,related,related
The scientific research was funded by the sponsor.,The scientific research was funded by the volunteer.,probable,improbable,related,related
Tenants were upset when housing prices were raised by the proprietor.,Tenants were upset when housing prices were raised by the occupant.,probable,improbable,related,related
After crying and waking up his parents the baby was breast-fed by his mummy.,After crying and waking up his parents the baby was breast-fed by his brother.,probable,improbable,related,related
"At the baseball game, a ball was thrown by the pitcher.","At the baseball game, a ball was thrown by the catcher.",probable,improbable,related,related
The cure for the disease was discovered by the doctor.,The cure for the disease was discovered by the patient.,probable,improbable,related,related
At the theatre the programs were given by the usher.,At the theatre the programs were given by the audience.,probable,improbable,related,related
At the wedding ceremony the ring was brought by the groom.,At the wedding ceremony the ring was brought by the reverend.,probable,improbable,related,related
At the club the cocktails are served by the barmaid.,At the club the cocktails are served by the drunkard.,probable,improbable,related,related
The rules of the game show were explained by the host.,The rules of the game show were explained by the contestant.,probable,improbable,related,related
The next bus stop was announced by the coachman.,The next bus stop was announced by the user.,probable,improbable,related,related
The child's dirty nappy was changed by his mum.,The child's dirty nappy was changed by his toddler.,probable,improbable,related,related
"At the ballet, the music was played by the orchestra.","At the ballet, the music was played by the dancer.",probable,improbable,related,related
In ancient Egypt the people were governed by the Pharaoh.,In ancient Egypt the people were governed by the slave.,probable,improbable,related,related
The patient's aches and pains were examined by the physician.,The patient's aches and pains were examined by the hypochondriac.,probable,improbable,related,related
The rope was thrown by the cowboy.,The rope was thrown by the Indian.,probable,improbable,related,related
The murder witness was cross-questioned by the detective.,The murder witness was cross-questioned by the convict.,probable,improbable,related,related
The violent demonstration was policed by the policeman.,The violent demonstration was policed by the hooligan.,probable,improbable,related,related
The cult's prophecies were established by the prophet.,The cult's prophecies were established by the admirer.,probable,improbable,related,related
"While eating dinner with her parents, the woman was proposed to by her boyfriend.","While eating dinner with her parents, the woman was proposed to by her father.",probable,improbable,related,related
The studio recorded an album with music sung by the vocalist.,The studio recorded an album with music sung by the producer.,probable,improbable,related,related
The aeroplane was flown by the pilot.,The aeroplane was flown by the controller.,probable,improbable,related,related
The first lectures in college were given by the lecturer.,The first lectures in college were given by the freshman.,probable,improbable,related,related
The car's new features were marketed by the saleswoman.,The car's new features were marketed by the client.,probable,improbable,related,related
The husband got involved in an affair after having been seduced by his mistress.,The husband got involved in an affair after having been seduced by his wife.,probable,improbable,related,related
At UK pubs every drink is poured by the barman.,At UK pubs every drink is poured by the alcoholic.,probable,improbable,related,related
"At the hotel, luggage is delivered by the porter.","At the hotel, luggage is delivered by the traveller.",probable,improbable,related,related
The clever boy was able to win the contest helped by his mate.,The clever boy was able to win the contest helped by his opponent.,probable,improbable,related,related
"Thanks to the union talks, improved benefits were received by the employee.","Thanks to the union talks, improved benefits were received by the boss.",probable,improbable,related,related
"In the fairy-tale, the princess was rescued by the prince.","In the fairy-tale, the princess was rescued by the witch.",probable,improbable,related,related
The chaos in the classroom was initiated by the preschooler.,The chaos in the classroom was initiated by the schoolmaster.,probable,improbable,related,related
Every day the rich Duke's soiled underwear was scrubbed by the maid.,Every day the rich Duke's soiled underwear was scrubbed by the queen.,probable,improbable,related,related
The pianist played his music while the bass was strummed by the guitarist.,The pianist played his music while the bass was strummed by the drummer.,probable,improbable,related,related
"During the exam, unacceptable cheating behaviour was exhibited by the student.","During the exam, unacceptable cheating behaviour was exhibited by the professor.",probable,improbable,related,related
Everyone sat around the campfire to hear a tale told by the storyteller.,Everyone sat around the campfire to hear a tale told by the listener.,probable,improbable,related,related
At the pharmacy three bottles of insulin were sold by the pharmacist.,At the pharmacy three bottles of insulin were sold by the diabetic.,probable,improbable,related,related
"At the school, punishments for being late in class were given by the headmistress.","At the school, punishments for being late in class were given by the child.",probable,improbable,related,related
After the meal was over the waitress was tipped by the customer.,After the meal was over the waitress was tipped by the cook.,probable,improbable,related,related
At the wedding the couple was married by the pastor.,At the wedding the couple was married by the bride.,probable,improbable,related,related
The car was given a parking ticket by the traffic warden.,The car was given a parking ticket by the delinquent.,probable,improbable,related,related
The film was recorded by the director.,The film was recorded by the actress.,probable,improbable,related,related
During the basketball game hot dogs were sold by the vendor.,During the basketball game hot dogs were sold by the spectator.,probable,improbable,related,related
The man who stole the money was prosecuted by the lawyer.,The man who stole the money was prosecuted by the witness.,probable,improbable,related,related
"At the roller coaster in the amusement park, customers are counted by the personnel.","At the roller coaster in the amusement park, customers are counted by the rider.",probable,improbable,related,related
The skin operation was performed by the dermatologist.,The skin operation was performed by the nurse.,probable,improbable,related,related
"At the track, the horse was raced by the jockey.","At the track, the horse was raced by the gambler.",probable,improbable,related,related
The burglars were caught and arrested by the cop.,The burglars were caught and arrested by the accomplice.,probable,improbable,related,related
The castle was attacked by the enemy.,The castle was attacked by the protector.,probable,improbable,related,related
"In the court-case that attracted lots of media, the man was sentenced by the judge.","In the court-case that attracted lots of media, the man was sentenced by the reporter.",probable,improbable,related,related
Everyone watched while the man was mugged by the attacker.,Everyone watched while the man was mugged by the bystander.,probable,improbable,related,related
At the sausage stand lots of food was bought by the eater.,At the sausage stand lots of food was bought by the seller.,probable,improbable,related,related
The decision to cancel the television show was made by the executive.,The decision to cancel the television show was made by the watcher.,probable,improbable,related,related
In the courtroom the killer was set free by the jury.,In the courtroom the killer was set free by the murderer.,probable,improbable,related,related
All possessions in the will were left by the deceased.,All possessions in the will were left by the survivor.,probable,improbable,related,related
In an act of generosity a large sum was donated by the millionaire.,In an act of generosity a large sum was donated by the recipient.,probable,improbable,related,related
The novel was written by the author.,The novel was written by the reader.,probable,improbable,related,related
The holiday cruise ship was sailed by the captain.,The holiday cruise ship was sailed by the tourist.,probable,improbable,related,related
At the church the baptism was conducted by the minister.,At the church the baptism was conducted by the infant.,probable,improbable,related,related
"Before the island was discovered, it was inhabited by the native.","Before the island was discovered, it was inhabited by the explorer.",probable,improbable,related,related
The ship was navigated by the sailor.,The ship was navigated by the passenger.,probable,improbable,related,related
The bank's vault had been robbed by the burglar.,The bank's vault had been robbed by the watchman.,probable,improbable,related,related
The advanced karate class was taught by the master.,The advanced karate class was taught by the beginner.,probable,improbable,related,related
Every day the school facilities were cleaned by the janitor.,Every day the school facilities were cleaned by the kid.,probable,improbable,related,related
Every morning at 6am the newspaper was delivered by the newsboy.,Every morning at 6am the newspaper was delivered by the journalist.,probable,improbable,related,related
The president was interviewed on television by the correspondent.,The president was interviewed on television by the viewer.,probable,improbable,related,related
"At the children football game, a goal was scored by the player.","At the children football game, a goal was scored by the parent.",probable,improbable,related,related
When there was a fire in the home everyone was carried out by the fireman.,When there was a fire in the home everyone was carried out by the granny.,probable,improbable,related,related
During art lessons at kindergarten lots of messy pictures were created by the youngster.,During art lessons at kindergarten lots of messy pictures were created by the teacher.,probable,improbable,related,related
"During a speech, the political rally was bombed by the terrorist.","During a speech, the political rally was bombed by the candidate.",probable,improbable,related,related
Data from the drug trial was analysed by the scientist.,Data from the drug trial was analysed by the participant.,probable,improbable,related,related
The advanced mountain climbing lesson was given by the mountaineer.,The advanced mountain climbing lesson was given by the amateur.,probable,improbable,related,related
The couple was afraid that their missing baby girl would be found by the stranger.,The couple was afraid that their missing baby girl would be found by the newborn.,probable,improbable,related,related
Before the funeral of the old man the grave was dug by the digger.,Before the funeral of the old man the grave was dug by the widow.,probable,improbable,related,related
Because of the recent threats the mayor was escorted by the bodyguard.,Because of the recent threats the mayor was escorted by the assassin.,probable,improbable,related,related
Because the car was parked illegally a ticket was issued by the attendant.,Because the car was parked illegally a ticket was issued by the driver.,probable,improbable,related,related
When the bottle leaked the milk was mopped up by the mother.,When the bottle leaked the milk was mopped up by the baby.,probable,improbable,related,related
"At the estate sale, prices are announced by the auctioneer.","At the estate sale, prices are announced by the bidder.",probable,improbable,related,related
"Because of his ears, the student was targeted by the bully.","Because of his ears, the student was targeted by the principal.",probable,improbable,related,related
A big crowd had gathered to watch as the rocket was launched by the astronaut.,A big crowd had gathered to watch as the rocket was launched by the onlooker.,probable,improbable,related,related
The soup company for homeless people was funded by the entrepreneur.,The soup company for homeless people was funded by the beggar.,probable,improbable,related,related
"During the election, the presidential candidate was voted for by his supporter.","During the election, the presidential candidate was voted for by his rival.",probable,improbable,related,related
"Despite the high security in the castle, the crown was stolen by the thief.","Despite the high security in the castle, the crown was stolen by the king.",probable,improbable,related,related
"During the kidnapping, freedom was requested by the hostage.","During the kidnapping, freedom was requested by the kidnapper.",probable,improbable,related,related
The town was defended with guns by the army.,The town was defended with guns by the invader.,probable,improbable,related,related
At the sweet shop six pounds of candy was sold by the shopkeeper.,At the sweet shop six pounds of candy was sold by the shopper.,probable,improbable,related,related
The hole through the prison wall was drilled by the fugitive.,The hole through the prison wall was drilled by the guard.,probable,improbable,related,related
All the information for the test was memorised by the scholar.,All the information for the test was memorised by the examiner.,probable,improbable,related,related
Each month the rent payment was paid by the tenant.,Each month the rent payment was paid by the landlord.,probable,improbable,related,related
At the football match the winning goal was scored by the defender.,At the football match the winning goal was scored by the referee.,probable,improbable,related,related
At night the jail was locked by the warden.,At night the jail was locked by the prisoner.,probable,improbable,related,related
During the concert the symphony was conducted by the maestro.,During the concert the symphony was conducted by the violinist.,probable,improbable,related,related
The phone call was redirected by the operator.,The phone call was redirected by the caller.,probable,improbable,related,related
"During the athletic tournament, the runner was overtaken by the competitor.","During the athletic tournament, the runner was overtaken by the coach.",probable,improbable,related,related
Because of the recall everything was refunded by the manufacturer.,Because of the recall everything was refunded by the consumer.,probable,improbable,related,related
At the construction site all of the dirtiest work was done by the worker.,At the construction site all of the dirtiest work was done by the engineer.,probable,improbable,related,related
Invitations to the dinner party were posted by the hostess.,Invitations to the dinner party were posted by the guest.,probable,improbable,related,related
"At the airport, the luggage is searched by the official.","At the airport, the luggage is searched by the suspect.",probable,improbable,related,related
In the Texan town the bank was robbed by the outlaw.,In the Texan town the bank was robbed by the sheriff.,probable,improbable,related,related
The employment interviews were administered by the committee.,The employment interviews were administered by the applicant.,probable,improbable,related,related
The interesting story was written by the writer.,The interesting story was written by the character.,probable,improbable,related,related
The taxi was driven by the cabdriver.,The taxi was driven by the pedestrian.,probable,improbable,related,related
"At the golf game, a hole-in-one was scored by the golfer.","At the golf game, a hole-in-one was scored by the umpire.",probable,improbable,related,related
"At the pet hospital, dogs were cured by the vet.","At the pet hospital, dogs were cured by the owner.",probable,improbable,related,related
"At the post office, letters are collected and delivered by the postman.","At the post office, letters are collected and delivered by the cashier.",probable,improbable,related,related
"At the garage, the car maintenance is performed by the mechanic.","At the garage, the car maintenance is performed by the receptionist.",probable,improbable,related,related
At the hospital the complex heart surgery was performed by the surgeon.,At the hospital the complex heart surgery was performed by the intern.,probable,improbable,related,related
"Upon arriving at the restaurant, the car was parked by the chauffeur.","Upon arriving at the restaurant, the car was parked by the waiter.",probable,improbable,related,related
The circus performance was directed by the presenter.,The circus performance was directed by the juggler.,probable,improbable,related,related
"To keep visitors safe, the national park was patrolled by the ranger.","To keep visitors safe, the national park was patrolled by the camper.",probable,improbable,related,related
"At the library, the books are organised on the shelves by the librarian.","At the library, the books are organised on the shelves by the dean.",probable,improbable,related,related
"At the bank, credit card requests are authorised by the manager.","At the bank, credit card requests are authorised by the teller.",probable,improbable,related,related
Fish in the aquarium were studied by the biologist.,Fish in the aquarium were studied by the swimmer.,probable,improbable,related,related
"At the exhibition, all the pictures were taken by the photographer.","At the exhibition, all the pictures were taken by the sculptor.",probable,improbable,related,related
"At the graduation reception, the dinner was provided by the caterer.","At the graduation reception, the dinner was provided by the graduate.",probable,improbable,related,related
"When the Italian diplomat gave a speech, the translation was performed by the interpreter.","When the Italian diplomat gave a speech, the translation was performed by the speaker.",probable,improbable,related,related
The prescription for the mental disorder was written by the psychiatrist.,The prescription for the mental disorder was written by the schizophrenic.,probable,improbable,related,related
The bank robbery was prevented by the hero.,The bank robbery was prevented by the gangster.,probable,improbable,related,related
The attacks on the ships were led by the pirate.,The attacks on the ships were led by the captive.,probable,improbable,related,related
"At the opera concert in the theatre, the musical pieces were sung by the tenor.","At the opera concert in the theatre, the musical pieces were sung by the composer.",probable,improbable,related,related
"Because his parents work all day, the baby was attended by the nanny.","Because his parents work all day, the baby was attended by the dad.",probable,improbable,related,related
The dental restoration was performed by the dentist.,The dental restoration was performed by the assistant.,probable,improbable,related,related
"At the Olympics, the bars competition was won by the gymnast.","At the Olympics, the bars competition was won by the wrestler.",probable,improbable,related,related
"To lose weight, the woman's meal plan was prescribed by the dietician.","To lose weight, the woman's meal plan was prescribed by the psychologist.",probable,improbable,related,related
The psychotherapy session was delivered by the counsellor.,The psychotherapy session was delivered by the maniac.,probable,improbable,related,related
"In the circus, the lions were tamed by the trainer.","In the circus, the lions were tamed by the ballerina.",probable,improbable,related,related
"At the salon, the clients get her hair cut by the stylist.","At the salon, the clients get her hair cut by the manicurist.",probable,improbable,related,related
"At the museum, a tour and descriptions of the paintings were given by the guide.","At the museum, a tour and descriptions of the paintings were given by the workman.",probable,improbable,related,related
The safari excursion to Africa was led by the adventurer.,The safari excursion to Africa was led by the holiday-maker.,probable,improbable,related,related
The corrupt tax fraud was discovered by the accountant.,The corrupt tax fraud was discovered by the charlatan.,probable,improbable,related,related
"After the electricity outage, the apartment was checked by the electrician.","After the electricity outage, the apartment was checked by the concierge.",probable,improbable,related,related
"After being locked, the door was repaired by the repairman.","After being locked, the door was repaired by the plumber.",probable,improbable,related,related
"In the theatre production, the villain was played by the actor.","In the theatre production, the villain was played by the musician.",probable,improbable,related,related
The suit was adjusted by the tailor.,The suit was adjusted by the apprentice.,probable,improbable,related,related
"At the farmers market, fresh fish is sold by the fisherman.","At the farmers market, fresh fish is sold by the grocer.",probable,improbable,related,related
The Tour de France was won by the cyclist.,The Tour de France was won by the fan.,probable,improbable,related,related
The book signing was attended by the famous novelist.,The book signing was attended by the famous bookworm.,probable,improbable,related,related
The mountain summit was conquered by the climber.,The mountain summit was conquered by the shepherd.,probable,improbable,related,related
The school walls were ruined with graffiti drawn by the vandal.,The school walls were ruined with graffiti drawn by the lookout.,probable,improbable,related,related
"On the lake, the boat race was won by the rower.","On the lake, the boat race was won by the sunbather.",probable,improbable,related,related
The bush in the garden was trimmed by the gardener.,The bush in the garden was trimmed by the builder.,probable,improbable,related,related
"At the observatory, a new star was discovered by the astronomer.","At the observatory, a new star was discovered by the technician.",probable,improbable,related,related
The card trick on the TV show was performed by the magician.,The card trick on the TV show was performed by the cameraman.,probable,improbable,related,related
"During Christmas dinner, gifts for the family were bought by the grandma.","During Christmas dinner, gifts for the family were bought by the cleaner.",probable,improbable,related,related
"At the wedding on the church, the service was performed by the cleric.","At the wedding on the church, the service was performed by the bachelor.",probable,improbable,related,related
The destruction of the building was performed by the wrecker.,The destruction of the building was performed by the architect.,probable,improbable,related,related
"At the monastery, a prayer was said by the monk.","At the monastery, a prayer was said by the nun.",probable,improbable,related,related
The Vatican has been ruled by the pope.,The Vatican has been ruled by the cardinal.,probable,improbable,related,related
"During the protests, the shops were attacked by the agitator.","During the protests, the shops were attacked by the merchant.",probable,improbable,related,related
"At the restaurant, the plates are washed by the washer.","At the restaurant, the plates are washed by the server.",probable,improbable,related,related
The roman empire defences were attacked by the barbarian.,The roman empire defences were attacked by the centurion.,probable,improbable,related,related
The stolen new car was raced through town by the robber.,The stolen new car was raced through town by the repairer.,probable,improbable,related,related
The Nobel prize in literature was won by the poet.,The Nobel prize in literature was won by the chemist.,probable,improbable,related,related
"During the excavation, an ancient artefact was discovered by the archaeologist.","During the excavation, an ancient artefact was discovered by the restorer.",probable,improbable,related,related
The halftime show at the football match was organised by the cheerleader.,The halftime show at the football match was organised by the alcoholic.,probable,improbable,related,unrelated
During the solo music performance the strings were plucked by the harpist.,During the solo music performance the strings were plucked by the workman.,probable,improbable,related,unrelated
At the restaurant all the meals were cooked by the chef.,At the restaurant all the meals were cooked by the aboriginal.,probable,improbable,related,unrelated
The scientific research was funded by the sponsor.,The scientific research was funded by the traveller.,probable,improbable,related,unrelated
Tenants were upset when housing prices were raised by the proprietor.,Tenants were upset when housing prices were raised by the actress.,probable,improbable,related,unrelated
After crying and waking up his parents the baby was breast-fed by his mummy.,After crying and waking up his parents the baby was breast-fed by his coach.,probable,improbable,related,unrelated
"At the baseball game, a ball was thrown by the pitcher.","At the baseball game, a ball was thrown by the suspect.",probable,improbable,related,unrelated
The cure for the disease was discovered by the doctor.,The cure for the disease was discovered by the guest.,probable,improbable,related,unrelated
At the theatre the programs were given by the usher.,At the theatre the programs were given by the controller.,probable,improbable,related,unrelated
At the wedding ceremony the ring was brought by the groom.,At the wedding ceremony the ring was brought by the diabetic.,probable,improbable,related,unrelated
At the club the cocktails are served by the barmaid.,At the club the cocktails are served by the queen.,probable,improbable,related,unrelated
The rules of the game show were explained by the host.,The rules of the game show were explained by the undertaker.,probable,improbable,related,unrelated
The next bus stop was announced by the coachman.,The next bus stop was announced by the drunkard.,probable,improbable,related,unrelated
The child's dirty nappy was changed by his mum.,The child's dirty nappy was changed by his captive.,probable,improbable,related,unrelated
"At the ballet, the music was played by the orchestra.","At the ballet, the music was played by the hypochondriac.",probable,improbable,related,unrelated
In ancient Egypt the people were governed by the Pharaoh.,In ancient Egypt the people were governed by the baby.,probable,improbable,related,unrelated
The patient's aches and pains were examined by the physician.,The patient's aches and pains were examined by the candidate.,probable,improbable,related,unrelated
The rope was thrown by the cowboy.,The rope was thrown by the graduate.,probable,improbable,related,unrelated
The murder witness was cross-questioned by the detective.,The murder witness was cross-questioned by the freshman.,probable,improbable,related,unrelated
The violent demonstration was policed by the policeman.,The violent demonstration was policed by the cleaner.,probable,improbable,related,unrelated
The cult's prophecies were established by the prophet.,The cult's prophecies were established by the wrestler.,probable,improbable,related,unrelated
"While eating dinner with her parents, the woman was proposed to by her boyfriend.","While eating dinner with her parents, the woman was proposed to by her pupil.",probable,improbable,related,unrelated
The studio recorded an album with music sung by the vocalist.,The studio recorded an album with music sung by the merchant.,probable,improbable,related,unrelated
The aeroplane was flown by the pilot.,The aeroplane was flown by the nurse.,probable,improbable,related,unrelated
The first lectures in college were given by the lecturer.,The first lectures in college were given by the gangster.,probable,improbable,related,unrelated
The car's new features were marketed by the saleswoman.,The car's new features were marketed by the concierge.,probable,improbable,related,unrelated
The husband got involved in an affair after having been seduced by his mistress.,The husband got involved in an affair after having been seduced by his contestant.,probable,improbable,related,unrelated
At UK pubs every drink is poured by the barman.,At UK pubs every drink is poured by the architect.,probable,improbable,related,unrelated
"At the hotel, luggage is delivered by the porter.","At the hotel, luggage is delivered by the patient.",probable,improbable,related,unrelated
The clever boy was able to win the contest helped by his mate.,The clever boy was able to win the contest helped by his buyer.,probable,improbable,related,unrelated
"Thanks to the union talks, improved benefits were received by the employee.","Thanks to the union talks, improved benefits were received by the model.",probable,improbable,related,unrelated
"In the fairy-tale, the princess was rescued by the prince.","In the fairy-tale, the princess was rescued by the intern.",probable,improbable,related,unrelated
The chaos in the classroom was initiated by the preschooler.,The chaos in the classroom was initiated by the beginner.,probable,improbable,related,unrelated
Every day the rich Duke's soiled underwear was scrubbed by the maid.,Every day the rich Duke's soiled underwear was scrubbed by the principal.,probable,improbable,related,unrelated
The pianist played his music while the bass was strummed by the guitarist.,The pianist played his music while the bass was strummed by the diner.,probable,improbable,related,unrelated
"During the exam, unacceptable cheating behaviour was exhibited by the student.","During the exam, unacceptable cheating behaviour was exhibited by the admirer.",probable,improbable,related,unrelated
Everyone sat around the campfire to hear a tale told by the storyteller.,Everyone sat around the campfire to hear a tale told by the viewer.,probable,improbable,related,unrelated
At the pharmacy three bottles of insulin were sold by the pharmacist.,At the pharmacy three bottles of insulin were sold by the striker.,probable,improbable,related,unrelated
"At the school, punishments for being late in class were given by the headmistress.","At the school, punishments for being late in class were given by the accomplice.",probable,improbable,related,unrelated
After the meal was over the waitress was tipped by the customer.,After the meal was over the waitress was tipped by the speaker.,probable,improbable,related,unrelated
At the wedding the couple was married by the pastor.,At the wedding the couple was married by the watcher.,probable,improbable,related,unrelated
The car was given a parking ticket by the traffic warden.,The car was given a parking ticket by the explorer.,probable,improbable,related,unrelated
The film was recorded by the director.,The film was recorded by the assassin.,probable,improbable,related,unrelated
During the basketball game hot dogs were sold by the vendor.,During the basketball game hot dogs were sold by the schoolmaster.,probable,improbable,related,unrelated
The man who stole the money was prosecuted by the lawyer.,The man who stole the money was prosecuted by the receptionist.,probable,improbable,related,unrelated
"At the roller coaster in the amusement park, customers are counted by the personnel.","At the roller coaster in the amusement park, customers are counted by the journalist.",probable,improbable,related,unrelated
The skin operation was performed by the dermatologist.,The skin operation was performed by the parent.,probable,improbable,related,unrelated
"At the track, the horse was raced by the jockey.","At the track, the horse was raced by the applicant.",probable,improbable,related,unrelated
The burglars were caught and arrested by the cop.,The burglars were caught and arrested by the pianist.,probable,improbable,related,unrelated
The castle was attacked by the enemy.,The castle was attacked by the shopper.,probable,improbable,related,unrelated
"In the court-case that attracted lots of media, the man was sentenced by the judge.","In the court-case that attracted lots of media, the man was sentenced by the granny.",probable,improbable,related,unrelated
Everyone watched while the man was mugged by the attacker.,Everyone watched while the man was mugged by the technician.,probable,improbable,related,unrelated
At the sausage stand lots of food was bought by the eater.,At the sausage stand lots of food was bought by the villain.,probable,improbable,related,unrelated
The decision to cancel the television show was made by the executive.,The decision to cancel the television show was made by the widow.,probable,improbable,related,unrelated
In the courtroom the killer was set free by the jury.,In the courtroom the killer was set free by the violinist.,probable,improbable,related,unrelated
All possessions in the will were left by the deceased.,All possessions in the will were left by the reporter.,probable,improbable,related,unrelated
In an act of generosity a large sum was donated by the millionaire.,In an act of generosity a large sum was donated by the sunbather.,probable,improbable,related,unrelated
The novel was written by the author.,The novel was written by the builder.,probable,improbable,related,unrelated
The holiday cruise ship was sailed by the captain.,The holiday cruise ship was sailed by the president.,probable,improbable,related,unrelated
At the church the baptism was conducted by the minister.,At the church the baptism was conducted by the passenger.,probable,improbable,related,unrelated
"Before the island was discovered, it was inhabited by the native.","Before the island was discovered, it was inhabited by the assistant.",probable,improbable,related,unrelated
The ship was navigated by the sailor.,The ship was navigated by the toddler.,probable,improbable,related,unrelated
The bank's vault had been robbed by the burglar.,The bank's vault had been robbed by the psychologist.,probable,improbable,related,unrelated
The advanced karate class was taught by the master.,The advanced karate class was taught by the culprit.,probable,improbable,related,unrelated
Every day the school facilities were cleaned by the janitor.,Every day the school facilities were cleaned by the amateur.,probable,improbable,related,unrelated
Every morning at 6am the newspaper was delivered by the newsboy.,Every morning at 6am the newspaper was delivered by the lookout.,probable,improbable,related,unrelated
The president was interviewed on television by the correspondent.,The president was interviewed on television by the gambler.,probable,improbable,related,unrelated
"At the children football game, a goal was scored by the player.","At the children football game, a goal was scored by the delinquent.",probable,improbable,related,unrelated
When there was a fire in the home everyone was carried out by the fireman.,When there was a fire in the home everyone was carried out by the examiner.,probable,improbable,related,unrelated
During art lessons at kindergarten lots of messy pictures were created by the youngster.,During art lessons at kindergarten lots of messy pictures were created by the waiter.,probable,improbable,related,unrelated
"During a speech, the political rally was bombed by the terrorist.","During a speech, the political rally was bombed by the bride.",probable,improbable,related,unrelated
Data from the drug trial was analysed by the scientist.,Data from the drug trial was analysed by the engineer.,probable,improbable,related,unrelated
The advanced mountain climbing lesson was given by the mountaineer.,The advanced mountain climbing lesson was given by the grocer.,probable,improbable,related,unrelated
The couple was afraid that their missing baby girl would be found by the stranger.,The couple was afraid that their missing baby girl would be found by the spectator.,probable,improbable,related,unrelated
Before the funeral of the old man the grave was dug by the digger.,Before the funeral of the old man the grave was dug by the dean.,probable,improbable,related,unrelated
Because of the recent threats the mayor was escorted by the bodyguard.,Because of the recent threats the mayor was escorted by the sculptor.,probable,improbable,related,unrelated
Because the car was parked illegally a ticket was issued by the attendant.,Because the car was parked illegally a ticket was issued by the trainee.,probable,improbable,related,unrelated
When the bottle leaked the milk was mopped up by the mother.,When the bottle leaked the milk was mopped up by the apprentice.,probable,improbable,related,unrelated
"At the estate sale, prices are announced by the auctioneer.","At the estate sale, prices are announced by the rider.",probable,improbable,related,unrelated
"Because of his ears, the student was targeted by the bully.","Because of his ears, the student was targeted by the holiday-maker.",probable,improbable,related,unrelated
A big crowd had gathered to watch as the rocket was launched by the astronaut.,A big crowd had gathered to watch as the rocket was launched by the caller.,probable,improbable,related,unrelated
The soup company for homeless people was funded by the entrepreneur.,The soup company for homeless people was funded by the plumber.,probable,improbable,related,unrelated
"During the election, the presidential candidate was voted for by his supporter.","During the election, the presidential candidate was voted for by his kid.",probable,improbable,related,unrelated
"Despite the high security in the castle, the crown was stolen by the thief.","Despite the high security in the castle, the crown was stolen by the winner.",probable,improbable,related,unrelated
"During the kidnapping, freedom was requested by the hostage.","During the kidnapping, freedom was requested by the fan.",probable,improbable,related,unrelated
The town was defended with guns by the army.,The town was defended with guns by the bookworm.,probable,improbable,related,unrelated
At the sweet shop six pounds of candy was sold by the shopkeeper.,At the sweet shop six pounds of candy was sold by the centurion.,probable,improbable,related,unrelated
The hole through the prison wall was drilled by the fugitive.,The hole through the prison wall was drilled by the bachelor.,probable,improbable,related,unrelated
All the information for the test was memorised by the scholar.,All the information for the test was memorised by the tourist.,probable,improbable,related,unrelated
Each month the rent payment was paid by the tenant.,Each month the rent payment was paid by the composer.,probable,improbable,related,unrelated
At the football match the winning goal was scored by the defender.,At the football match the winning goal was scored by the witch.,probable,improbable,related,unrelated
At night the jail was locked by the warden.,At night the jail was locked by the character.,probable,improbable,related,unrelated
During the concert the symphony was conducted by the maestro.,During the concert the symphony was conducted by the reverend.,probable,improbable,related,unrelated
The phone call was redirected by the operator.,The phone call was redirected by the bidder.,probable,improbable,related,unrelated
"During the athletic tournament, the runner was overtaken by the competitor.","During the athletic tournament, the runner was overtaken by the watchman.",probable,improbable,related,unrelated
Because of the recall everything was refunded by the manufacturer.,Because of the recall everything was refunded by the cook.,probable,improbable,related,unrelated
At the construction site all of the dirtiest work was done by the worker.,At the construction site all of the dirtiest work was done by the producer.,probable,improbable,related,unrelated
Invitations to the dinner party were posted by the hostess.,Invitations to the dinner party were posted by the victim.,probable,improbable,related,unrelated
"At the airport, the luggage is searched by the official.","At the airport, the luggage is searched by the boss.",probable,improbable,related,unrelated
In the Texan town the bank was robbed by the outlaw.,In the Texan town the bank was robbed by the participant.,probable,improbable,related,unrelated
The employment interviews were administered by the committee.,The employment interviews were administered by the servant.,probable,improbable,related,unrelated
