,sentence,likelihood,layer,improbable_impossible_projection,impossible_inconceivable_projection,improbable_inconceivable_projection
1525,plucking a hair using tongs.,22.153846153846153,17,-2816.0,-4864.0,-7680.0
1526,plucking a hair using tongs.,22.153846153846153,18,-3584.0,-6272.0,-9856.0
1527,plucking a hair using tongs.,22.153846153846153,19,-4128.0,-6272.0,-10368.0
1528,plucking a hair using tongs.,22.153846153846153,20,-3936.0,-6432.0,-10368.0
1529,plucking a hair using tongs.,22.153846153846153,21,-3712.0,-7296.0,-11008.0
1530,plucking a hair using tongs.,22.153846153846153,22,-4224.0,-9280.0,-13504.0
1531,plucking a hair using tongs.,22.153846153846153,23,-4096.0,-9920.0,-14016.0
1532,plucking a hair using tongs.,22.153846153846153,24,-4448.0,-10112.0,-14592.0
1533,plucking a hair using tongs.,22.153846153846153,25,-4832.0,2256.0,-2544.0
1534,dipping a biscuit into wine.,29.444444444444443,0,-3.078125,-3.90625,-7.0
1535,dipping a biscuit into wine.,29.444444444444443,1,-9.3125,-20.0,-29.25
1536,dipping a biscuit into wine.,29.444444444444443,2,-4.90625,-16.25,-21.125
1537,dipping a biscuit into wine.,29.444444444444443,3,26.0,-55.5,-29.625
1538,dipping a biscuit into wine.,29.444444444444443,4,-25.375,-164.0,-189.0
1539,dipping a biscuit into wine.,29.444444444444443,5,43.75,-69.0,-25.625
1540,dipping a biscuit into wine.,29.444444444444443,6,-106.0,-292.0,-398.0
1541,dipping a biscuit into wine.,29.444444444444443,7,-81.5,-792.0,-872.0
1542,dipping a biscuit into wine.,29.444444444444443,8,-121.5,-864.0,-984.0
1543,dipping a biscuit into wine.,29.444444444444443,9,-114.5,-752.0,-868.0
1544,dipping a biscuit into wine.,29.444444444444443,10,42.75,-1256.0,-1216.0
1545,dipping a biscuit into wine.,29.444444444444443,11,-141.0,-2272.0,-2416.0
1546,dipping a biscuit into wine.,29.444444444444443,12,-310.0,-2008.0,-2320.0
1547,dipping a biscuit into wine.,29.444444444444443,13,-4.84375,-3008.0,-3008.0
1548,dipping a biscuit into wine.,29.444444444444443,14,125.0,-3104.0,-2976.0
1549,dipping a biscuit into wine.,29.444444444444443,15,-406.0,-4704.0,-5088.0
1550,dipping a biscuit into wine.,29.444444444444443,16,-322.0,-4960.0,-5312.0
1551,dipping a biscuit into wine.,29.444444444444443,17,-912.0,-4800.0,-5696.0
1552,dipping a biscuit into wine.,29.444444444444443,18,-676.0,-6176.0,-6848.0
1553,dipping a biscuit into wine.,29.444444444444443,19,-968.0,-5824.0,-6784.0
1554,dipping a biscuit into wine.,29.444444444444443,20,-472.0,-5984.0,-6464.0
1555,dipping a biscuit into wine.,29.444444444444443,21,608.0,-7104.0,-6496.0
1556,dipping a biscuit into wine.,29.444444444444443,22,716.0,-9088.0,-8384.0
1557,dipping a biscuit into wine.,29.444444444444443,23,1728.0,-9856.0,-8096.0
1558,dipping a biscuit into wine.,29.444444444444443,24,2384.0,-10048.0,-7680.0
1559,dipping a biscuit into wine.,29.444444444444443,25,3296.0,2608.0,5920.0
1560,boiling water using justice.,3.8333333333333335,0,-1.8203125,-3.0625,-4.875
1561,boiling water using justice.,3.8333333333333335,1,-5.21875,-14.0625,-19.25
1562,boiling water using justice.,3.8333333333333335,2,0.404296875,-7.09375,-6.6875
1563,boiling water using justice.,3.8333333333333335,3,54.75,70.5,125.5
1564,boiling water using justice.,3.8333333333333335,4,14.125,7.46875,21.25
1565,boiling water using justice.,3.8333333333333335,5,178.0,314.0,492.0
1566,boiling water using justice.,3.8333333333333335,6,71.5,187.0,258.0
1567,boiling water using justice.,3.8333333333333335,7,94.0,-161.0,-65.0
1568,boiling water using justice.,3.8333333333333335,8,89.0,-169.0,-79.0
1569,boiling water using justice.,3.8333333333333335,9,201.0,73.5,274.0
1570,boiling water using justice.,3.8333333333333335,10,388.0,-235.0,153.0
1571,boiling water using justice.,3.8333333333333335,11,732.0,-596.0,138.0
1572,boiling water using justice.,3.8333333333333335,12,548.0,-424.0,127.0
1573,boiling water using justice.,3.8333333333333335,13,1136.0,-860.0,270.0
1574,boiling water using justice.,3.8333333333333335,14,1200.0,-964.0,243.0
1575,boiling water using justice.,3.8333333333333335,15,820.0,-1880.0,-1056.0
1576,boiling water using justice.,3.8333333333333335,16,1008.0,-1664.0,-668.0
1577,boiling water using justice.,3.8333333333333335,17,278.0,-1568.0,-1296.0
1578,boiling water using justice.,3.8333333333333335,18,209.0,-2480.0,-2272.0
1579,boiling water using justice.,3.8333333333333335,19,70.0,-1808.0,-1720.0
1580,boiling water using justice.,3.8333333333333335,20,492.0,-1504.0,-1024.0
1581,boiling water using justice.,3.8333333333333335,21,1848.0,-1208.0,640.0
1582,boiling water using justice.,3.8333333333333335,22,2448.0,-1632.0,828.0
1583,boiling water using justice.,3.8333333333333335,23,3760.0,-1432.0,2336.0
1584,boiling water using justice.,3.8333333333333335,24,4864.0,620.0,5504.0
1585,boiling water using justice.,3.8333333333333335,25,7520.0,17408.0,24960.0
1586,hiding a gift inside a gasp.,2.0,0,-3.359375,-0.134765625,-3.4375
1587,hiding a gift inside a gasp.,2.0,1,-7.1875,-8.5,-15.625
1588,hiding a gift inside a gasp.,2.0,2,-0.66015625,-1.8203125,-2.453125
1589,hiding a gift inside a gasp.,2.0,3,45.25,62.0,107.5
1590,hiding a gift inside a gasp.,2.0,4,3.796875,23.5,27.125
1591,hiding a gift inside a gasp.,2.0,5,130.0,239.0,370.0
1592,hiding a gift inside a gasp.,2.0,6,-35.25,-5.21875,-40.75
1593,hiding a gift inside a gasp.,2.0,7,28.125,-332.0,-304.0
1594,hiding a gift inside a gasp.,2.0,8,15.3125,-324.0,-306.0
1595,hiding a gift inside a gasp.,2.0,9,107.5,-135.0,-27.75
1596,hiding a gift inside a gasp.,2.0,10,249.0,-580.0,-328.0
1597,hiding a gift inside a gasp.,2.0,11,508.0,-952.0,-440.0
1598,hiding a gift inside a gasp.,2.0,12,376.0,-848.0,-472.0
1599,hiding a gift inside a gasp.,2.0,13,1008.0,-1304.0,-298.0
1600,hiding a gift inside a gasp.,2.0,14,1128.0,-1328.0,-204.0
1601,hiding a gift inside a gasp.,2.0,15,760.0,-2400.0,-1640.0
1602,hiding a gift inside a gasp.,2.0,16,1112.0,-2672.0,-1568.0
1603,hiding a gift inside a gasp.,2.0,17,552.0,-2544.0,-2008.0
1604,hiding a gift inside a gasp.,2.0,18,856.0,-4032.0,-3184.0
1605,hiding a gift inside a gasp.,2.0,19,540.0,-3392.0,-2848.0
1606,hiding a gift inside a gasp.,2.0,20,1160.0,-3168.0,-2008.0
1607,hiding a gift inside a gasp.,2.0,21,2704.0,-3088.0,-376.0
1608,hiding a gift inside a gasp.,2.0,22,3232.0,-3984.0,-740.0
1609,hiding a gift inside a gasp.,2.0,23,4544.0,-4064.0,484.0
1610,hiding a gift inside a gasp.,2.0,24,5760.0,-2144.0,3616.0
1611,hiding a gift inside a gasp.,2.0,25,9088.0,16000.0,25088.0
1612,writing an equation on a billboard.,49.733333333333334,0,-3.9375,-1.0390625,-5.0
1613,writing an equation on a billboard.,49.733333333333334,1,-7.28125,-13.4375,-20.75
1614,writing an equation on a billboard.,49.733333333333334,2,-1.8046875,-16.25,-18.0
1615,writing an equation on a billboard.,49.733333333333334,3,2.890625,-69.0,-66.5
1616,writing an equation on a billboard.,49.733333333333334,4,-40.0,-161.0,-201.0
1617,writing an equation on a billboard.,49.733333333333334,5,16.25,-81.5,-65.5
1618,writing an equation on a billboard.,49.733333333333334,6,-113.0,-304.0,-416.0
1619,writing an equation on a billboard.,49.733333333333334,7,-92.0,-728.0,-820.0
1620,writing an equation on a billboard.,49.733333333333334,8,-136.0,-752.0,-884.0
1621,writing an equation on a billboard.,49.733333333333334,9,-161.0,-700.0,-860.0
1622,writing an equation on a billboard.,49.733333333333334,10,-99.5,-1216.0,-1320.0
1623,writing an equation on a billboard.,49.733333333333334,11,-255.0,-1904.0,-2160.0
1624,writing an equation on a billboard.,49.733333333333334,12,-452.0,-1568.0,-2016.0
1625,writing an equation on a billboard.,49.733333333333334,13,-224.0,-2320.0,-2544.0
1626,writing an equation on a billboard.,49.733333333333334,14,-204.0,-2368.0,-2560.0
1627,writing an equation on a billboard.,49.733333333333334,15,-700.0,-3904.0,-4608.0
1628,writing an equation on a billboard.,49.733333333333334,16,-688.0,-3936.0,-4640.0
1629,writing an equation on a billboard.,49.733333333333334,17,-1472.0,-3952.0,-5440.0
1630,writing an equation on a billboard.,49.733333333333334,18,-1624.0,-4928.0,-6560.0
1631,writing an equation on a billboard.,49.733333333333334,19,-1856.0,-4288.0,-6112.0
1632,writing an equation on a billboard.,49.733333333333334,20,-1456.0,-4000.0,-5440.0
1633,writing an equation on a billboard.,49.733333333333334,21,-732.0,-4016.0,-4736.0
1634,writing an equation on a billboard.,49.733333333333334,22,-632.0,-4768.0,-5408.0
1635,writing an equation on a billboard.,49.733333333333334,23,239.0,-4352.0,-4128.0
1636,writing an equation on a billboard.,49.733333333333334,24,672.0,-2608.0,-1936.0
1637,writing an equation on a billboard.,49.733333333333334,25,968.0,14976.0,15936.0
1638,calling a friend using a laptop.,75.46666666666667,0,-3.515625,-5.96875,-9.5
1639,calling a friend using a laptop.,75.46666666666667,1,-6.78125,-29.0,-35.75
1640,calling a friend using a laptop.,75.46666666666667,2,-3.015625,-25.375,-28.5
1641,calling a friend using a laptop.,75.46666666666667,3,6.375,-69.5,-63.5
1642,calling a friend using a laptop.,75.46666666666667,4,-37.5,-138.0,-176.0
1643,calling a friend using a laptop.,75.46666666666667,5,5.90625,-93.0,-87.0
1644,calling a friend using a laptop.,75.46666666666667,6,-105.5,-300.0,-406.0
1645,calling a friend using a laptop.,75.46666666666667,7,-115.0,-752.0,-868.0
1646,calling a friend using a laptop.,75.46666666666667,8,-201.0,-840.0,-1040.0
1647,calling a friend using a laptop.,75.46666666666667,9,-173.0,-668.0,-844.0
1648,calling a friend using a laptop.,75.46666666666667,10,-54.5,-1184.0,-1240.0
1649,calling a friend using a laptop.,75.46666666666667,11,-39.25,-1880.0,-1912.0
1650,calling a friend using a laptop.,75.46666666666667,12,-239.0,-1664.0,-1896.0
1651,calling a friend using a laptop.,75.46666666666667,13,-91.0,-2608.0,-2704.0
1652,calling a friend using a laptop.,75.46666666666667,14,-65.0,-2640.0,-2688.0
1653,calling a friend using a laptop.,75.46666666666667,15,-520.0,-4448.0,-4960.0
1654,calling a friend using a laptop.,75.46666666666667,16,-322.0,-4416.0,-4736.0
1655,calling a friend using a laptop.,75.46666666666667,17,-864.0,-4448.0,-5312.0
1656,calling a friend using a laptop.,75.46666666666667,18,-732.0,-5984.0,-6720.0
1657,calling a friend using a laptop.,75.46666666666667,19,-1144.0,-5536.0,-6688.0
1658,calling a friend using a laptop.,75.46666666666667,20,-680.0,-5504.0,-6176.0
1659,calling a friend using a laptop.,75.46666666666667,21,364.0,-6048.0,-5696.0
1660,calling a friend using a laptop.,75.46666666666667,22,568.0,-7360.0,-6784.0
1661,calling a friend using a laptop.,75.46666666666667,23,1384.0,-7968.0,-6592.0
1662,calling a friend using a laptop.,75.46666666666667,24,1960.0,-7040.0,-5088.0
1663,calling a friend using a laptop.,75.46666666666667,25,3232.0,7040.0,10304.0
1664,cleaning a carpet using a week.,11.0,0,-3.46875,0.48046875,-3.0
1665,cleaning a carpet using a week.,11.0,1,-8.3125,-23.875,-32.25
1666,cleaning a carpet using a week.,11.0,2,-3.71875,-17.75,-21.5
1667,cleaning a carpet using a week.,11.0,3,41.25,44.5,86.0
1668,cleaning a carpet using a week.,11.0,4,-2.265625,-4.75,-7.1875
1669,cleaning a carpet using a week.,11.0,5,157.0,264.0,422.0
1670,cleaning a carpet using a week.,11.0,6,9.4375,75.0,84.0
1671,cleaning a carpet using a week.,11.0,7,22.5,-338.0,-314.0
1672,cleaning a carpet using a week.,11.0,8,-21.125,-382.0,-404.0
1673,cleaning a carpet using a week.,11.0,9,59.0,-106.5,-47.5
1674,cleaning a carpet using a week.,11.0,10,226.0,-384.0,-161.0
1675,cleaning a carpet using a week.,11.0,11,528.0,-672.0,-141.0
1676,cleaning a carpet using a week.,11.0,12,364.0,-440.0,-76.0
1677,cleaning a carpet using a week.,11.0,13,888.0,-864.0,22.875
1678,cleaning a carpet using a week.,11.0,14,1064.0,-932.0,135.0
1679,cleaning a carpet using a week.,11.0,15,680.0,-1968.0,-1288.0
1680,cleaning a carpet using a week.,11.0,16,856.0,-1856.0,-1008.0
1681,cleaning a carpet using a week.,11.0,17,207.0,-1816.0,-1616.0
1682,cleaning a carpet using a week.,11.0,18,342.0,-3184.0,-2848.0
1683,cleaning a carpet using a week.,11.0,19,23.25,-2928.0,-2896.0
1684,cleaning a carpet using a week.,11.0,20,536.0,-2896.0,-2368.0
1685,cleaning a carpet using a week.,11.0,21,1672.0,-2976.0,-1312.0
1686,cleaning a carpet using a week.,11.0,22,1904.0,-4128.0,-2208.0
1687,cleaning a carpet using a week.,11.0,23,3024.0,-4800.0,-1776.0
1688,cleaning a carpet using a week.,11.0,24,3568.0,-4128.0,-548.0
1689,cleaning a carpet using a week.,11.0,25,5248.0,9536.0,14784.0
1690,taking a vacation to the sun.,1.0,0,-1.640625,-2.5625,-4.21875
1691,taking a vacation to the sun.,1.0,1,-6.4375,-12.4375,-19.0
1692,taking a vacation to the sun.,1.0,2,-1.21875,-8.0625,-9.3125
1693,taking a vacation to the sun.,1.0,3,30.75,-33.75,-2.984375
1694,taking a vacation to the sun.,1.0,4,-15.9375,-103.5,-119.5
1695,taking a vacation to the sun.,1.0,5,58.25,-2.515625,55.75
1696,taking a vacation to the sun.,1.0,6,-85.5,-210.0,-296.0
1697,taking a vacation to the sun.,1.0,7,-35.25,-540.0,-576.0
1698,taking a vacation to the sun.,1.0,8,-34.0,-548.0,-580.0
1699,taking a vacation to the sun.,1.0,9,29.375,-458.0,-428.0
1700,taking a vacation to the sun.,1.0,10,152.0,-912.0,-760.0
1701,taking a vacation to the sun.,1.0,11,144.0,-1536.0,-1392.0
1702,taking a vacation to the sun.,1.0,12,-35.5,-1384.0,-1416.0
1703,taking a vacation to the sun.,1.0,13,506.0,-2128.0,-1624.0
1704,taking a vacation to the sun.,1.0,14,644.0,-2224.0,-1576.0
1705,taking a vacation to the sun.,1.0,15,88.0,-3440.0,-3344.0
1706,taking a vacation to the sun.,1.0,16,414.0,-3616.0,-3200.0
1707,taking a vacation to the sun.,1.0,17,-80.0,-3584.0,-3680.0
1708,taking a vacation to the sun.,1.0,18,296.0,-5056.0,-4768.0
1709,taking a vacation to the sun.,1.0,19,-141.0,-4608.0,-4736.0
1710,taking a vacation to the sun.,1.0,20,528.0,-4544.0,-4032.0
1711,taking a vacation to the sun.,1.0,21,1912.0,-4608.0,-2688.0
1712,taking a vacation to the sun.,1.0,22,2352.0,-5984.0,-3616.0
1713,taking a vacation to the sun.,1.0,23,3680.0,-6624.0,-2928.0
1714,taking a vacation to the sun.,1.0,24,4544.0,-6656.0,-2128.0
1715,taking a vacation to the sun.,1.0,25,5664.0,4704.0,10368.0
1716,making a smoothie using a blender.,97.18181818181819,0,-3.859375,-9.5625,-13.4375
1717,making a smoothie using a blender.,97.18181818181819,1,-10.75,-29.875,-40.75
1718,making a smoothie using a blender.,97.18181818181819,2,-6.375,-23.5,-29.875
1719,making a smoothie using a blender.,97.18181818181819,3,-4.6875,-86.0,-91.0
1720,making a smoothie using a blender.,97.18181818181819,4,-55.0,-176.0,-231.0
1721,making a smoothie using a blender.,97.18181818181819,5,-21.375,-122.0,-144.0
1722,making a smoothie using a blender.,97.18181818181819,6,-137.0,-328.0,-466.0
1723,making a smoothie using a blender.,97.18181818181819,7,-192.0,-776.0,-968.0
1724,making a smoothie using a blender.,97.18181818181819,8,-312.0,-820.0,-1128.0
1725,making a smoothie using a blender.,97.18181818181819,9,-410.0,-808.0,-1216.0
1726,making a smoothie using a blender.,97.18181818181819,10,-346.0,-1320.0,-1664.0
1727,making a smoothie using a blender.,97.18181818181819,11,-876.0,-2304.0,-3184.0
1728,making a smoothie using a blender.,97.18181818181819,12,-1096.0,-2064.0,-3152.0
1729,making a smoothie using a blender.,97.18181818181819,13,-1032.0,-2960.0,-4000.0
1730,making a smoothie using a blender.,97.18181818181819,14,-904.0,-3024.0,-3936.0
1731,making a smoothie using a blender.,97.18181818181819,15,-2096.0,-4928.0,-7008.0
1732,making a smoothie using a blender.,97.18181818181819,16,-2288.0,-5120.0,-7392.0
1733,making a smoothie using a blender.,97.18181818181819,17,-3104.0,-4928.0,-8064.0
1734,making a smoothie using a blender.,97.18181818181819,18,-4000.0,-6656.0,-10688.0
1735,making a smoothie using a blender.,97.18181818181819,19,-4544.0,-6400.0,-10944.0
1736,making a smoothie using a blender.,97.18181818181819,20,-4320.0,-6496.0,-10816.0
1737,making a smoothie using a blender.,97.18181818181819,21,-4256.0,-7488.0,-11776.0
1738,making a smoothie using a blender.,97.18181818181819,22,-4960.0,-9472.0,-14464.0
1739,making a smoothie using a blender.,97.18181818181819,23,-5088.0,-10368.0,-15488.0
1740,making a smoothie using a blender.,97.18181818181819,24,-5696.0,-11264.0,-16896.0
1741,making a smoothie using a blender.,97.18181818181819,25,-6304.0,-1488.0,-7808.0
1742,washing their hair using a rainbow.,1.875,0,-2.09375,-7.0625,-9.1875
1743,washing their hair using a rainbow.,1.875,1,-6.5,-25.25,-31.75
1744,washing their hair using a rainbow.,1.875,2,-1.7265625,-11.625,-13.375
1745,washing their hair using a rainbow.,1.875,3,50.0,-4.40625,45.5
1746,washing their hair using a rainbow.,1.875,4,9.5,-69.0,-59.75
1747,washing their hair using a rainbow.,1.875,5,160.0,117.0,278.0
1748,washing their hair using a rainbow.,1.875,6,45.5,-55.5,-10.0625
1749,washing their hair using a rainbow.,1.875,7,90.0,-494.0,-402.0
1750,washing their hair using a rainbow.,1.875,8,72.0,-584.0,-510.0
1751,washing their hair using a rainbow.,1.875,9,174.0,-382.0,-208.0
1752,washing their hair using a rainbow.,1.875,10,380.0,-920.0,-540.0
1753,washing their hair using a rainbow.,1.875,11,724.0,-1384.0,-656.0
1754,washing their hair using a rainbow.,1.875,12,548.0,-1288.0,-736.0
1755,washing their hair using a rainbow.,1.875,13,1256.0,-2256.0,-1016.0
1756,washing their hair using a rainbow.,1.875,14,1440.0,-2272.0,-832.0
1757,washing their hair using a rainbow.,1.875,15,768.0,-3792.0,-3024.0
1758,washing their hair using a rainbow.,1.875,16,1040.0,-3840.0,-2800.0
1759,washing their hair using a rainbow.,1.875,17,136.0,-3888.0,-3760.0
1760,washing their hair using a rainbow.,1.875,18,510.0,-5536.0,-5056.0
1761,washing their hair using a rainbow.,1.875,19,20.125,-5120.0,-5120.0
1762,washing their hair using a rainbow.,1.875,20,604.0,-5056.0,-4480.0
1763,washing their hair using a rainbow.,1.875,21,2144.0,-5600.0,-3456.0
1764,washing their hair using a rainbow.,1.875,22,2528.0,-7488.0,-4960.0
1765,washing their hair using a rainbow.,1.875,23,3680.0,-8160.0,-4480.0
1766,washing their hair using a rainbow.,1.875,24,4512.0,-8320.0,-3808.0
1767,washing their hair using a rainbow.,1.875,25,5664.0,3088.0,8768.0
1768,packing a suit inside a pocket.,15.454545454545455,0,-3.59375,-4.53125,-8.125
1769,packing a suit inside a pocket.,15.454545454545455,1,-7.5625,-26.75,-34.25
1770,packing a suit inside a pocket.,15.454545454545455,2,-2.8125,-22.125,-24.875
1771,packing a suit inside a pocket.,15.454545454545455,3,-2.6875,-79.0,-82.0
1772,packing a suit inside a pocket.,15.454545454545455,4,-46.25,-179.0,-225.0
1773,packing a suit inside a pocket.,15.454545454545455,5,-9.75,-133.0,-142.0
1774,packing a suit inside a pocket.,15.454545454545455,6,-135.0,-330.0,-464.0
1775,packing a suit inside a pocket.,15.454545454545455,7,-118.5,-812.0,-928.0
1776,packing a suit inside a pocket.,15.454545454545455,8,-171.0,-840.0,-1008.0
1777,packing a suit inside a pocket.,15.454545454545455,9,-190.0,-776.0,-968.0
1778,packing a suit inside a pocket.,15.454545454545455,10,-69.5,-1328.0,-1400.0
1779,packing a suit inside a pocket.,15.454545454545455,11,-246.0,-2160.0,-2400.0
1780,packing a suit inside a pocket.,15.454545454545455,12,-422.0,-2024.0,-2448.0
1781,packing a suit inside a pocket.,15.454545454545455,13,-119.0,-3024.0,-3136.0
1782,packing a suit inside a pocket.,15.454545454545455,14,11.375,-2960.0,-2944.0
1783,packing a suit inside a pocket.,15.454545454545455,15,-640.0,-4704.0,-5344.0
1784,packing a suit inside a pocket.,15.454545454545455,16,-478.0,-4704.0,-5184.0
1785,packing a suit inside a pocket.,15.454545454545455,17,-1136.0,-4736.0,-5856.0
1786,packing a suit inside a pocket.,15.454545454545455,18,-972.0,-6048.0,-7040.0
1787,packing a suit inside a pocket.,15.454545454545455,19,-1368.0,-5792.0,-7168.0
1788,packing a suit inside a pocket.,15.454545454545455,20,-928.0,-5728.0,-6656.0
1789,packing a suit inside a pocket.,15.454545454545455,21,-90.0,-6304.0,-6400.0
1790,packing a suit inside a pocket.,15.454545454545455,22,-143.0,-8096.0,-8256.0
1791,packing a suit inside a pocket.,15.454545454545455,23,708.0,-8768.0,-8064.0
1792,packing a suit inside a pocket.,15.454545454545455,24,1008.0,-8960.0,-7936.0
1793,packing a suit inside a pocket.,15.454545454545455,25,844.0,4608.0,5440.0
1794,splitting a log using an axe.,99.0,0,-2.734375,-8.625,-11.375
1795,splitting a log using an axe.,99.0,1,-8.9375,-23.875,-33.0
1796,splitting a log using an axe.,99.0,2,-4.09375,-19.5,-23.5
1797,splitting a log using an axe.,99.0,3,20.125,-66.0,-45.75
1798,splitting a log using an axe.,99.0,4,-42.0,-181.0,-223.0
1799,splitting a log using an axe.,99.0,5,-0.546875,-142.0,-143.0
1800,splitting a log using an axe.,99.0,6,-152.0,-392.0,-544.0
1801,splitting a log using an axe.,99.0,7,-182.0,-952.0,-1128.0
1802,splitting a log using an axe.,99.0,8,-270.0,-1168.0,-1432.0
1803,splitting a log using an axe.,99.0,9,-274.0,-980.0,-1256.0
1804,splitting a log using an axe.,99.0,10,-213.0,-1496.0,-1712.0
1805,splitting a log using an axe.,99.0,11,-532.0,-2480.0,-3008.0
1806,splitting a log using an axe.,99.0,12,-760.0,-2288.0,-3040.0
1807,splitting a log using an axe.,99.0,13,-628.0,-3296.0,-3920.0
1808,splitting a log using an axe.,99.0,14,-510.0,-3296.0,-3792.0
1809,splitting a log using an axe.,99.0,15,-1520.0,-5024.0,-6560.0
1810,splitting a log using an axe.,99.0,16,-1560.0,-5248.0,-6816.0
1811,splitting a log using an axe.,99.0,17,-2352.0,-5152.0,-7520.0
1812,splitting a log using an axe.,99.0,18,-2880.0,-6720.0,-9600.0
1813,splitting a log using an axe.,99.0,19,-3248.0,-6240.0,-9472.0
1814,splitting a log using an axe.,99.0,20,-2992.0,-6144.0,-9152.0
1815,splitting a log using an axe.,99.0,21,-2560.0,-6880.0,-9472.0
1816,splitting a log using an axe.,99.0,22,-2960.0,-8576.0,-11520.0
1817,splitting a log using an axe.,99.0,23,-2512.0,-9024.0,-11520.0
1818,splitting a log using an axe.,99.0,24,-2496.0,-8704.0,-11200.0
1819,splitting a log using an axe.,99.0,25,-3296.0,5152.0,1816.0
1820,cutting cardboard using a snore.,1.0,0,-2.625,-8.3125,-10.9375
1821,cutting cardboard using a snore.,1.0,1,-9.25,-26.375,-35.75
1822,cutting cardboard using a snore.,1.0,2,-4.5,-22.75,-27.25
1823,cutting cardboard using a snore.,1.0,3,35.5,0.9921875,36.5
1824,cutting cardboard using a snore.,1.0,4,-8.5625,-75.5,-84.0
1825,cutting cardboard using a snore.,1.0,5,98.5,73.0,172.0
1826,cutting cardboard using a snore.,1.0,6,-34.0,-157.0,-191.0
1827,cutting cardboard using a snore.,1.0,7,15.3125,-568.0,-552.0
1828,cutting cardboard using a snore.,1.0,8,-17.625,-536.0,-552.0
1829,cutting cardboard using a snore.,1.0,9,39.5,-312.0,-274.0
1830,cutting cardboard using a snore.,1.0,10,229.0,-620.0,-392.0
1831,cutting cardboard using a snore.,1.0,11,552.0,-1064.0,-508.0
1832,cutting cardboard using a snore.,1.0,12,316.0,-756.0,-436.0
1833,cutting cardboard using a snore.,1.0,13,876.0,-1328.0,-452.0
1834,cutting cardboard using a snore.,1.0,14,944.0,-1376.0,-426.0
1835,cutting cardboard using a snore.,1.0,15,502.0,-2256.0,-1744.0
1836,cutting cardboard using a snore.,1.0,16,576.0,-2464.0,-1904.0
1837,cutting cardboard using a snore.,1.0,17,-153.0,-2368.0,-2512.0
1838,cutting cardboard using a snore.,1.0,18,-296.0,-3312.0,-3600.0
1839,cutting cardboard using a snore.,1.0,19,-350.0,-2672.0,-3024.0
1840,cutting cardboard using a snore.,1.0,20,56.5,-2544.0,-2496.0
1841,cutting cardboard using a snore.,1.0,21,1232.0,-2832.0,-1608.0
1842,cutting cardboard using a snore.,1.0,22,1608.0,-3504.0,-1904.0
1843,cutting cardboard using a snore.,1.0,23,2720.0,-3440.0,-728.0
1844,cutting cardboard using a snore.,1.0,24,3856.0,-1064.0,2800.0
1845,cutting cardboard using a snore.,1.0,25,7392.0,17280.0,24704.0
1846,cooking dinner out of insects.,43.8,0,-3.5625,-2.5,-6.03125
1847,cooking dinner out of insects.,43.8,1,-8.875,-24.5,-33.5
1848,cooking dinner out of insects.,43.8,2,-4.96875,-19.125,-24.0
1849,cooking dinner out of insects.,43.8,3,28.0,-30.5,-2.65625
1850,cooking dinner out of insects.,43.8,4,-18.625,-137.0,-156.0
1851,cooking dinner out of insects.,43.8,5,61.25,-29.875,31.875
1852,cooking dinner out of insects.,43.8,6,-77.5,-262.0,-338.0
1853,cooking dinner out of insects.,43.8,7,-45.5,-792.0,-836.0
1854,cooking dinner out of insects.,43.8,8,-50.75,-932.0,-980.0
1855,cooking dinner out of insects.,43.8,9,-9.0,-780.0,-792.0
1856,cooking dinner out of insects.,43.8,10,99.0,-1432.0,-1336.0
1857,cooking dinner out of insects.,43.8,11,65.0,-2256.0,-2192.0
1858,cooking dinner out of insects.,43.8,12,-151.0,-2112.0,-2256.0
1859,cooking dinner out of insects.,43.8,13,235.0,-3264.0,-3040.0
1860,cooking dinner out of insects.,43.8,14,332.0,-3184.0,-2848.0
1861,cooking dinner out of insects.,43.8,15,-158.0,-4640.0,-4800.0
1862,cooking dinner out of insects.,43.8,16,81.0,-4800.0,-4704.0
1863,cooking dinner out of insects.,43.8,17,-472.0,-4992.0,-5472.0
1864,cooking dinner out of insects.,43.8,18,-220.0,-6528.0,-6752.0
1865,cooking dinner out of insects.,43.8,19,-540.0,-6048.0,-6592.0
1866,cooking dinner out of insects.,43.8,20,-9.4375,-6048.0,-6048.0
1867,cooking dinner out of insects.,43.8,21,852.0,-6816.0,-5952.0
1868,cooking dinner out of insects.,43.8,22,948.0,-9024.0,-8064.0
1869,cooking dinner out of insects.,43.8,23,1840.0,-9856.0,-8032.0
1870,cooking dinner out of insects.,43.8,24,2208.0,-10752.0,-8576.0
1871,cooking dinner out of insects.,43.8,25,1688.0,-1312.0,396.0
1872,catching a fish in a raindrop.,3.9375,0,-1.6640625,-9.4375,-11.125
1873,catching a fish in a raindrop.,3.9375,1,-6.84375,-26.5,-33.5
1874,catching a fish in a raindrop.,3.9375,2,-2.671875,-21.5,-24.125
1875,catching a fish in a raindrop.,3.9375,3,27.375,-58.25,-31.0
1876,catching a fish in a raindrop.,3.9375,4,-27.25,-175.0,-203.0
1877,catching a fish in a raindrop.,3.9375,5,14.1875,-168.0,-154.0
1878,catching a fish in a raindrop.,3.9375,6,-137.0,-396.0,-532.0
1879,catching a fish in a raindrop.,3.9375,7,-90.0,-912.0,-1000.0
1880,catching a fish in a raindrop.,3.9375,8,-116.0,-996.0,-1112.0
