population,ID,AgeGroup,Age,Task Name,order-a3p8,display,Trial Number,Response,RT,Event,event_type,Triad No.,Domain,Event Type,RT.sd
children,28,age 7,7.219178082,Block C,CAB,Trial,23,1,1239.1,have a lion as a pet?,improbable,10,Other,Improbable,-0.7100775539696866
children,28,age 7,7.219178082,Block C,CAB,Trial,24,1,2569.2,move a marble with their hand?,ordinary,1,Physics,Ordinary,-0.014345934311301246
children,28,age 7,7.219178082,Block C,CAB,Trial,25,0,1704,unlock a door with their mind?,impossible,5,Physics,Impossible,-0.4669036347311456
children,28,age 7,7.219178082,Block C,CAB,Trial,26,1,1457.5,make a house out of bricks?,ordinary,7,Physics,Ordinary,-0.595839687844289
children,29,age 7,7.326027397,Block A,CAB,Trial,1,0,7676,play with magic?,impossible,20,Conventional,Impossible,2.6568534005292697
children,29,age 7,7.326027397,Block A,CAB,Trial,2,0,1917,have the moon as a pet?,impossible,10,Other,Impossible,-0.3554903312297276
children,29,age 7,7.326027397,Block A,CAB,Trial,3,0,1246,live for 1000 years?,impossible,22,Biology,Impossible,-0.7064683906168238
children,29,age 7,7.326027397,Block A,CAB,Trial,4,1,1632,turn an onion into onion slices?,ordinary,9,Physics,Ordinary,-0.5045644697175404
children,29,age 7,7.326027397,Block A,CAB,Trial,5,0,3625,shake someone's hand with their mouth?,improbable,18,Conventional,Improbable,0.5379083653919718
children,29,age 7,7.326027397,Block A,CAB,Trial,6,0,1582,walk through a hot fire?,improbable,2,Physics,Improbable,-0.5307178273469813
children,29,age 7,7.326027397,Block A,CAB,Trial,7,1,7759,eat a whole sandwich for dinner?,ordinary,25,Biology,Ordinary,2.700267974194141
children,29,age 7,7.326027397,Block A,CAB,Trial,8,1,1935,eat a brownie for dessert?,ordinary,12,Conventional,Ordinary,-0.3460751224831289
children,29,age 7,7.326027397,Block A,CAB,Trial,9,1,10830,not eat for 1 hour?,ordinary,21,Biology,Ordinary,4.306607199794398
children,29,age 7,7.326027397,Block A,CAB,Trial,10,0,3735,stay awake for 5 days?,improbable,23,Biology,Improbable,0.5954457521767417
children,29,age 7,7.326027397,Block A,CAB,Trial,11,1,4840,ride a horse?,ordinary,11,Other,Ordinary,1.1734349557873844
children,29,age 7,7.326027397,Block A,CAB,Trial,12,0,8618,paint polka dots on a plane?,improbable,4,Physics,Improbable,3.149582658267935
children,29,age 7,7.326027397,Block A,CAB,Trial,13,0,10121,move a marble with their mind?,impossible,1,Physics,Impossible,3.935752588608927
children,29,age 7,7.326027397,Block A,CAB,Trial,14,1,1345,find a sweater in a closet?,ordinary,13,Other,Ordinary,-0.6546847425105309
children,29,age 7,7.326027397,Block A,CAB,Trial,16,1,1924,unlock a door with a doorkey?,ordinary,5,Physics,Ordinary,-0.3518288611616059
children,29,age 7,7.326027397,Block A,CAB,Trial,17,0,3844,eat a large rock?,impossible,14,Moral,Impossible,0.6524600718089227
children,29,age 7,7.326027397,Block A,CAB,Trial,18,0,5549,know the names of everyone in the world?,impossible,26,Other,Impossible,1.5442895669728558
children,29,age 7,7.326027397,Block A,CAB,Trial,19,1,2647,clean a road?,improbable,8,Physics,Improbable,0.02634869016010881
children,29,age 7,7.326027397,Block A,CAB,Trial,20,0,2148,be born with 12 toes?,improbable,24,Biology,Improbable,-0.23466181898171087
children,29,age 7,7.326027397,Block A,CAB,Trial,21,1,1483,open a window with their hand?,ordinary,3,Physics,Ordinary,-0.5825014754532741
children,29,age 7,7.326027397,Block A,CAB,Trial,22,0,1067,eat an insect?,improbable,19,Conventional,Improbable,-0.800097410930222
children,29,age 7,7.326027397,Block A,CAB,Trial,23,0,2164,magically appear into the store?,impossible,16,Moral,Impossible,-0.2262927445402898
children,29,age 7,7.326027397,Block A,CAB,Trial,24,1,2330,make their friend smile?,ordinary,15,Moral,Ordinary,-0.1394635972105462
children,29,age 7,7.326027397,Block A,CAB,Trial,25,0,8469,wear shoes made out of stone?,improbable,17,Conventional,Improbable,3.0716456525322013
children,29,age 7,7.326027397,Block A,CAB,Trial,26,0,8381,count all of the hairs on a dog?,improbable,6,Physics,Improbable,3.0256157431043853
children,29,age 7,7.326027397,Block B,CAB,Trial,1,1,2367,wait in line to go into the store?,ordinary,16,Moral,Ordinary,-0.12011011256475995
children,29,age 7,7.326027397,Block B,CAB,Trial,2,0,2319,find a monkey in a closet?,improbable,13,Other,Improbable,-0.14521733588902316
children,29,age 7,7.326027397,Block B,CAB,Trial,3,0,3037,play with a wolf?,improbable,20,Conventional,Improbable,0.23034487966974743
children,29,age 7,7.326027397,Block B,CAB,Trial,4,1,1639,eat a lollipop?,ordinary,19,Conventional,Ordinary,-0.5009029996494188
children,29,age 7,7.326027397,Block B,CAB,Trial,5,0,6742,make a house out of grass?,improbable,7,Physics,Improbable,2.1683086800113145
children,29,age 7,7.326027397,Block B,CAB,Trial,6,1,1888,clean a car?,ordinary,8,Physics,Ordinary,-0.3706592786548033
children,29,age 7,7.326027397,Block B,CAB,Trial,7,0,8274,move a marble with their breath?,improbable,1,Physics,Improbable,2.969647557777382
children,29,age 7,7.326027397,Block B,CAB,Trial,8,0,1674,turn an onion into apple juice?,impossible,9,Physics,Impossible,-0.4825956493088101
children,29,age 7,7.326027397,Block B,CAB,Trial,9,1,3257,stay awake for 5 hours?,ordinary,23,Biology,Ordinary,0.3454196532392872
children,29,age 7,7.326027397,Block B,CAB,Trial,10,0,5005,unlock a door with a toothpick?,improbable,5,Physics,Improbable,1.2597410359645393
children,29,age 7,7.326027397,Block B,CAB,Trial,11,0,6493,ride a cow?,improbable,11,Other,Improbable,2.038064959016699
children,29,age 7,7.326027397,Block B,CAB,Trial,12,1,928,have a cat as a pet?,ordinary,10,Other,Ordinary,-0.8728037451400676
children,29,age 7,7.326027397,Block B,CAB,Trial,13,0,3463,buy a large rock?,ordinary,14,Moral,Ordinary,0.4531714866725835
children,29,age 7,7.326027397,Block B,CAB,Trial,14,0,2270,walk through a brick wall?,impossible,2,Physics,Impossible,-0.1708476263658752
children,29,age 7,7.326027397,Block B,CAB,Trial,15,1,1816,count all of the students in a room?,ordinary,6,Physics,Ordinary,-0.40832011364119813
children,29,age 7,7.326027397,Block B,CAB,Trial,16,0,3375,shake someone's hand with their mind?,impossible,18,Conventional,Impossible,0.40714157724476757
children,29,age 7,7.326027397,Block B,CAB,Trial,17,0,4177,not eat for 100 days?,impossible,21,Biology,Impossible,0.8266414336209988
children,29,age 7,7.326027397,Block B,CAB,Trial,18,0,6831,wear shoes made out of light?,impossible,17,Conventional,Impossible,2.214861656591719
children,29,age 7,7.326027397,Block B,CAB,Trial,19,0,5260,open a window with their breath?,impossible,3,Physics,Impossible,1.3931231598746876
children,29,age 7,7.326027397,Block B,CAB,Trial,20,0,1985,eat a whole whale for dinner?,impossible,25,Biology,Impossible,-0.31992176485368806
children,29,age 7,7.326027397,Block B,CAB,Trial,21,1,2053,be born with 2 feet?,ordinary,24,Biology,Ordinary,-0.2843531984776485
children,29,age 7,7.326027397,Block B,CAB,Trial,22,0,1599,paint polka dots on a cloud?,impossible,4,Physics,Impossible,-0.5218256857529714
children,29,age 7,7.326027397,Block B,CAB,Trial,23,0,7084,live for 110 years?,improbable,22,Biology,Improbable,2.34719764619669
children,29,age 7,7.326027397,Block B,CAB,Trial,24,1,2825,know the names of everyone they ever met?,improbable,26,Other,Improbable,0.11945464332091824
children,29,age 7,7.326027397,Block B,CAB,Trial,25,0,2440,eat a rainbow for dessert?,impossible,12,Conventional,Impossible,-0.0819262104257763
children,29,age 7,7.326027397,Block B,CAB,Trial,26,1,3373,make their friend cry?,improbable,15,Moral,Improbable,0.40609544293958993
children,29,age 7,7.326027397,Block C,CAB,Trial,1,1,11436,move a marble with their hand?,ordinary,1,Physics,Ordinary,4.623585894263221
children,29,age 7,7.326027397,Block C,CAB,Trial,3,0,12568,open a window with their feet?,improbable,3,Physics,Improbable,5.215697910993762
children,29,age 7,7.326027397,Block C,CAB,Trial,4,0,5970,make their friend shrink?,impossible,15,Moral,Impossible,1.7645008382127476
children,29,age 7,7.326027397,Block C,CAB,Trial,7,1,2336,paint polka dots on a wall?,ordinary,4,Physics,Ordinary,-0.13632519429501327
children,29,age 7,7.326027397,Block C,CAB,Trial,8,1,8268,know the name of someone they just met?,ordinary,26,Other,Ordinary,2.966509154861849
children,29,age 7,7.326027397,Block C,CAB,Trial,9,1,4098,make a house out of bricks?,ordinary,7,Physics,Ordinary,0.7853191285664822
children,29,age 7,7.326027397,Block C,CAB,Trial,10,0,4234,not eat for 10 days?,improbable,21,Biology,Improbable,0.8564562613185613
children,29,age 7,7.326027397,Block C,CAB,Trial,13,0,2756,clean a cloud?,impossible,8,Physics,Impossible,0.08336300979228986
children,29,age 7,7.326027397,Block C,CAB,Trial,14,1,4477,walk through an open door?,ordinary,2,Physics,Ordinary,0.9835615793976439
children,29,age 7,7.326027397,Block C,CAB,Trial,15,0,4388,eat a planet?,impossible,19,Conventional,Impossible,0.9370086028172392
children,29,age 7,7.326027397,Block C,CAB,Trial,16,0,6937,steal a large rock?,improbable,14,Moral,Improbable,2.2703067747661336
children,29,age 7,7.326027397,Block C,CAB,Trial,18,0,1672,find a unicorn in a closet?,impossible,13,Other,Impossible,-0.48364178361398774
children,29,age 7,7.326027397,Block C,CAB,Trial,19,1,6455,eat a whole turkey for dinner?,improbable,25,Biology,Improbable,2.018188407218324
children,29,age 7,7.326027397,Block C,CAB,Trial,20,0,3975,stay awake for 5 years?,impossible,23,Biology,Impossible,0.7209818687980578
children,29,age 7,7.326027397,Block C,CAB,Trial,21,0,6123,have a lion as a pet?,improbable,10,Other,Improbable,1.8445301125588367
children,29,age 7,7.326027397,Block C,CAB,Trial,22,1,2781,play with a toy?,ordinary,20,Conventional,Ordinary,0.09643968860701028
children,29,age 7,7.326027397,Block C,CAB,Trial,23,0,4945,unlock a door with their mind?,impossible,5,Physics,Impossible,1.2283570068092102
children,29,age 7,7.326027397,Block C,CAB,Trial,26,0,1922,be born with 2 wings?,impossible,24,Biology,Impossible,-0.3528749954667835
children,30,age 7,7.147945205,Block A,ABC,Trial,1,1,1504.4,turn an onion into onion slices?,ordinary,9,Physics,Ordinary,-0.5713078383878735
children,30,age 7,7.147945205,Block A,ABC,Trial,2,0,6224.2,live for 1000 years?,impossible,22,Biology,Impossible,1.8974645084008248
children,30,age 7,7.147945205,Block A,ABC,Trial,3,1,1584.7,ride a horse?,ordinary,11,Other,Ordinary,-0.5293055460349915
children,30,age 7,7.147945205,Block A,ABC,Trial,4,0,1410.9,walk through a hot fire?,improbable,2,Physics,Improbable,-0.6202146171549279
children,30,age 7,7.147945205,Block A,ABC,Trial,5,0,1817.9,have the moon as a pet?,impossible,10,Other,Impossible,-0.4073262860512793
children,30,age 7,7.147945205,Block A,ABC,Trial,6,0,3513.1,not eat for 1 hour?,ordinary,21,Biology,Ordinary,0.4793771510172832
children,30,age 7,7.147945205,Block A,ABC,Trial,7,0,1365.6,wear shoes made out of stone?,improbable,17,Conventional,Improbable,-0.6439095591672014
children,30,age 7,7.147945205,Block A,ABC,Trial,8,0,1348.2,be born with 12 toes?,improbable,24,Biology,Improbable,-0.6530109276222467
children,30,age 7,7.147945205,Block A,ABC,Trial,9,0,3904.7,know the names of everyone in the world?,impossible,26,Other,Impossible,0.6842102479710639
children,30,age 7,7.147945205,Block A,ABC,Trial,10,0,3263.4,count all of the hairs on a dog?,improbable,6,Physics,Improbable,0.34876728301585563
children,30,age 7,7.147945205,Block A,ABC,Trial,11,0,1302,magically appear into the store?,impossible,16,Moral,Impossible,-0.67717663007185
children,30,age 7,7.147945205,Block A,ABC,Trial,12,0,1124.5,eat a large rock?,impossible,14,Moral,Impossible,-0.7700210496563651
children,30,age 7,7.147945205,Block A,ABC,Trial,13,1,1089.2,unlock a door with a doorkey?,ordinary,5,Physics,Ordinary,-0.7884853201427503
children,30,age 7,7.147945205,Block A,ABC,Trial,14,0,1972.2,make a house out of gas?,impossible,7,Physics,Impossible,-0.3266170244068249
children,30,age 7,7.147945205,Block A,ABC,Trial,15,0,1363.2,stay awake for 5 days?,improbable,23,Biology,Improbable,-0.6451649203334144
children,30,age 7,7.147945205,Block A,ABC,Trial,16,0,2157.7,paint polka dots on a plane?,improbable,4,Physics,Improbable,-0.22958806760159944
children,30,age 7,7.147945205,Block A,ABC,Trial,17,0,2565.2,clean a road?,improbable,8,Physics,Improbable,-0.016438202921656514
children,30,age 7,7.147945205,Block A,ABC,Trial,18,1,4119.6,eat a whole sandwich for dinner?,ordinary,25,Biology,Ordinary,0.7966173790624009
children,30,age 7,7.147945205,Block A,ABC,Trial,19,1,1465.8,eat a brownie for dessert?,ordinary,12,Conventional,Ordinary,-0.5914982304778018
children,30,age 7,7.147945205,Block A,ABC,Trial,20,1,1667.5,find a sweater in a closet?,ordinary,13,Other,Ordinary,-0.48599558580063745
children,30,age 7,7.147945205,Block A,ABC,Trial,21,0,1655.2,move a marble with their mind?,impossible,1,Physics,Impossible,-0.49242931177747984
children,30,age 7,7.147945205,Block A,ABC,Trial,22,1,2158.4,open a window with their hand?,ordinary,3,Physics,Ordinary,-0.22922192059478713
children,30,age 7,7.147945205,Block A,ABC,Trial,23,0,3852.7,shake someone's hand with their mouth?,improbable,18,Conventional,Improbable,0.6570107560364453
children,30,age 7,7.147945205,Block A,ABC,Trial,24,0,3561.4,eat an insect?,improbable,19,Conventional,Improbable,0.5046412944873231
children,30,age 7,7.147945205,Block A,ABC,Trial,25,0,2137.4,play with magic?,impossible,20,Conventional,Impossible,-0.2402063307991523
children,30,age 7,7.147945205,Block A,ABC,Trial,26,1,1756.3,make their friend smile?,ordinary,15,Moral,Ordinary,-0.4395472226507505
children,30,age 7,7.147945205,Block B,ABC,Trial,1,0,5054.8,stay awake for 5 hours?,ordinary,23,Biology,Ordinary,1.2857897801634626
children,30,age 7,7.147945205,Block B,ABC,Trial,3,0,1319.6,make a house out of grass?,improbable,7,Physics,Improbable,-0.6679706481862869
children,30,age 7,7.147945205,Block B,ABC,Trial,4,1,997.8,eat a lollipop?,ordinary,19,Conventional,Ordinary,-0.8362936578893682
children,30,age 7,7.147945205,Block B,ABC,Trial,5,1,1387,be born with 2 feet?,ordinary,24,Biology,Ordinary,-0.6327159221018006
children,30,age 7,7.147945205,Block B,ABC,Trial,6,0,1414.2,wear shoes made out of light?,impossible,17,Conventional,Impossible,-0.6184884955513847
children,30,age 7,7.147945205,Block B,ABC,Trial,7,1,1832.7,know the names of everyone they ever met?,improbable,26,Other,Improbable,-0.39958489219296484
children,30,age 7,7.147945205,Block B,ABC,Trial,8,0,1339.3,not eat for 100 days?,impossible,21,Biology,Impossible,-0.6576662252802872
children,30,age 7,7.147945205,Block B,ABC,Trial,9,1,3006.1,make their friend cry?,improbable,15,Moral,Improbable,0.21418210465475296
children,30,age 7,7.147945205,Block B,ABC,Trial,10,0,1460.3,turn an onion into apple juice?,impossible,9,Physics,Impossible,-0.5943750998170403
children,30,age 7,7.147945205,Block B,ABC,Trial,11,1,2207.4,clean a car?,ordinary,8,Physics,Ordinary,-0.2035916301179351
children,30,age 7,7.147945205,Block B,ABC,Trial,12,0,11907.7,unlock a door with a toothpick?,improbable,5,Physics,Improbable,4.870316670139367
children,30,age 7,7.147945205,Block B,ABC,Trial,13,1,2104.8,ride a cow?,improbable,11,Other,Improbable,-0.25725831997354764
children,30,age 7,7.147945205,Block B,ABC,Trial,14,0,3674,play with a wolf?,improbable,20,Conventional,Improbable,0.5635386558688239
children,30,age 7,7.147945205,Block B,ABC,Trial,15,1,868.1,have a cat as a pet?,ordinary,10,Other,Ordinary,-0.9041354675801377
children,30,age 7,7.147945205,Block B,ABC,Trial,16,0,2784.3,shake someone's hand with their mind?,impossible,18,Conventional,Impossible,0.09816581021055348
children,30,age 7,7.147945205,Block B,ABC,Trial,17,0,1194.5,eat a rainbow for dessert?,impossible,12,Conventional,Impossible,-0.7334063489751479
children,30,age 7,7.147945205,Block B,ABC,Trial,18,0,1157.5,open a window with their breath?,impossible,3,Physics,Impossible,-0.7527598336209341
children,30,age 7,7.147945205,Block B,ABC,Trial,19,0,1202.5,paint polka dots on a cloud?,impossible,4,Physics,Impossible,-0.7292218117544373
children,30,age 7,7.147945205,Block B,ABC,Trial,20,0,1304.7,eat a whole whale for dinner?,impossible,25,Biology,Impossible,-0.6757643487598602
children,30,age 7,7.147945205,Block B,ABC,Trial,21,0,926.3,find a monkey in a closet?,improbable,13,Other,Improbable,-0.8736929592994687
children,30,age 7,7.147945205,Block B,ABC,Trial,22,1,1508.4,count all of the students in a room?,ordinary,6,Physics,Ordinary,-0.5692155697775182
children,30,age 7,7.147945205,Block B,ABC,Trial,23,0,1188.8,live for 110 years?,improbable,22,Biology,Improbable,-0.7363878317449042
children,30,age 7,7.147945205,Block B,ABC,Trial,24,0,5712.4,wait in line to go into the store?,ordinary,16,Moral,Ordinary,1.6297587397058682
children,30,age 7,7.147945205,Block B,ABC,Trial,25,0,2302.8,walk through a brick wall?,impossible,2,Physics,Impossible,-0.15369102376096191
children,30,age 7,7.147945205,Block B,ABC,Trial,26,0,1598.7,move a marble with their breath?,improbable,1,Physics,Improbable,-0.521982605898748
children,30,age 7,7.147945205,Block C,ABC,Trial,1,0,1405,eat a planet?,impossible,19,Conventional,Impossible,-0.6233007133552019
children,30,age 7,7.147945205,Block C,ABC,Trial,2,0,4362.5,unlock a door with their mind?,impossible,5,Physics,Impossible,0.9236703904262243
children,30,age 7,7.147945205,Block C,ABC,Trial,3,0,1974.7,make their friend shrink?,impossible,15,Moral,Impossible,-0.3253093565253528
children,30,age 7,7.147945205,Block C,ABC,Trial,4,0,1848.1,stay awake for 5 years?,impossible,23,Biology,Impossible,-0.39152965804309714
children,30,age 7,7.147945205,Block C,ABC,Trial,5,0,1504,be born with 2 wings?,impossible,24,Biology,Impossible,-0.571517065248909
children,30,age 7,7.147945205,Block C,ABC,Trial,6,1,980.5,have a lion as a pet?,improbable,10,Other,Improbable,-0.8453427196291547
children,30,age 7,7.147945205,Block C,ABC,Trial,7,0,3413.8,wear shoes made out of leather?,ordinary,17,Conventional,Ordinary,0.4274365827652138
children,30,age 7,7.147945205,Block C,ABC,Trial,8,0,1566.4,ride an ogre?,impossible,11,Other,Impossible,-0.5388776749273668
children,30,age 7,7.147945205,Block C,ABC,Trial,9,0,1527.7,not eat for 10 days?,improbable,21,Biology,Improbable,-0.5591203737325541
children,30,age 7,7.147945205,Block C,ABC,Trial,10,0,1724.1,paint polka dots on a wall?,ordinary,4,Physics,Ordinary,-0.45638998496411043
children,30,age 7,7.147945205,Block C,ABC,Trial,11,1,1268.9,eat a whole turkey for dinner?,improbable,25,Biology,Improbable,-0.6944901528225399
children,30,age 7,7.147945205,Block C,ABC,Trial,12,0,1248.4,eat a pickle for dessert?,improbable,12,Conventional,Improbable,-0.7052130294506106
children,30,age 7,7.147945205,Block C,ABC,Trial,13,0,2714.4,know the name of someone they just met?,ordinary,26,Other,Ordinary,0.06160341624459512
children,30,age 7,7.147945205,Block C,ABC,Trial,14,1,1955.4,shake someone's hand with their hand?,ordinary,18,Conventional,Ordinary,-0.335404552570317
children,30,age 7,7.147945205,Block C,ABC,Trial,15,1,1795.3,play with a toy?,ordinary,20,Conventional,Ordinary,-0.41914760369978665
children,30,age 7,7.147945205,Block C,ABC,Trial,16,0,4041.1,turn an onion into onion juice?,improbable,9,Physics,Improbable,0.7555566075841785
children,30,age 7,7.147945205,Block C,ABC,Trial,17,1,5058.9,live for 60 years?,ordinary,22,Biology,Ordinary,1.2879343554890763
children,30,age 7,7.147945205,Block C,ABC,Trial,18,0,3196.7,clean a cloud?,impossible,8,Physics,Impossible,0.3138787039381814
children,30,age 7,7.147945205,Block C,ABC,Trial,19,0,1944.2,find a unicorn in a closet?,impossible,13,Other,Impossible,-0.34126290467931175
children,30,age 7,7.147945205,Block C,ABC,Trial,20,0,5610.8,cut the line to go into the store?,improbable,16,Moral,Improbable,1.5766151170028446
children,30,age 7,7.147945205,Block C,ABC,Trial,21,1,2182.1,walk through an open door?,ordinary,2,Physics,Ordinary,-0.21682522907843227
children,30,age 7,7.147945205,Block C,ABC,Trial,22,0,1453.4,count all of the sand in the world?,impossible,6,Physics,Impossible,-0.5979842631699032
children,30,age 7,7.147945205,Block C,ABC,Trial,23,1,1315.5,move a marble with their hand?,ordinary,1,Physics,Ordinary,-0.670115223511901
children,30,age 7,7.147945205,Block C,ABC,Trial,24,0,1727.5,steal a large rock?,improbable,14,Moral,Improbable,-0.4546115566453084
children,30,age 7,7.147945205,Block C,ABC,Trial,25,1,1182.1,make a house out of bricks?,ordinary,7,Physics,Ordinary,-0.7398923816672492
children,30,age 7,7.147945205,Block C,ABC,Trial,26,0,1349.9,open a window with their feet?,improbable,3,Physics,Improbable,-0.6521217134628456
children,31,age 7,7.882191781,Block A,CAB,Trial,1,1,3054.1,eat a whole sandwich for dinner?,ordinary,25,Biology,Ordinary,0.23928932797901617
children,31,age 7,7.882191781,Block A,CAB,Trial,2,0,3805.5,make a house out of gas?,impossible,7,Physics,Impossible,0.6323219864342533
children,31,age 7,7.882191781,Block A,CAB,Trial,3,1,1767.7,clean a road?,improbable,8,Physics,Improbable,-0.43358425711123794
children,31,age 7,7.882191781,Block A,CAB,Trial,4,1,1493.5,ride a horse?,ordinary,11,Other,Ordinary,-0.5770092703510916
children,31,age 7,7.882191781,Block A,CAB,Trial,5,1,4335.5,not eat for 1 hour?,ordinary,21,Biology,Ordinary,0.9095475773063263
children,31,age 7,7.882191781,Block A,CAB,Trial,6,0,3218.5,stay awake for 5 days?,improbable,23,Biology,Improbable,0.3252815678646177
children,31,age 7,7.882191781,Block A,CAB,Trial,7,1,4747.6,wear shoes made out of stone?,improbable,17,Conventional,Improbable,1.125103550888178
children,31,age 7,7.882191781,Block A,CAB,Trial,8,0,2065.9,magically appear into the store?,impossible,16,Moral,Impossible,-0.2776056322092527
children,31,age 7,7.882191781,Block A,CAB,Trial,9,0,1461.9,eat an insect?,improbable,19,Conventional,Improbable,-0.5935381923728982
children,31,age 7,7.882191781,Block A,CAB,Trial,10,0,1453.9,eat a large rock?,impossible,14,Moral,Impossible,-0.5977227295936087
children,31,age 7,7.882191781,Block A,CAB,Trial,11,1,1439.7,open a window with their hand?,ordinary,3,Physics,Ordinary,-0.6051502831603699
children,31,age 7,7.882191781,Block A,CAB,Trial,12,0,1383.6,have the moon as a pet?,impossible,10,Other,Impossible,-0.6344943504206026
children,31,age 7,7.882191781,Block A,CAB,Trial,13,0,2697.9,be born with 12 toes?,improbable,24,Biology,Improbable,0.05297280822687964
children,31,age 7,7.882191781,Block A,CAB,Trial,14,1,1473.8,find a sweater in a closet?,ordinary,13,Other,Ordinary,-0.5873136932570913
children,31,age 7,7.882191781,Block A,CAB,Trial,15,1,4652.2,make their friend smile?,ordinary,15,Moral,Ordinary,1.0752029445312046
children,31,age 7,7.882191781,Block A,CAB,Trial,16,1,3362.3,paint polka dots on a plane?,improbable,4,Physics,Improbable,0.4004986244068897
children,31,age 7,7.882191781,Block A,CAB,Trial,17,0,3442.7,shake someone's hand with their mouth?,improbable,18,Conventional,Improbable,0.4425532234750304
children,31,age 7,7.882191781,Block A,CAB,Trial,18,0,2127.3,move a marble with their mind?,impossible,1,Physics,Impossible,-0.24548930904029928
children,31,age 7,7.882191781,Block A,CAB,Trial,19,0,1618.2,play with magic?,impossible,20,Conventional,Impossible,-0.5117827964232661
children,31,age 7,7.882191781,Block A,CAB,Trial,20,1,1522.3,unlock a door with a doorkey?,ordinary,5,Physics,Ordinary,-0.5619449363565336
children,31,age 7,7.882191781,Block A,CAB,Trial,21,0,6332.4,live for 1000 years?,impossible,22,Biology,Impossible,1.9540603743109348
children,31,age 7,7.882191781,Block A,CAB,Trial,22,1,2480.8,eat a brownie for dessert?,ordinary,12,Conventional,Ordinary,-0.06058507060015248
children,31,age 7,7.882191781,Block A,CAB,Trial,23,0,6485.8,turn an onion into onion slices?,ordinary,9,Physics,Ordinary,2.0342988755180595
children,31,age 7,7.882191781,Block A,CAB,Trial,24,0,2423,count all of the hairs on a dog?,improbable,6,Physics,Improbable,-0.09081835201978619
children,31,age 7,7.882191781,Block A,CAB,Trial,25,0,2171.1,know the names of everyone in the world?,impossible,26,Other,Impossible,-0.22257896775690925
children,31,age 7,7.882191781,Block A,CAB,Trial,26,0,1778.4,walk through a hot fire?,improbable,2,Physics,Improbable,-0.4279874385785376
children,31,age 7,7.882191781,Block B,CAB,Trial,1,1,3164.1,clean a car?,ordinary,8,Physics,Ordinary,0.296826714763786
children,31,age 7,7.882191781,Block B,CAB,Trial,2,0,2228,walk through a brick wall?,impossible,2,Physics,Impossible,-0.19281644677460552
children,31,age 7,7.882191781,Block B,CAB,Trial,3,0,2207.4,eat a rainbow for dessert?,impossible,12,Conventional,Impossible,-0.2035916301179351
children,31,age 7,7.882191781,Block B,CAB,Trial,4,1,1786.5,eat a lollipop?,ordinary,19,Conventional,Ordinary,-0.4237505946425682
children,31,age 7,7.882191781,Block B,CAB,Trial,5,0,3578.9,find a monkey in a closet?,improbable,13,Other,Improbable,0.5137949696576274
children,31,age 7,7.882191781,Block B,CAB,Trial,6,1,2846.7,stay awake for 5 hours?,ordinary,23,Biology,Ordinary,0.13080520053209546
children,31,age 7,7.882191781,Block B,CAB,Trial,7,0,2291.7,shake someone's hand with their mind?,impossible,18,Conventional,Impossible,-0.15949706915469797
children,31,age 7,7.882191781,Block B,CAB,Trial,8,1,1577.5,wait in line to go into the store?,ordinary,16,Moral,Ordinary,-0.533071629533631
children,31,age 7,7.882191781,Block B,CAB,Trial,9,1,1947.3,be born with 2 feet?,ordinary,24,Biology,Ordinary,-0.33964139650628644
children,31,age 7,7.882191781,Block B,CAB,Trial,11,1,2778,ride a cow?,improbable,11,Other,Improbable,0.09487048714924384
children,31,age 7,7.882191781,Block B,CAB,Trial,12,1,2549.8,know the names of everyone they ever met?,improbable,26,Other,Improbable,-0.024493437071524106
children,31,age 7,7.882191781,Block B,CAB,Trial,13,1,2664.8,have a cat as a pet?,ordinary,10,Other,Ordinary,0.03565928547618985
children,31,age 7,7.882191781,Block B,CAB,Trial,14,0,3469.2,play with a wolf?,improbable,20,Conventional,Improbable,0.45641450301863407
children,31,age 7,7.882191781,Block B,CAB,Trial,15,0,5086.6,live for 110 years?,improbable,22,Biology,Improbable,1.302423315615787
children,31,age 7,7.882191781,Block B,CAB,Trial,16,1,3264.2,move a marble with their breath?,improbable,1,Physics,Improbable,0.3491857367379266
children,31,age 7,7.882191781,Block B,CAB,Trial,17,0,2660.5,not eat for 100 days?,impossible,21,Biology,Impossible,0.03341009672005784
children,31,age 7,7.882191781,Block B,CAB,Trial,19,0,2109.9,turn an onion into apple juice?,impossible,9,Physics,Impossible,-0.25459067749534475
children,31,age 7,7.882191781,Block B,CAB,Trial,20,0,1551.1,eat a whole whale for dinner?,impossible,25,Biology,Impossible,-0.5468806023619758
children,31,age 7,7.882191781,Block B,CAB,Trial,21,1,2445.1,buy a large rock?,ordinary,14,Moral,Ordinary,-0.07925856794757338
children,31,age 7,7.882191781,Block B,CAB,Trial,22,0,1906.7,paint polka dots on a cloud?,impossible,4,Physics,Impossible,-0.36087792290139237
children,31,age 7,7.882191781,Block B,CAB,Trial,23,1,4140.6,make their friend cry?,improbable,15,Moral,Improbable,0.8076017892667661
children,31,age 7,7.882191781,Block B,CAB,Trial,24,0,1880.9,open a window with their breath?,impossible,3,Physics,Impossible,-0.37437305543818383
children,31,age 7,7.882191781,Block B,CAB,Trial,25,0,2808.6,wear shoes made out of light?,impossible,17,Conventional,Impossible,0.1108763420184616
children,31,age 7,7.882191781,Block B,CAB,Trial,26,1,3632.8,count all of the students in a room?,ordinary,6,Physics,Ordinary,0.5419882891821647
